Gene,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
mix_1,51.7193,44.281,291.8169,28.8701,218.1621,120.1733,163.3328,133.899,98.5775
mix_2,60.0431,43.926,284.5236,29.0912,202.291,113.0898,156.7464,122.6795,97.1942
mix_3,30.9562,57.0402,347.591,32.7571,363.1185,155.5842,171.7953,183.6365,129.8742
mix_4,37.4101,62.4644,314.2657,29.2908,304.7302,138.9241,160.8147,160.5312,112.7975
mix_5,35.2057,54.5271,317.6475,30.1636,304.281,140.2785,169.7042,165.6481,121.9979
mix_6,43.1866,54.1605,301.4498,29.1053,262.2779,129.7206,159.555,150.1119,112.5038
mix_7,31.77,69.9463,317.9769,29.2873,329.1179,146.2791,166.6173,169.0751,115.5282
mix_8,47.3984,67.4406,296.2293,28.1375,264.7044,125.1848,148.8757,141.7493,99.5721
mix_9,44.2682,43.5542,305.5415,29.4071,260.1207,129.993,168.6915,143.7266,108.0907
mix_10,34.7017,79.1935,316.2194,29.8793,318.274,136.967,155.4338,164.9885,119.168
mix_11,57.7457,48.9619,297.2915,28.5534,214.3838,116.8775,156.5756,127.7588,95.1902
mix_12,50.4595,41.99,306.4563,30.0026,232.4729,125.753,161.5618,138.417,112.0422
mix_13,34.15,81.3767,307.2908,28.3414,319.7358,136.9552,161.3325,164.8166,105.5793
mix_14,34.2309,82.1407,312.0367,29.5578,312.9085,135.6821,156.0113,171.5829,119.4282
mix_15,26.8762,70.9562,312.0722,28.6948,335.0907,145.475,173.8665,170.6685,115.1586
mix_16,35.4509,59.0185,327.5101,30.6319,330.4559,146.4291,166.065,170.4021,121.9376
mix_17,24.769,106.9893,346.945,33.4341,380.0769,160.3723,158.9809,202.6613,131.9354
mix_18,61.4511,47.9772,282.6042,28.5754,197.5108,110.0666,152.9487,120.125,95.4945
mix_19,41.6542,61.4313,299.0234,27.5879,261.8977,129.563,157.5973,150.1974,110.397
mix_20,25.2619,50.9988,364.7834,34.8053,381.5829,167.3938,192.2458,209.7006,162.2712
mix_21,33.7502,68.2855,322.4835,30.0155,321.978,139.7355,162.5559,174.8309,128.4515
mix_22,39.0264,65.807,299.4336,27.4993,270.8382,127.5332,161.6204,147.9781,103.4679
mix_23,43.4979,70.8102,303.3395,27.7683,273.1061,130.243,152.8118,154.8788,105.1467
mix_24,64.7428,43.6427,277.4541,28.8773,181.4421,107.4322,158.008,115.2185,88.1803
mix_25,44.4142,45.4754,319.6512,30.4405,283.4896,135.8662,162.0348,155.066,121.4841
mix_26,27.089,41.6645,360.4889,33.4937,381.6073,170.1544,197.7827,195.3,136.1417
mix_27,51.6091,70.2148,275.8411,26.3787,210.4779,113.3304,151.3355,126.4665,81.3314
mix_28,25.7027,61.0433,359.1923,33.7415,396.057,165.007,181.7914,201.9639,148.7171
mix_29,43.0501,51.7183,305.1146,29.048,272.9542,132.3007,163.0373,149.8311,110.3711
mix_30,41.3328,57.21,308.1752,29.2791,278.0041,132.3634,160.6405,152.9227,110.7319
mix_31,43.5861,52.4305,313.4723,29.9558,276.6861,135.2376,161.6875,152.7635,109.0377
mix_32,37.2874,55.8006,315.5979,29.6562,306.4394,139.4046,165.7084,163.759,119.3157
mix_33,44.8837,58.4869,301.1361,29.1019,270.4396,127.1372,159.1766,145.2149,101.2757
mix_34,54.8125,42.5475,293.9027,29.0169,213.8306,120.0193,159.5664,129.3065,99.9394
mix_35,46.2948,50.0941,296.2057,28.4105,256.9876,124.8941,161.9785,146.0696,113.2639
mix_36,32.9576,72.552,326.7895,30.237,339.6215,148.6139,161.3563,169.9997,112.0767
mix_37,35.4514,72.6824,322.9256,31.303,333.1275,144.6035,158.7962,169.924,110.8808
mix_38,28.0194,49.3961,352.7168,33.4655,372.0312,166.0422,185.2283,190.2643,130.1835
mix_39,30.5928,73.991,322.7082,31.055,343.5969,150.2212,174.6402,183.4925,113.7441
mix_40,44.7188,59.4404,304.2518,28.6998,279.2315,131.1398,157.9201,146.4354,102.062
mix_41,50.2818,44.8972,294.4638,28.2041,218.8838,121.6895,161.8624,135.7998,103.9131
mix_42,26.0661,77.9306,345.7816,32.2122,375.6048,158.1226,169.7218,195.0454,132.8596
mix_43,34.3871,40.0015,332.3499,30.4989,316.07,145.0809,182.5566,166.3122,127.4851
mix_44,35.7357,45.2149,333.2042,32.5783,337.9824,151.3847,173.3864,170.2073,120.0837
mix_45,42.5652,42.2967,326.8581,32.2813,290.5991,142.0819,166.6219,161.7143,126.5332
mix_46,28.9009,55.0585,328.9143,31.4201,338.808,150.5016,177.8865,187.0136,142.7571
mix_47,43.3474,60.0413,304.133,28.9127,269.7297,128.2286,155.5206,146.7169,108.5726
mix_48,53.2613,70.1089,272.5333,25.452,193.8857,111.0647,152.794,120.5062,76.4525
mix_49,45.8748,63.7876,287.5607,27.7968,245.4126,121.9563,157.7248,137.7561,96.1173
mix_50,30.931,68.6649,345.7133,32.436,364.6143,155.6414,165.3194,186.6606,133.8782
mix_51,49.488,66.3216,282.8759,26.1236,219.6779,118.8099,153.7813,129.9864,84.0547
mix_52,26.5697,81.1984,335.9123,30.6204,381.815,153.8989,171.7565,188.0633,116.6698
mix_53,44.6178,64.6622,288.8083,27.191,241.3765,121.9189,154.6395,133.7408,91.3562
mix_54,26.1282,77.6124,334.7428,32.1263,365.9518,151.6542,169.8993,196.3176,145.9691
mix_55,46.7599,62.3793,291.8375,27.6558,248.1408,122.8048,156.1948,137.8166,97.0332
mix_56,37.2459,53.7964,331.443,31.6416,331.7642,146.1625,164.7782,170.8528,130.2226
mix_57,46.789,40.7153,310.8678,30.1472,268.8239,132.4486,167.2849,144.6569,108.4149
mix_58,35.9212,54.1196,318.0597,28.9442,320.1745,143.1675,170.3707,166.5809,118.4974
mix_59,49.4399,42.7088,297.85,29.0059,228.8224,121.8972,164.1907,140.2335,111.0922
mix_60,38.2778,74.1422,302.9437,28.5931,281.3024,134.0956,153.9644,159.7946,116.7343
mix_61,26.1269,67.7292,370.2133,36.0034,398.2679,171.9765,175.5554,203.77,140.6249
mix_62,28.9717,61.8519,348.765,32.6293,376.1842,162.1547,177.6617,189.6696,123.1742
mix_63,48.5329,43.9986,305.7767,28.6307,246.7711,127.6803,161.5047,142.4256,107.8727
mix_64,46.5604,62.392,301.1819,29.1632,265.9387,127.4893,151.7318,144.3893,102.9931
mix_65,36.7779,52.8872,317.5477,28.608,278.3628,136.8548,174.6,153.6854,106.3493
mix_66,49.0546,65.3459,281.9186,26.792,213.9082,117.1738,156.5005,130.2275,86.7811
mix_67,28.1273,73.5015,333.3741,31.4776,371.6452,154.6966,172.2049,185.4053,119.4324
mix_68,30.7081,46.9058,329.7536,32.0052,339.5412,150.4596,184.8013,181.2491,135.9936
mix_69,47.5191,61.2367,298.079,28.458,263.5319,125.3072,153.0403,142.7976,101.9151
mix_70,40.6688,79.6501,278.3424,26.2419,240.3877,124.1411,164.6647,136.0593,76.8663
mix_71,54.1886,73.4819,278.9694,26.9451,213.5619,113.6931,144.8171,129.6456,87.991
mix_72,30.168,96.8749,323.7048,29.8446,360.2435,151.2888,158.1053,182.1231,107.1274
mix_73,34.6761,76.8174,301.034,28.0849,298.1696,135.6693,162.5465,156.6482,101.4134
mix_74,40.3399,66.5334,308.6617,28.7547,281.815,137.4468,158.7773,153.71,105.285
mix_75,52.3854,64.4955,285.561,26.5878,216.6341,117.2449,153.7659,127.7475,84.0379
mix_76,35.331,44.9529,331.0222,31.8906,324.0745,148.6831,181.9883,169.7749,128.1302
mix_77,26.8953,49.2979,361.5062,35.0733,399.9334,165.105,184.3837,199.934,152.5414
mix_78,46.1641,57.1337,292.177,27.542,246.4702,122.8346,158.3705,139.4793,100.5861
mix_79,51.2154,45.9394,300.5892,29.3264,231.4006,123.708,158.3096,138.66,106.8015
mix_80,35.2194,71.8429,318.9397,29.7066,321.3725,138.9202,157.1947,169.5006,126.4127
mix_81,35.5397,54.2839,334.3918,32.1477,333.3747,149.9965,168.3079,174.8488,132.7624
mix_82,42.3544,64.5912,294.6662,28.2363,265.947,125.5022,154.8849,147.4314,113.2977
mix_83,50.7529,60.0756,285.9965,27.774,222.1393,120.7221,155.2831,130.4054,91.8292
mix_84,37.0519,59.4448,317.5457,30.2052,322.4834,140.3297,161.1667,166.5786,123.9315
mix_85,37.3489,55.1723,336.1065,31.0537,330.9954,144.3197,163.8756,170.2838,129.6007
mix_86,30.404,46.8657,350.5945,33.2748,362.4885,159.3563,182.7734,186.9841,137.8327
mix_87,42.4631,50.8108,319.8528,30.7506,292.3218,139.2393,161.0955,160.3323,122.6303
mix_88,33.8035,57.964,324.4135,30.2614,328.4677,148.3855,168.6609,174.2084,124.4254
mix_89,29.5411,55.9413,347.3024,33.7742,361.287,156.0107,178.3614,192.8734,144.5484
mix_90,44.5361,48.0086,312.3343,29.867,276.6616,131.1318,160.3446,151.7787,120.53
mix_91,49.2205,58.1525,285.6294,27.0551,222.0502,120.7205,157.3124,132.0784,90.0417
mix_92,43.9185,55.6396,307.3688,29.5726,276.9568,133.2456,158.744,153.063,110.9476
mix_93,66.1866,46.0858,277.343,29.0387,176.8653,107.596,152.5867,114.282,88.3429
mix_94,55.2572,40.8315,282.1288,28.4822,204.3358,117.032,164.7486,126.5924,99.2889
mix_95,47.746,65.9263,282.6891,25.9135,230.8666,118.4077,155.2456,129.6005,82.6139
mix_96,47.0817,58.9541,284.6431,27.2626,232.4897,120.789,163.1136,132.4776,88.3514
mix_97,46.5346,53.5449,297.9216,28.2198,259.6919,126.8199,158.105,142.6999,109.0511
mix_98,45.0805,59.3918,302.0655,27.8868,270.2669,130.5657,155.6908,146.5991,105.1129
mix_99,25.3095,53.4482,380.2712,38.1893,400.4024,176.3366,185.8732,208.7081,160.4893
mix_100,41.2792,57.5182,314.319,30.0272,283.0963,135.5405,160.7874,156.88,112.7244
