B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..	otherCells
S10001	1.06611449033044e-09	1.03891537172281e-05	4.15723207556526e-08	0.0372112829487849	0.197675790611484	0.0346402945614981	3.29490842549107e-05	0.730429251001825
S10006	3.06755406425809e-05	1.06026080135824e-08	1.2652379851342e-07	0.0426400963969458	0.194854380625988	0.0310340085124335	1.98311916482642e-07	0.731440503485667
S1001	2.25335470179898e-07	2.08688020175851e-07	7.32786183619254e-08	0.0447455238843206	0.192310383048737	0.0313736473689076	1.08823803555336e-08	0.731569927513545
S10010	3.40175427315015e-06	1.69073135969735e-09	2.32371677344197e-06	0.0410098388576167	0.203822566568191	0.031165039812227	7.23382590929382e-08	0.723996755261928
S10011	1.13932682815773e-05	1.01725932706625e-07	4.05055888910441e-11	0.039815197082972	0.192823064986429	0.0352482902240883	1.44789606844923e-06	0.732100504775722
S10014	1.25899616919691e-06	9.9018400444975e-08	1.86319563958056e-08	0.0424923809029319	0.194508014604649	0.0317380347106496	4.09413230090334e-08	0.73126015219392
S10026	4.84239393631069e-09	3.11187962145464e-08	8.46453152484975e-08	0.0443124476151498	0.197185788644597	0.0306649759204194	3.59685563471895e-06	0.727833070357694
S10032	1.42934599965978e-08	3.90823803541279e-06	2.67064925808662e-08	0.0430415257323872	0.197049697023933	0.0313035770176942	3.45646531405594e-08	0.728601216423344
S10036	6.10578679359491e-07	5.93283802033152e-06	1.52361278681691e-08	0.04380618250548	0.197900969289459	0.0288111643120713	3.99226026015775e-05	0.72943520263756
S10042	5.97658175595255e-08	5.47354309658307e-05	1.34647956985046e-08	0.0435371055112074	0.19790987743793	0.0310198484639325	5.61919289161955e-08	0.727478303733422
S10044	4.3658413402547e-08	3.52419340211458e-05	5.73377355646854e-08	0.0426946529340587	0.199817939667955	0.0319127593801478	2.66067977192582e-10	0.725539304821601
S10049	6.00639973190728e-10	2.08668594070561e-07	5.14702510399747e-08	0.0425196821200102	0.197511145611257	0.0323338624942063	4.78826998891768e-09	0.727635044246771
S10057	6.41549114143514e-05	2.4427829225299e-06	6.26625593242632e-08	0.0411755314359629	0.184821662193962	0.0338450010594855	2.5076791086183e-09	0.740091142446014
S10062	5.97063600644198e-07	2.3338462266358e-08	6.94543115868576e-08	0.0404370372634186	0.195937067221846	0.0344886790444202	5.90399690476056e-09	0.729136520709944
S10066	1.86580258237043e-08	3.12026062934486e-05	0.00021780174787412	0.0381502001137657	0.206396141411068	0.0322715868741234	9.95664373793918e-09	0.722933038632205
S10067	6.75160633543467e-06	5.60893408447453e-09	4.23024969214033e-08	0.0437953277282298	0.192570074286856	0.0325731002782869	2.19315004751739e-08	0.731054676257361
S1007	9.42201295758976e-08	3.72279374912003e-06	1.22478332204322e-07	0.0422598747350904	0.194526999541018	0.0312230920725094	1.03832634547741e-08	0.731986083775908
S10073	2.07249767690122e-05	3.54967354959174e-08	8.1196943112605e-09	0.0420612474236143	0.195313534958073	0.0339315777584864	4.49450426995009e-09	0.728672866772123
S10077	2.02902996982615e-08	1.33885657709641e-07	1.10624102525626e-05	0.0398483965869241	0.195845361357697	0.0331811077689463	1.04062559993183e-08	0.731113907293967
S10080	1.91739106912325e-06	1.1739172293488e-08	1.28312012277878e-08	0.0426332053342658	0.195509148938538	0.0319254698468773	2.53794514689847e-08	0.729930208539425
S10082	1.37552321087031e-08	3.22155154162681e-08	2.56687714280883e-06	0.041395054528881	0.194076197408371	0.0346433646643794	5.45854843528543e-08	0.729882715964994
S10087	2.48351323428787e-07	4.44334925417078e-07	9.6425650423299e-08	0.0407749446012625	0.196398181900437	0.0339803654369199	1.82796873477849e-06	0.728843890980747
S10089	1.50830683323644e-08	3.83100152037903e-07	8.09398510786862e-05	0.0394614748533928	0.198367649613169	0.0329639792919441	6.95466298443164e-09	0.729125551252532
S1009	1.63947615809123e-08	1.43207250293637e-07	2.79600844154638e-06	0.0408291055029726	0.188045326847735	0.0362485321881536	6.1623625438908e-08	0.73487401822706
S10090	5.74776521691732e-07	1.81816878691921e-05	0.000197864694590288	0.0430502007981277	0.202020818340454	0.0272872527049198	1.41849376209908e-07	0.727424965148141
S10093	4.44286823196323e-05	2.42612255442777e-07	3.29600130884729e-08	0.0429731709383353	0.190301800607875	0.0311053392701331	1.76322862121059e-09	0.735574983165839
S10094	8.26292321829232e-09	1.56801459264915e-07	1.07677608705174e-05	0.0434268880427892	0.198601226742081	0.0309613381015673	7.27645933844029e-07	0.726998886642376
S1010	7.63898185511428e-10	8.44970591797555e-09	2.79186400860657e-06	0.0390165571684423	0.195336320474134	0.0345122832146213	3.13485969581221e-09	0.73113203493033
S10111	1.78579718645002e-09	2.7882752902529e-05	1.66565295277979e-05	0.0422568554858804	0.19431437500674	0.0343447788477914	3.8028075539232e-05	0.729001421515821
S10116	2.20234305694961e-06	7.44367118587712e-08	9.03116884268438e-06	0.0402997673753652	0.182216265023512	0.0373691449560173	2.78061874559381e-09	0.740103511915875
S10119	1.39958410247941e-05	2.93859940000249e-09	2.57939251871294e-08	0.0415609049374436	0.191354793549693	0.0348295069478762	1.25108324332194e-06	0.732239518908194
S10121	2.01576791888397e-07	8.2982004190032e-08	5.07135384458621e-07	0.0418756126623422	0.197489234000578	0.0318507921300931	5.4682655215723e-08	0.728783514830151
S10130	9.85802712814203e-05	7.24645519209729e-09	5.46081223709307e-08	0.0401899970014796	0.198523336573045	0.0319936836332641	8.99115352656863e-08	0.729194250754817
S10140	4.08538540420955e-06	1.19229792579842e-06	2.84885480208516e-08	0.0421299387940655	0.204482059698312	0.0300128434888595	9.80634669488646e-09	0.723369842040539
S10142	4.33036050124057e-10	1.79849606438171e-08	2.41050563006119e-07	0.0452647182060737	0.190732523168129	0.0307980313325781	8.95779441886765e-07	0.733203572045218
S10150	2.8694579878969e-08	8.63230819411534e-06	5.53345134604009e-08	0.0399077030061432	0.206542937294889	0.0295950134955871	4.66436091582969e-07	0.723945163430002
S10155	4.03593224656795e-05	1.40580302053575e-06	2.92228484125149e-08	0.0405799369792509	0.194684774961349	0.0347655053633095	6.65010342060881e-09	0.729927981697653
S1016	4.31030732464664e-09	8.77230316771920e-09	4.88332162685673e-07	0.0457149315326898	0.19516663089475	0.0277206680738925	8.18941170902744e-05	0.731315373966805
S10163	1.87076636777183e-08	1.30578685132238e-07	5.94382535126839e-09	0.0383916278827652	0.195696686388832	0.0347964278844535	3.14839213583377e-08	0.731115071129854
S10167	4.74834252231575e-08	3.63503907661416e-08	2.1716974234046e-08	0.0471149453253341	0.192188501254066	0.0282197982664345	3.15126886538762e-08	0.732476618090686
S10168	3.27292989935757e-06	6.95036381917183e-09	4.93155052024133e-08	0.0441387687084553	0.191823269137078	0.0321358085258274	1.2807342446297e-08	0.731898811625528
S10173	7.72642343657962e-06	7.39440771270323e-07	9.53255012314317e-09	0.0417885288359189	0.189098915396347	0.0351959986756986	8.09142827120589e-07	0.73390727255245
S10175	2.7556156843653e-09	7.67372440555575e-06	0.000191841123314457	0.042093762637418	0.197772543639226	0.0318356825164341	1.12718341328344e-07	0.728098380885245
S10179	2.67131958223301e-08	1.03291990296076e-08	1.69813955789683e-08	0.046343346603878	0.189985622648568	0.0316622050177363	4.33538084541297e-06	0.732004436325182
S10186	6.99583672050321e-10	2.84515607715134e-05	4.84456231188154e-08	0.0436757595085429	0.18357292225563	0.0343420450433638	1.47114069510309e-07	0.738380625372416
S1019	4.63622360613096e-08	3.36622962028592e-05	1.3600275205101e-06	0.0416045118227127	0.192249620901535	0.0330300773536829	2.85476599453414e-07	0.73308043575951
S10190	9.27252075233135e-08	3.95065100267522e-08	2.55287860004094e-06	0.0442702701358202	0.19374465803557	0.032847083227884	1.31905602726474e-08	0.729135290299847
S10195	2.30105457181286e-06	9.98606360344483e-09	8.24755958931616e-08	0.0411472388488645	0.199092541535864	0.0314913379342563	1.91451679234245e-08	0.728266469019616
S10196	2.95055620149688e-08	4.11702170648438e-09	1.27100193081373e-07	0.0431840712339614	0.197102883500795	0.0323113954221538	2.74497294129122e-08	0.727401461670583
S10200	4.79972469179926e-05	1.14138125906457e-05	4.48727828984528e-09	0.0431486984213717	0.199211427828937	0.0304269177896775	1.74661140158347e-06	0.727151793801825
S10201	1.85416445519648e-08	6.22117053478457e-06	1.66616435236567e-07	0.040599876641166	0.208993072728291	0.0273905026371368	7.81049268167601e-06	0.72300233117211
S10202	4.96059015263177e-09	6.94279317570386e-08	5.89097021568618e-07	0.0433348132303962	0.197258600010587	0.0302144688339578	2.27351595048388e-06	0.729189180923565
S10205	1.12043873523184e-09	3.56851923263255e-06	2.10707716043983e-08	0.0426295496223916	0.199197957643917	0.0318519332725215	4.0993110920739e-08	0.726316927757616
S10211	5.50212253812168e-06	1.08665865566881e-08	4.53711107257058e-08	0.0442037037519363	0.190314713528272	0.0297481934365232	0.00023953299476778	0.735488297928266
S10221	5.95630284883662e-08	3.27500251135214e-08	2.25153785267174e-09	0.0424696075519742	0.19588730222179	0.0330047391775378	2.55165738756938e-08	0.728638230967533
S10222	2.74716763660082e-08	5.34022239006869e-08	1.90278782857137e-08	0.0404629332854952	0.200165893317525	0.0311365849552578	5.75539204908413e-10	0.728234487964404
S10226	3.64099982798453e-08	9.91111227561632e-08	6.9629030269617e-08	0.0410617060203525	0.201745306306367	0.0315891755453518	4.02789460159914e-06	0.725599579083176
S10227	1.58943843260425e-07	4.19683513818349e-05	9.40528550429633e-09	0.0419905633528385	0.19881965424151	0.0309562828339471	3.07131450508639e-09	0.728191359799879
S10228	4.02702470955046e-05	4.12270041423992e-09	6.8188544318374e-06	0.0414209141213566	0.198249572800846	0.0328126167001581	2.97188290066013e-08	0.727469773434583
S10232	1.2606615926202e-08	4.7472575486458e-06	7.64485457878182e-08	0.0421963308757583	0.18163658407857	0.0359983912300363	1.02916371357133e-08	0.740163847211288
S10248	2.15951528689305e-06	0.000119075905460593	2.58298660043228e-07	0.0443531778452993	0.193873299649194	0.0313503210575844	1.71015831256635e-06	0.730299997570202
S10249	8.53945091080627e-08	1.77398611345099e-07	7.37961338185723e-06	0.0397382214273493	0.203156183389868	0.0320487340883844	2.56154133563491e-06	0.72504665714656
S1025	5.12407644016161e-08	4.73758396244742e-05	1.67489740773904e-08	0.0453145365544271	0.194047395012365	0.0304168804211849	1.74453629157325e-07	0.730173569729031
S10266	7.23968182819311e-09	2.34720290566712e-08	3.65633828580263e-08	0.0388437431723209	0.201750784527195	0.0325910367758316	1.42857144859229e-07	0.726814225392414
S10269	1.17780343739756e-05	1.27614012108229e-08	3.09882769874962e-05	0.0415861147276824	0.199350314099869	0.0304901344396794	1.33940982396856e-08	0.728530644265908
S10272	1.55848255761913e-07	1.3492044722584e-05	4.7833548829849e-08	0.043004425034015	0.198875225355545	0.0291400844914474	8.28408752518701e-07	0.728965740983713
S10273	2.95074734317217e-08	4.20345034033088e-06	5.4855867714951e-08	0.0422680325225184	0.200052687216283	0.0306275422714678	2.42867631011354e-08	0.727047425889287
S10274	6.36356670868926e-09	6.6764073990517e-08	5.00841091528349e-08	0.0439307655353799	0.196331459003568	0.0307426754581229	1.96282147569845e-09	0.728994974828358
