Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
mix_84,1061.1959775,244.894162236,346.30873472,421.391395516,988.617794611,344.817145827,176.571023276,748.234083859,1313.17320193,585.396808433,708.834562644,554.556164315,316.313097171,941.6074043,607.457079022,1250.75976878,886.82721613,344.964923754,797.805514132,230.775899823
mix_85,1030.88678842,249.036143506,355.438569879,469.381891188,917.167383347,288.641105903,196.991543667,507.360313067,905.485499181,729.03907754,814.37228924,603.609598505,345.670250413,964.812163875,587.845951092,1016.55772088,930.812213583,389.329582092,785.911159989,227.349150929
mix_86,1113.54228433,241.963884531,323.095980487,414.990294785,1024.9937856,357.691794991,186.767681605,992.773645465,1559.88033146,501.632390681,637.250301578,545.913387249,260.258683476,861.7331717,625.226284933,1421.21862776,845.921888233,305.544023417,880.165400015,215.442233165
mix_87,1177.72878313,168.03678021,276.141619796,454.162284252,1224.23964729,629.42996997,202.961499979,1630.66922454,2503.71391119,402.337610167,467.382398557,712.015448011,169.511973241,825.605496912,659.20586536,1843.95564261,554.532399275,342.101381017,856.622549723,98.5158746538
mix_88,1135.11454571,168.954494216,303.844272927,462.338921315,1083.19076076,418.917232275,212.968965736,1173.9552131,1789.27880985,551.383962425,633.9326437,677.425335026,231.247346059,866.246689801,645.064037172,1552.51213052,727.959660177,367.654281502,834.349964544,143.789967395
mix_89,1104.86294642,204.304853868,332.762858353,494.879665162,854.860464291,227.060478108,226.203819325,374.084198689,505.580013021,771.269598457,834.054973857,608.676724393,269.590181506,843.351989018,591.778317049,847.326528493,949.112478764,482.71378737,1171.04533905,199.275976993
mix_90,1159.02272442,172.728591152,272.88719202,418.930710805,1187.11400613,560.25980043,177.380441852,1400.05169003,2302.74114885,398.30182389,486.657625712,629.620149621,252.708227647,917.418590925,646.411417027,1741.21677031,648.738930832,316.233872542,764.882746019,138.863649565
mix_91,1088.11571588,211.531372946,332.789909636,421.664023207,1077.40035182,413.824750005,183.023176357,1085.40811124,1746.82596717,529.054178185,632.861221651,603.842124611,300.656049517,941.699800669,633.052976753,1505.2157178,787.275394997,342.210644723,721.048756362,198.911074881
mix_92,1137.6851564,187.618634441,282.348530873,432.415104607,1033.2040807,346.697401313,200.023167777,1120.58088259,1589.31192298,484.074300331,596.541760138,577.893492705,254.618559147,880.399137104,636.626576984,1469.24991385,783.450747952,354.572624222,884.436325497,158.626408588
mix_93,1025.58021256,338.72440151,425.70449998,398.375825958,860.164814696,166.467028527,178.936381704,418.474806925,649.178721372,649.266568461,816.649930642,456.723122308,359.227164467,924.187942515,594.08836635,949.604692209,1076.53892906,334.50988467,835.366725797,327.360109307
mix_94,1143.93179633,204.454406133,308.425398541,413.755134418,1139.70034226,448.134812498,186.927184923,1361.21923318,2015.33475157,416.205030801,527.311555513,626.478654034,252.111666286,898.385748196,637.546974781,1669.7536675,705.638964272,315.679223475,805.470613302,155.965182122
mix_95,1121.49241094,188.082398416,308.851381972,435.834229852,1036.56676009,358.342142254,205.881223858,1268.85957815,1710.91239296,458.40978016,608.788834281,608.961018902,269.899177504,882.162403061,653.124050572,1585.5241359,762.966269463,338.915723517,731.751106661,164.637573004
mix_96,1109.4921583,178.114568705,292.296304598,476.963439216,1028.92750101,348.646945571,206.966544791,904.252504817,1376.69441585,600.444137718,690.086122703,667.307551685,261.737852351,899.221102037,625.699920497,1290.81313921,790.541737671,404.835282961,910.884485902,143.73543843
mix_97,1155.15115029,145.380230758,302.756070899,438.559638363,1134.4281715,429.142638865,208.603990362,1317.81238667,1885.24872392,459.30828243,510.834815215,687.441856854,298.040747393,998.832903988,589.114925524,1650.76403314,644.606546748,358.581822698,807.057460004,124.62191569
mix_98,1104.35724931,206.69355605,336.612118794,450.934156553,1042.5273828,319.783378416,215.712246549,1216.26222011,1514.04984394,545.697192805,635.038645866,680.72881251,281.933240899,931.82569505,617.622755282,1547.33346904,749.644607717,363.151438003,713.665224183,173.929765182
mix_99,1036.39447033,309.878654457,393.774048505,425.623394457,879.36237304,166.415181117,186.747252999,229.801550228,417.326925356,658.004687089,759.694855466,514.4138126,406.501785015,1070.72420813,565.713324141,802.001036074,1035.24219436,371.826211985,977.459580271,291.267574512
mix_100,1081.16854026,245.66523357,367.351644944,401.656723693,1027.61443602,339.338471169,183.68782115,1046.16121894,1569.5158451,511.26839047,657.379634824,566.404051053,312.608425577,932.075994505,623.553128442,1465.81879239,856.733886895,308.084364054,685.813326684,239.486015662
