B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	otherCells
S10001	0.0629659438472559	0.000420802627364203	7.56380035597446e-05	0.000178950295269999	0.00100452136858998	0.0091349772107846	4.38951185934261e-05	4.55905394736223e-07	7.16600812737241e-05	0.024908937482634	0.438700653100454	4.5797488921262e-05	0.0476166449595125	0.292469697719563	0.0331683892355497	0.010762789500093	0.000715987617130397	0.00413555360307428	0.00353902570923183	0.000698387478009816	0.000533948129250949	0.0688073435184881
S10006	0.0565967232206448	0.0044510782499924	7.44098606479105e-06	4.32938241117372e-05	0.000368563139238919	0.0119242202489342	5.38126242264783e-06	1.61300483948355e-05	2.30946284921215e-05	0.048786414032211	0.414550559608992	6.78876767941579e-05	0.0676966688956886	0.279815561846453	0.0369910191212446	0.00117956779245024	0.000287318336465417	0.00135610243836918	0.00353707906345794	0.000131947378877158	0.000187235032746783	0.0719767131679537
S1001	0.0621696618827155	0.00856695366470154	3.45050404477924e-06	0.000281489327970215	0.000425161084913021	0.0178058452065838	8.78483326298319e-05	1.06807355236193e-05	9.67531101308483e-06	0.0367987432884644	0.402540354871267	5.21561180391977e-05	0.0607671414653004	0.254071184795208	0.0417096701348134	0.000184349294677816	6.03604698072817e-06	0.0260468383938622	0.0152347798564925	0.000138728380719336	1.45028383284759e-06	0.0730878010202466
S10010	0.0552273247821484	0.00256288654769895	7.17775609808033e-05	2.18682748230967e-05	0.000380405949665523	0.0160060989720259	7.93887685996363e-06	6.72644624666785e-06	2.4038657365916e-05	0.0103634992381365	0.482942287630659	8.849918966794e-06	0.0423532960909099	0.239191878946129	0.0314868355778078	0.00040621097607403	0.000130266075124624	0.0406148854198844	0.0121190842440605	0.000128995296940366	6.21868851397848e-05	0.0658826576323521
S10011	0.0598121480431455	0.000129917045766207	0.000134239149872668	1.00305995641456e-05	1.14868276832652e-05	0.0145734222287901	3.08230533922419e-06	2.49621121263373e-06	1.07115313289064e-06	0.0146204506585159	0.421357442299531	3.1642705104652e-05	0.0419709875485456	0.282158431788646	0.0293367797046889	0.0430199757211007	4.92729864382262e-05	0.0217537826844536	0.00138244610375439	1.32803594398539e-05	0.000135038253081199	0.0694925756221929
S10014	0.0504591432403222	0.000667402811734719	0.000116447541332054	7.03756076066729e-05	2.33658898378046e-05	0.00230362550293972	3.35905517407129e-05	4.20629777610168e-06	9.50509851507857e-06	0.0491596936478082	0.428675295340706	4.75572132439134e-05	0.0594160375047925	0.269850914274831	0.0449565999354253	0.000590495120831957	0.000117524843888902	0.00294700966014508	0.0181254312907343	0.000434198433290304	9.09577918036945e-06	0.0719824844133168
S10026	0.0727116418086552	0.00730846441608921	1.39934636256216e-05	2.20071100870739e-05	0.000119941349812976	0.00965778437050153	3.08432597760301e-05	9.88381674422044e-07	3.69902913310373e-06	0.0639671802748757	0.434978549980088	1.8584630355979e-05	0.0513184028380553	0.232034615030383	0.0432894508315539	0.000540002229994442	0.000478505554183451	0.00643413782520433	0.00514062473321237	0.000194871654028069	2.1341437840331e-05	0.0717143697908707
S10032	0.0741712861959537	0.00437620256887931	0.000126280101864184	1.07276717046509e-05	9.59633999731985e-05	0.00661989714325926	7.64028447645041e-07	1.31423189920062e-05	3.18830303951297e-05	0.0707273941541738	0.425390108667674	9.45032144482839e-05	0.0494325509601111	0.254566908633125	0.0409115946882101	0.00131888779134357	0.000516378310150481	0.000683468744863902	0.000425482708636276	0.000101802392525234	0.000162564284439257	0.0702222089908299
S10036	0.0476028397251327	0.00738880325787758	5.75017215537295e-05	1.29598719505344e-05	8.06667883244088e-05	0.0177721812975799	2.64394965202377e-05	3.05720330725363e-05	2.44022081861759e-05	0.0523025561191719	0.44563407400498	3.30242186744275e-06	0.0594897611737069	0.248618538992268	0.0385156871721556	0.00167834022478617	0.00158291776339826	0.00470271641485361	0.000640075542970542	0.000269127679541533	2.1871683344042e-05	0.0735446644067591
S10042	0.052476329850027	0.0072828540657966	4.86360918982375e-05	3.56447828602777e-05	7.21400800155266e-06	0.00458121537343808	9.48886670243046e-05	1.38064663381741e-05	1.29773834766364e-05	0.0818722836910862	0.426102040537711	1.17571252157318e-06	0.0540004862545196	0.255960073303143	0.0418493536943138	0.00337466574355564	0.000337498765304533	0.00094890362887097	0.000484065918271378	6.09281151856397e-05	0.000140166320453591	0.0703147916262026
S10044	0.067871554829202	0.0113261287043035	6.22991481877436e-05	9.02134866753526e-05	0.000126500408710074	0.00962199173191953	1.53739212151239e-05	2.4640290358563e-06	1.55271517622194e-08	0.063438111614842	0.430643017519479	1.63972852681544e-05	0.0571400779215145	0.234741163030211	0.0366731361679382	0.00111427769557848	0.000402185189544503	0.00649925537113877	0.00864386551181516	0.000682146711694154	0.000196824557235699	0.0706929996373397
S10049	0.0799462192778728	0.00271903434899408	5.53592090146029e-05	3.89192255470186e-05	0.000116058719641536	0.00663150693887788	4.54737168006433e-05	5.87803172129148e-06	8.23205389885879e-07	0.0576474976530793	0.41428096540758	4.16336641910147e-05	0.0657244316457965	0.246559039611921	0.0393444029072729	0.0026655627556	0.000245109355683941	0.00563465773700397	0.00607426656095415	4.72272804522799e-06	0.000154870479294978	0.0720635668197169
S10057	0.0408600564316356	0.000496276950089439	8.80240861703529e-05	7.69286480692488e-06	0.000219359178671774	0.0106589208751392	4.5842514187177e-05	2.53123944494119e-05	1.28230867407148e-05	0.0413411194678866	0.366295935961108	3.72514975190432e-05	0.0552659053700449	0.333952684604254	0.0404907737803412	0.0112061240500561	0.000203799246092917	0.0136308241348819	0.00588492517390211	0.00212786626715687	4.70488638411285e-05	0.0771014332010242
S10062	0.0763379251010115	0.00097904486845322	3.39070484588145e-05	8.02282013152194e-05	9.00984886406744e-05	0.00419774785441085	2.05492262558155e-05	1.84298192318681e-05	1.7190662521703e-05	0.0551110800962441	0.422895633207165	2.42908732519945e-05	0.052476445824754	0.257548660607302	0.0432897904604254	0.00325595853924177	0.000231520341334916	0.000707514948554995	0.0116319226288179	0.000156585895054583	2.66253907665931e-05	0.0708688499167864
S10066	0.0467234475516637	0.00334621811263055	9.98414624956529e-05	3.88684571434127e-06	2.9577860555359e-05	0.00761437223942633	8.07964736199348e-06	5.82257985722222e-07	3.74206386412545e-05	0.0297433996869126	0.499731723694669	8.15123814450207e-05	0.0466371655845734	0.251665278350186	0.0309009374536303	0.00691662337783385	0.000192290347723869	0.00575685852654659	0.00393649542372096	0.0022397696487914	0.000140220918523551	0.0641942979889685
S10067	0.0755602798904123	0.000806026864153055	4.81421573196088e-05	3.09412953068316e-06	0.000273333832749965	0.00746860251535034	2.02056330556698e-05	6.19833319400022e-06	2.95696246950294e-05	0.0879713138709493	0.385420134659112	2.68882063127451e-05	0.0563931175612496	0.26297254212774	0.0396075889582393	0.000734870411738975	0.00151324661737159	0.00585279403551387	0.0004881655436677	0.000128666435221631	3.95539482397635e-05	0.0746356646441832
S1007	0.0654077676477571	0.000404894905126643	4.53769761723179e-05	5.72104664914593e-05	2.92253586425234e-05	0.0103304413474016	5.95888771157981e-06	6.11721936276812e-06	2.94640206922465e-06	0.0448993063914457	0.407291560415539	1.55674606492706e-05	0.0591263393556358	0.290102821922706	0.0377809880691891	0.00562899671932729	0.00133366436975139	0.00270429565222078	0.00271849008287311	0.000188504038798643	8.44145715080422e-05	0.0718351117396207
S10073	0.066428456295245	0.0039426870605483	2.9018864244988e-05	5.92551573344889e-05	0.000197145220839438	0.00724422928815093	2.85718096793835e-06	5.84817234756117e-06	6.32137450166256e-07	0.0483944767642419	0.408784188440668	2.69311266939755e-05	0.0502715309099633	0.25706878180469	0.0327425560904655	0.00463401146913475	0.00193118761399908	0.0343315298131272	0.0124852770340711	0.000489736094555885	0.000175692283117377	0.0707539711781434
S10077	0.07299970656807	0.00104892016864432	1.53968811983672e-05	2.51317802062806e-05	0.000405811890750433	0.0087082502233639	7.78290020350374e-05	2.28156689119732e-05	6.38517741910021e-06	0.0372177883126089	0.424212885602145	2.19514273740964e-06	0.0426153263661882	0.28983150927748	0.0310681662934424	0.00367397039088788	0.000264748223661997	0.0147640621295263	0.00296387731176413	0.000257480081018036	5.04358623292821e-05	0.0697673076456111
S10080	0.0626895184501486	0.00041384546475815	1.26221835825253e-05	3.59822807450288e-05	2.35236631272724e-05	0.0144717433032015	2.46705959165539e-05	4.832267215245e-06	6.28018297729055e-05	0.0138346630257681	0.433208105452863	2.9871962865141e-05	0.0455972333176821	0.27284469722709	0.0336146395967365	0.0266155905058357	0.000344270942102676	0.00661701215447305	0.0205374859944521	0.000220103740403915	0.000134760961757186	0.0686620250795034
S10082	0.0814934002428894	0.00075260557562591	2.97364056532179e-06	1.02125722035781e-05	3.50107718532183e-05	0.012473603448427	2.87900971612022e-05	1.59608437702303e-05	6.83750633749368e-06	0.0618272673985427	0.41641428221765	5.68319495340658e-05	0.0392046793142153	0.254375181813804	0.0376753953311546	0.017133914038226	0.00260212604823267	0.00130359640667541	0.00105138087353371	0.00213588723512131	2.87459204632889e-06	0.0713971880824307
S10087	0.0907663726387508	0.000901724773813941	5.39691032017384e-05	3.6917617382762e-05	0.000222557213716322	0.00736202777706597	3.51133835403992e-06	1.01409360129463e-06	1.11740772237575e-05	0.0583607109668272	0.407133282684129	8.67484255728202e-05	0.0556310519343311	0.252472407687314	0.0396542340984652	0.00448492096533779	0.000310383785039451	0.00507702875198896	0.00477587628329361	0.000319943554030744	3.66734494202612e-05	0.0722974687811384
S10089	0.0654201612642473	2.02803808979487e-05	6.42241688784219e-05	2.120981684495e-05	0.000596423235693262	0.00876484157131879	4.55000855878757e-07	8.54055882162948e-07	1.01807133694522e-05	0.0314969411093148	0.443287819304139	1.07625920068441e-05	0.0536101116567201	0.280865340009643	0.0324001964257772	0.000947251525672181	0.000526674065320385	0.00794332260713448	0.0027237704208633	0.00058805221966364	0.000111305784420418	0.0705898220713363
S1009	0.0856443168386756	0.00195546011254435	0.000142889790341838	9.86886460379615e-05	0.000501397066017816	0.0141533395163252	3.56513334862753e-06	1.40682282186986e-05	2.12376278116397e-05	0.0106077066616014	0.361655109295863	5.23445718465139e-07	0.0415373583120566	0.288715290419226	0.0296965797894416	0.00723614456150308	0.000588038805840023	0.0626816054938304	0.0199455385438314	0.000443501696677694	3.47560618729676e-05	0.0743228839532162
S10090	0.0453008060408943	0.00262533057682254	0.00017626241502694	0.000262985243154087	3.94455157320198e-06	0.00272072441293586	3.80338603055168e-05	4.34825780333335e-06	3.42966733969231e-05	0.0584731374550235	0.427063105968737	8.0516174602981e-05	0.0568468621830078	0.291964132585777	0.0371785357435451	0.000984577443938346	0.000202536024154727	0.000439603361592253	0.000376988920517633	0.00210763968921139	5.21004218797503e-05	0.0730635319960994
