Gene,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
Mix_1,22357.5188387,15549.6354298,6389.29122873,4123.84058117,2615.69268915,7483.6901563
Mix_2,24228.0947253,16391.0777102,6391.7644184,3997.26811324,2400.41232041,6347.13184756
Mix_3,25532.1800634,17634.844234,7136.7438703,4243.25011852,2382.02763785,5628.43555094
Mix_4,25202.5677936,17331.2285972,6990.02420533,4136.52208678,2335.69914691,5330.39826031
Mix_5,25713.9369267,17289.9696137,6947.20175556,4062.04222851,2169.67869784,5892.59784258
Mix_6,23829.9050711,16230.4229599,6387.32092956,4219.47863192,2635.0908347,8359.14701746
Mix_7,27739.0901083,18611.3360534,6913.33349565,4193.36542913,2318.13730541,5172.99802389
Mix_8,26984.2777089,17767.0356507,6050.51033842,4105.40015732,2560.91839436,7032.50806303
Mix_9,25434.2742326,17222.3441342,6724.23136902,4123.71452747,2361.2280961,6119.88971292
Mix_10,26435.4763092,17584.2585254,6590.31676676,4185.07170997,2412.12634304,7234.45951234
Mix_11,25206.9595076,17062.8343351,6554.89324951,4053.99601539,2378.71840325,5623.85469922
Mix_12,23344.3374656,16268.4017991,6619.90804007,4168.23570533,2557.61500296,6645.6034481
Mix_13,27653.246894,18317.4928348,6785.88312475,4177.86079956,2306.01944076,6245.10008906
Mix_14,26345.8563756,18074.1308794,7231.61338639,4186.44396596,2255.00729581,4554.51078278
Mix_15,26845.1066023,18073.7574453,6638.85354418,4183.89104361,2500.56876235,5662.6700476
Mix_16,27654.1891056,18310.9068318,6441.640338,4179.48158219,2457.83076887,6426.88043388
Mix_17,27865.7024245,18639.1495089,6756.22803171,4226.92250023,2421.65591385,5582.21331954
Mix_18,26752.1232354,17933.2622691,6315.6272921,4152.31339129,2585.38567896,5854.71516665
Mix_19,24526.6597472,16864.2384857,6750.32601534,4242.07359226,2543.666399,7074.24129487
Mix_20,26361.0931926,17566.5233743,6408.53831075,4157.80787601,2483.60180571,7076.01937997
Mix_21,26596.2953731,17655.8001654,6263.96186079,4225.82885483,2594.45531676,7725.31032873
Mix_22,24502.241947,16749.2892172,6523.66580285,4261.88368959,2639.27352509,7592.35730837
Mix_23,26337.9659625,17460.8405343,6397.24056182,4063.99034376,2382.09905348,6604.53520212
Mix_24,28095.6366607,18809.4186844,6414.33778885,4274.03453013,2680.22330596,5918.51786217
Mix_25,28283.1095607,18721.3258686,6815.93056714,4167.64192855,2261.61456203,5680.54745035
Mix_26,28836.2299965,19069.9489357,6666.91563882,4219.35589336,2404.75524777,5666.54520809
Mix_27,30164.1139185,19576.1754771,6361.26099506,4336.45214534,2545.46527838,7480.80355861
Mix_28,24971.5491178,16840.7296381,6376.78954172,4145.65757141,2541.88150222,7164.48778481
Mix_29,29223.6490721,19217.1543673,6659.25323976,4227.63924245,2377.24813858,5889.29030006
Mix_30,26806.3645258,18267.4636905,7332.37160217,4230.14205497,2211.75699759,4984.39731444
Mix_31,27069.715068,18003.2098296,6510.42795673,4147.41844437,2421.02705755,6297.37290968
Mix_32,27175.6296545,18109.2604914,6286.13321612,4180.18667786,2625.36528808,6338.67524748
Mix_33,26495.6669985,17871.8925949,6500.17586186,4202.99758267,2548.49835493,6166.80474168
Mix_34,24674.2503021,16680.9585427,6399.25553033,4217.34816774,2578.28281965,8050.89218483
Mix_35,24548.0012209,16842.5668819,6771.50242866,4071.51174877,2337.59058901,5580.19642765
Mix_36,26569.3092939,17844.9252943,6725.25264899,4162.57009319,2367.64686927,6038.72603505
Mix_37,25090.198091,17357.3353274,7126.2653545,4241.21603342,2388.34656611,5769.87756003
Mix_38,23656.801005,16350.1454501,6516.58663554,4116.03752258,2550.80890576,6420.20062334
Mix_39,26538.5661102,17411.2682473,5955.2336302,4187.90026047,2652.26534619,8476.85227202
Mix_40,25929.1861245,17695.4228837,7163.47888426,4210.90089106,2265.98609629,5685.08034037
Mix_41,23192.4912694,16148.2202045,6927.72216297,4091.94557511,2359.19025012,5993.14181122
Mix_42,30073.0332403,19737.2768593,6625.62839535,4284.31661037,2444.15019119,5832.96458904
Mix_43,25478.9647305,17146.4145175,6610.51923587,4147.2231461,2389.62940674,6987.63241632
Mix_44,22346.5338931,15667.6306203,6599.19782033,4076.86443649,2499.67401567,6489.74742902
Mix_45,27942.85156,18684.9532973,6784.97002736,4322.25580187,2505.50388164,6416.1736857
Mix_46,30319.1352636,19734.1834462,6486.16065534,4292.37086544,2475.59688633,6659.28289174
Mix_47,24746.5121652,16801.2217323,6499.38398001,4196.1509059,2532.97710599,7429.55243163
Mix_48,26026.2278785,17514.3816254,6632.63269799,4123.84300925,2398.48011386,5993.85449814
Mix_49,23949.7516571,16753.4516056,7141.04062728,4092.95880501,2274.32081284,4829.60362384
Mix_50,29665.2357551,19609.7718512,6636.20303939,4339.28120116,2557.57825098,6115.49960842
Mix_51,26498.1096001,17706.2206193,6456.74306352,4131.59097208,2455.6571169,6251.4379842
Mix_52,27015.4822018,18430.8798322,7062.31846571,4295.2720049,2423.25468577,5470.42613145
Mix_53,27032.8987937,17975.8422627,6391.21797507,4225.78157565,2540.04637234,7224.84753169
Mix_54,20366.2182786,14631.2423468,6846.71789127,4085.75286599,2471.61910698,6901.78505165
Mix_55,24300.1564944,17057.616091,7278.58482293,4251.79973989,2429.03343903,5570.03427671
Mix_56,28915.7615551,19204.3143239,6654.68552604,4365.26790485,2579.44393867,6536.11351306
Mix_57,20274.5488488,14816.3487486,6997.51863682,4039.90121874,2430.61783608,5438.25609808
Mix_58,27021.6119983,18276.6789788,6685.99684724,4224.47593145,2504.77262137,5620.00940386
