CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
Mix_1	0.0179	0.1075	0.3173	0.3313	0	0.1196	0.0296	0.0769
Mix_2	0.0431	0.2861	0.1024	0.2481	0.0069	0.213	0.0415	0.0588
Mix_3	0.0244	0.0651	0.1104	0.3923	0	0.0062	0.1165	0.285
Mix_4	0.021	0.1234	0.0558	0.3872	0	0.1306	0.0878	0.1942
Mix_5	0.0761	0.3978	0.0019	0.3591	0.0109	0.0375	0.0496	0.0671
Mix_6	0.0389	0.1903	0.3721	0.2381	0	0.0149	0.0192	0.1264
Mix_7	0.0305	0.1784	0.0205	0.218	0	0.1468	0.1377	0.268
Mix_8	0.0537	0.2498	0.1933	0.0203	0.0029	0.2674	0.0647	0.1479
Mix_9	0.04	0.2412	0.093	0.2902	0.0013	0.126	0.0647	0.1436
Mix_10	0.0594	0.3067	0.1975	0.1999	0.0043	0	0.0546	0.1776
Mix_11	0.0429	0.2013	0.0432	0.2553	0.0026	0.331	0.0671	0.0566
Mix_12	0.0162	0.0346	0.2654	0.3462	0	0.1079	0.0536	0.1761
Mix_13	0.0596	0.3583	0.055	0.2017	0.0087	0.068	0.069	0.1796
Mix_14	0.0249	0.0656	0.0016	0.3922	0	0.1016	0.1375	0.2766
Mix_15	0.022	0.1302	0.0793	0.1572	0	0.3102	0.0976	0.2035
Mix_16	0.0371	0.2487	0.137	0.0958	0	0.164	0.0983	0.219
Mix_17	0.0388	0.1479	0.0629	0.1537	4e-04	0.21	0.1041	0.2822
Mix_18	0.044	0.1144	0.0927	0.0579	0	0.4737	0.0771	0.1403
Mix_19	0.0267	0.0764	0.2795	0.3256	0	0.0038	0.0631	0.2249
Mix_20	0.0467	0.277	0.1925	0.1384	0.0032	0.1062	0.0668	0.1691
Mix_21	0.0463	0.2465	0.2847	0.0884	0.0031	0.0682	0.0778	0.185
Mix_22	0.0287	0.0786	0.3389	0.2525	0	0.0345	0.0615	0.2054
Mix_23	0.063	0.3833	0.0855	0.1446	0.0092	0.1908	0.053	0.0706
Mix_24	0.0052	0.013	0.1745	0.0219	0	0.3461	0.142	0.2973
Mix_25	0.0776	0.3298	0.0064	0.1626	0.0073	0.0923	0.0998	0.2243
Mix_26	0.0393	0.2377	0.0444	0.0893	6e-04	0.1619	0.1486	0.2782
Mix_27	0.0564	0.2821	0.231	0	7e-04	0.0067	0.1109	0.3122
Mix_28	0.0286	0.2028	0.2445	0.1992	0	0.1228	0.0605	0.1417
Mix_29	0.0425	0.2962	0.0423	0.0729	0.0023	0.1573	0.1214	0.265
Mix_30	0.0339	0.1659	0.0039	0.4049	2e-04	0	0.1218	0.2693
Mix_31	0.0569	0.2505	0.1186	0.1358	0	0.1573	0.0864	0.1945
Mix_32	0.0342	0.1204	0.1556	0.0401	5e-04	0.4138	0.0848	0.1506
Mix_33	0.0239	0.0722	0.1739	0.1514	0	0.2285	0.1083	0.2419
Mix_34	0.0406	0.2291	0.3201	0.2132	0.0071	0.0234	0.0258	0.1407
Mix_35	0.0236	0.1897	0.0499	0.3602	0.0013	0.1974	0.0684	0.1096
Mix_36	0.0446	0.2354	0.0881	0.2333	3e-04	0.1044	0.0944	0.1995
Mix_37	0.0201	0.0885	0.1207	0.4271	0	0.02	0.0881	0.2355
Mix_38	0.0194	0.0443	0.2312	0.3031	0	0.177	0.0677	0.1572
Mix_39	0.0634	0.3208	0.3091	0.0381	0.0095	0.1274	0.0439	0.0878
Mix_40	0.0376	0.2017	0.0588	0.4152	0	0	0.0891	0.1976
Mix_41	0.0236	0.167	0.1165	0.4912	0	0.0815	0.0376	0.0825
Mix_42	0.0492	0.2319	0.0593	0.0292	0	0.2144	0.1301	0.286
Mix_43	0.0488	0.2779	0.1894	0.2607	0.0019	0.006	0.0525	0.1628
Mix_44	0.0167	0.0826	0.2181	0.4095	0	0.1369	0.0411	0.095
Mix_45	0.0253	0.1263	0.1829	0.1542	0	0.0295	0.1192	0.3626
Mix_46	0.0574	0.2607	0.1339	0	0	0.0695	0.1233	0.3552
Mix_47	0.0276	0.1874	0.2714	0.2485	0	0.0473	0.0447	0.1731
Mix_48	0.0302	0.2611	0.0769	0.2344	0.0052	0.1713	0.0727	0.1481
Mix_49	0.0194	0.091	0.0131	0.5127	0	0.1455	0.0963	0.1219
Mix_50	0.0185	0.1054	0.1512	0.0331	0	0.1431	0.1569	0.3918
Mix_51	0.05	0.231	0.1112	0.1578	0	0.2325	0.0805	0.1372
Mix_52	0.0173	0.033	0.1109	0.3025	0	0.0268	0.1505	0.359
Mix_53	0.0459	0.2007	0.2429	0.1046	0	0.0826	0.0853	0.238
Mix_54	0.0231	0.0637	0.2459	0.5711	0	0.0232	0.0151	0.0578
Mix_55	0.0221	0.0298	0.1053	0.496	0	0.0482	0.0744	0.2242
Mix_56	0.019	0.1142	0.1995	0.0802	0	0.0781	0.1433	0.3657
Mix_57	0.0019	0.0087	0.1118	0.6217	0	0.2	0.0326	0.0234
Mix_58	0.0216	0.1411	0.0826	0.1571	0	0.2705	0.0903	0.2368
Mix_59	0.014	0.0744	0.0793	0.6097	0	0.009	0.0664	0.1471
Mix_60	0.0864	0.3611	0	0.0068	0.0069	0	0.1434	0.3954
Mix_61	0.0479	0.3362	0.1377	0.2917	0.007	0.018	0.0464	0.1151
Mix_62	0.0698	0.3607	0	0.3939	0.0076	0.0192	0.0505	0.0984
Mix_63	0.0185	0.041	0.2438	0.5179	0	0.0512	0.0321	0.0956
Mix_64	0.0442	0.1972	0.3391	0.1574	0	0.0262	0.0464	0.1894
Mix_65	0.0319	0.2269	0.2517	0.1321	0	0.0506	0.0789	0.2278
Mix_66	0.0463	0.26	0.0135	0.2593	0.003	0.15	0.0897	0.1782
Mix_67	0.0733	0.3981	0.2215	0.1715	0.0064	0.0769	0.009	0.0432
Mix_68	0.0366	0.1391	0.1774	0.0313	0	0.1398	0.1355	0.3403
Mix_69	0.0696	0.3626	0.0697	0.2192	0.0079	0.0211	0.0683	0.1815
Mix_70	0.0384	0.1237	0.1386	0.0654	0	0.1952	0.1354	0.3033
Mix_71	0.0398	0.1535	0.0891	0.3756	0	0	0.0901	0.2519
Mix_72	0.0298	0.1054	0.279	0.0161	0	0.3114	0.0762	0.1819
Mix_73	0.0108	0.0338	0.0705	0.5098	0	0.0754	0.0821	0.2176
