Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
A	0.0864786064222017	0	0.114834960461712	0.185678153565311	0	0.195963915267432	0	0.125822944977884	0.147018481122712	0	0	0.0872243173255026	0	0.014561395422656	0	0.0167324219433794	0	0	0.025684803491209	0	9999	0.595713307088067	0.802108249077471
B	0.0769348994264422	0	0.144935074427032	0.133817592048249	0	0.216681966343072	0.00311468267104053	0.176157966629017	0.132140757284697	0	0	0.0614270016617439	0	0.00850012668057083	0.0249239345097531	0	0.002024639159643	0.00211776053831097	0.0146477226015608	0.00257587601886757	9999	0.58943964274378	0.807249730294457
C	0.00514758839733627	0	0.00190816806925382	0.0350006619800846	0	0.200406449351688	0.000461541228946275	0.599294455940791	0.0953935984532803	0	0	0.00791459557904462	0	0.00579978161619581	0	0.00332510795283909	0.0113557106054737	0.00951954057998463	0.0044134648816496	0.0200593353634321	9999	0.501276754433684	0.868001778555254
D	0.00806498708609122	0	0.00441572364795673	0.0327498347511919	0	0.212339465838146	0	0.571597974351663	0.100266240194235	0	0	0.0124070415307502	0	0.00686310223474897	0.00207731371270219	0	0.00897082054764557	0.0185588005336005	0.00445961733776912	0.0172290782334994	9999	0.58784403653609	0.820765961152723
E	0.0167393845900544	0	0.03784233995519	0.0581601384013494	0	0.277605284636798	0	0.135523230782092	0.355708664005622	0	0	0.0394559611433323	0	0.00951915144803955	0.00667490757351133	0	0.0116820894285832	0.0118880162594895	0.00277943630984405	0.036421395466095	9999	0.513741009940333	0.858207079485304
F	0.0137280734628211	0	0	0.123711700131643	0	0.592872825642095	0.00708700218356148	0.0700955269287183	0.0513522429055605	0	0	0.0373194406463848	0.00168926359592976	0.0204594615856368	0.0189891700951211	0	0.0019311576169557	0.0438295372589125	0.00909526796792192	0.00783932997873816	9999	0.48975837350356	0.873658219293124
G	0.0913241707157659	0	0.211693081834785	0.216709837428052	0	0	0.120974273830627	0.0439485730396237	0.0682094770843531	0	0	0.0955529324621487	0	0.0167031316657517	0.0551656126919371	0.00189990249268833	0	0	0.0382227971995452	0.0395962095547217	9999	0.644098662630857	0.769035646541669
H	0.0599390568806429	0	0.385884713723682	0.259089050805834	0	0	0	0.0653591929133398	0.0659604335113526	0	0.00134837033915527	0.0539499592033724	0	0.0178368085623869	0.0323271548178059	0	0	0	0.0336638254128378	0.0246414338295901	9999	0.748655817323452	0.67784144217145
I	0.0705594539043115	0	0.379935212112659	0.259699598815068	0	0	0	0.0626195023078576	0.0660873684264256	0	0.00782034802713719	0.0563488257849803	0	0.0156104925511156	0.0364965111978018	0	0	0	0.0322729856194226	0.0125497012532208	9999	0.758409861072974	0.665846720995314
J	0	0.0157743807787262	0	0.0105826504876197	0	0.113861492547672	0	0.75942468434231	0	0	0.00375348321682659	0	0.00583829447285962	0.00443316132298571	0	0	0.00833918013647598	0.0358946542010464	0.00934470581416025	0.0327533126793171	9999	0.656483472657692	0.782747266014554
K	0	0.00633642241379166	0	0.0288318655105274	0	0.175528869062592	0.00749982737475166	0.25161252592607	0.460390589543117	0	0	0.00878621017495922	0	0.000595498963588939	0	0.00142448303112624	0.0184378439375117	0.0239943320582326	0.0124451738700632	0.00411635813366861	9999	0.705862207539614	0.72262870271309
L	0	0.0217207564139476	0	0.0257536124961492	0	0.109499197882612	0.0115801340900305	0.720698991199274	0	0	0.00512103249878775	0	0	0.0158792342385358	0.00918706163563342	0.0239744403485818	0.0107816302795876	0.016875174694175	0.00571779880657841	0.0232109354161065	9999	0.549910378544452	0.841386588247595
