Symbol,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
A,7.33087934694,7.2171,7.46708280793,7.56112726815,7.59525085637,6.52774,7.59997187632,6.66446,7.038359035,7.12036,6.43598,7.09424246597,8.03655869347,7.13467155592,7.57126991293,6.88896986643,7.58141174444,7.51106325767,7.07425757587,7.68721133147,7.38851315961,6.53574314228,7.39044897244,6.93630684187,6.8175,7.29236470708,7.07395142531,7.15386,6.90075198537,7.35232635895,6.27308289754,6.93024,7.81098,7.55843229986
B,7.34427578663,7.18408452743,7.44589018683,7.60053396483,7.61713638685,6.47246,7.62933106856,6.6653390667,6.98619578578,7.11399360512,6.63825113408,7.17792530096,8.02940363006,7.23718,7.62834075239,6.96120919985,7.64167030983,7.60476,7.04479745372,7.7082532526,7.37562311184,6.63244768028,7.4344022373,6.92008154113,6.82568,7.27936,7.053985082,7.16067796179,6.9482538097,7.45761435751,6.28839438034,7.00162,7.87498,7.58546586398
C,7.30484258179,7.1442796703,7.27492,6.56872543495,7.55072,6.29292482458,7.54016139699,6.55283445388,6.9656,7.12606830966,6.66992792079,7.04078,7.92702281807,7.22994257756,7.618,6.93070794235,7.62783373151,7.27315206822,6.87005126215,7.57478285104,7.44636,6.59139272762,7.49086186195,6.78229122665,6.61228,7.2575,7.11941440147,7.18917219292,7.10965292924,7.3709586326,6.31262967833,7.31082524685,8.22470411869,7.73064395342
D,7.29848,7.1620418349,7.2902,6.69116,7.46514,6.30183801082,7.6159,6.58070783287,7.04530709485,7.19756,6.6716,6.98972,7.94002553048,7.14309197185,7.68675524516,6.96893590836,7.63375219292,7.28622749387,6.9053,7.59913883295,7.35557919858,6.53761169583,7.48099261455,6.7991,6.64326375856,7.32988,7.1458,7.16763232818,7.0362,7.37223489855,6.3528396944,7.34048689027,8.26907242709,7.80747802477
E,7.26766,7.14656504565,7.34160338913,6.91186,7.778,6.25326919985,7.6079697523,6.49759033223,7.05002,7.18140928946,6.68419226604,7.13988488122,7.95684370572,7.15438320103,7.65519265196,6.92492,7.57931492561,7.38180305605,6.88,7.65827160538,7.42923741356,6.55603154831,7.49999638685,6.86215247865,6.74094238482,7.32677195198,7.13594,7.21148,7.02965408699,7.39258017161,6.2239,7.15994275509,8.06691058289,7.9192009836
F,7.3907330514,7.1263771274,7.29362994632,7.19248,8.08493206738,6.62721787936,7.62525105757,6.63718,6.93872,7.21162,6.63321269507,7.11347204624,8.00420267309,7.12586,7.65270314143,6.9171368852,7.65793482289,7.50270837898,7.02699553259,7.78173481845,7.48570659692,6.72838410517,7.35899904979,6.98472,6.82828,7.27084913856,7.09159862837,7.22869915673,6.98926680573,7.37270377547,6.4214,6.9816243499,7.61520546792,7.41946
G,7.39689329487,7.10481036816,7.44012246175,7.8200786009,7.41962545608,6.56408,7.47009481275,6.68363434483,7.12398480176,7.09413887522,6.61062,7.16382,8.0740156184,7.07210749387,7.60329738059,6.93378,7.62580447798,7.59334,7.43940463311,7.73737711937,7.27759778384,6.44456,7.28455617592,7.00266,6.86502,7.20036,7.01742,7.06282,6.91764848508,7.38322285104,6.1536,6.67516356201,7.49938772508,7.27094590413
H,7.32704,7.00482548102,7.34798,8.13695802054,7.25057263505,6.65625296855,7.48982,6.79028892721,7.0418861214,7.10561195198,6.67625097515,7.15958139657,8.08308333714,7.16852,7.64282053808,6.86062,7.74936365289,7.72586357046,7.14700358652,7.79807227196,7.27294111928,6.53172839251,7.32426,6.94785230831,6.89642,7.25007585891,7.09018,7.189,6.96094,7.32727153606,6.09738592654,6.49356,7.35598978739,7.07358179009
I,7.32897606095,6.9016807693,7.39194705216,8.06311712951,7.26509075112,6.54548,7.4445669207,6.77042179178,7.05898,7.10922713458,6.63064,7.1087,8.08989142404,7.0811,7.6723458048,6.89031689281,7.71121246682,7.697706047,7.1268436364,7.77488523713,7.26157476668,6.51502,7.37326979711,6.97752516062,6.94426,7.20148,7.0276214494,7.0987756167,6.82941085637,7.42926453631,6.18021587877,6.5536,7.32857660242,7.09154
J,7.17895281385,7.14699212698,7.38153703525,6.18032,7.37774,6.30304,7.49553482289,6.54542,6.99512809113,7.12649766717,6.67620155254,6.9738,8.00334778426,7.17941047553,7.69436101615,6.88440043326,7.6070907004,7.2373848677,6.78375155888,7.58237598698,7.48991333502,6.62906799222,7.43232931186,6.76806335996,6.62723638685,7.35724178291,7.07688,7.11948246175,7.01540165652,7.26218270268,6.27990739031,7.27826646462,8.27303684546,7.6884473751
