Mixture	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0.221313380065654	0.495932241089066	0.0561944504677314	0.207980440868534	0	0	0.146130323857901	0	9999	0.0599799885939753	1.1417513078075	1.12755083634889
Mix_2	0.254517348997745	0.528411158960184	0.0389370857599289	0.179086806283307	0	0	0.129621237609035	0	9999	0.0614522918678609	1.12109608198542	1.1305736376102
Mix_3	0.241145361408239	0.44154121966699	0.0317432618729377	0.243079461129244	0	0	0.159055746992933	0	9999	0.0618510983381795	1.14643659091738	1.11656505107034
Mix_4	0.257932818664465	0.468346315309657	0.0234889864274525	0.234837285433651	0	0	0.144173493500252	0	9999	0.0612336859341739	1.13468576681559	1.12877889933548
Mix_5	0.269988386818968	0.500210668781027	0.0114415331024177	0.21012355410625	0	0	0.137014756526815	0	9999	0.0625910785428748	1.12166725774512	1.12877889933548
Mix_6	0.2266646028035	0.506630697853134	0.0712738459855459	0.182931244947215	0	0	0.139182008980998	0	9999	0.060066178722474	1.13720566467898	1.12668240057039
Mix_7	0.275338517338834	0.503153806645556	0.0140166325171957	0.182924000924447	0	0	0.14463866985023	0	9999	0.0643995335781608	1.11814369070769	1.12007162727626
Mix_8	0.262506788389736	0.596294315858575	0.0527327068843958	0.0999940041537236	0	0	0.121792437357557	0	9999	0.0637633475326571	1.10315634230893	1.13332025264399
Mix_9	0.255892972037562	0.501169343490851	0.0332435189250468	0.197746041251453	0	0	0.138889641368745	0	9999	0.0621937451856242	1.12673287772773	1.12694151707366
Mix_10	0.249812585868418	0.514658412697986	0.0509976741953524	0.166347387557339	0	0	0.134332709415662	0	9999	0.0621764193662843	1.12405548652044	1.11614876973476
Mix_11	0.259080406460197	0.528555756351691	0.0240867460902652	0.18503367986838	0	0	0.131580712444677	0	9999	0.0620748640930128	1.11864916107627	1.12833730121521
Mix_12	0.221385025002403	0.479277920115805	0.0541761128532165	0.22516701840224	0	0	0.148918260959797	0	9999	0.0598286005793323	1.14626854255837	1.12892433733346
Mix_13	0.276585364987917	0.517775056401509	0.0265517060776006	0.164492333851624	0	0	0.132736970392314	0	9999	0.063896442696573	1.11365507428145	1.11814143171096
Mix_14	0.261087609231173	0.450231268263565	0.00654476405398139	0.249871222445729	0	0	0.163572420650769	0	9999	0.0631960803235642	1.13888554300767	1.13130728464522
Mix_15	0.259784224134283	0.526299187197322	0.0353187385664775	0.162946763957149	0	0	0.13572271342103	0	9999	0.0631907663666235	1.11804023168801	1.12007162727626
Mix_16	0.26373673469523	0.551425457425572	0.0424460509852172	0.139238987960118	0	0	0.132004387268333	0	9999	0.0636989846877383	1.11237779351912	1.12885161833447
Mix_17	0.273148815763566	0.527755879382868	0.0270128439130153	0.162666963220013	0	0	0.135838781787665	0	9999	0.0637817410676963	1.11419692407111	1.12642328406713
Mix_18	0.265614208292557	0.55533790500562	0.0408725509921185	0.143980717901589	0	0	0.129118661814554	0	9999	0.0627628122005436	1.11203109388151	1.13492404400644
Mix_19	0.223020540032657	0.478686218115867	0.0576148767196017	0.216248329206108	0	0	0.145326157946118	0	9999	0.0599844352627167	1.14433788496155	1.12089612202035
Mix_20	0.250345571636731	0.541395601796688	0.0506296728290862	0.152845992197527	0	0	0.130224464962927	0	9999	0.062168173142466	1.11882849278513	1.12544130342296
Mix_21	0.241606492240036	0.549579569775519	0.0564103088771737	0.140698380956037	0	0	0.130036245748239	0	9999	0.0621769689370367	1.11867114388378	1.11833099759701
Mix_22	0.228084325746315	0.498398311126066	0.0590514654125244	0.203484678800365	0	0	0.149290041878679	0	9999	0.0605901363332416	1.14083268290758	1.13830882296395
Mix_23	0.269627587014773	0.553147882036711	0.0349816612734628	0.14489384157842	0	0	0.12363811630599	0	9999	0.0631037797607331	1.10897342454824	1.12628908820936
Mix_24	0.252926232642321	0.558517566079225	0.0477125932612798	0.122540276168621	0	0	0.146015920924768	0	9999	0.0648153943393945	1.11501819593502	1.12771258907621
Mix_25	0.288104615954461	0.525341436118744	0.01297614035614	0.158399750100217	0	0	0.136374231698557	0	9999	0.065386290929533	1.1082996060881	1.12119617422812
Mix_26	0.278164562687004	0.551929873229625	0.0216763248174711	0.145096383926785	0	0	0.135339910842177	0	9999	0.0649577830203523	1.10761355542758	1.13220705550306
Mix_27	0.270007417014243	0.583882910150675	0.0593587586437175	0.0738863197052244	0	0	0.132936221762402	0	9999	0.0664098416678549	1.10179691059599	1.12007162727626
Mix_28	0.236857385320598	0.533513508763674	0.0529249791456702	0.170892300187551	0	0	0.132168012720749	0	9999	0.0607873560847268	1.12577314385096	1.12635618613824
Mix_29	0.28033371520847	0.555688592365612	0.0230874316350275	0.132332978665014	0	0	0.132194579003114	0	9999	0.0654163351593823	1.10433774610304	1.12363729687724
Mix_30	0.267168087021072	0.451934103756241	0.00850931588701073	0.244159791778441	0	0	0.155170218630892	0	9999	0.0628451332827804	1.13520732281165	1.12694151707366
Mix_31	0.267829489165561	0.539772293686122	0.0386332156746253	0.14779658060247	0	0	0.132324607009464	0	9999	0.0636322666990716	1.1132565564228	1.12635618613824
Mix_32	0.26866750762633	0.573815933445494	0.0540071944949709	0.121393456847197	0	0	0.126684373591526	0	9999	0.063394085535094	1.10871460427079	1.14456846600552
Mix_33	0.247524642978277	0.52064457026182	0.051369320813639	0.175792560776297	0	0	0.136573905169246	0	9999	0.0614627903003938	1.12646807720216	1.13190499999928
Mix_34	0.233191349988398	0.51557546630045	0.0620477265934637	0.175000803832118	0	0	0.139559451659897	0	9999	0.0610091188183504	1.13203116345853	1.12537479837433
Mix_35	0.254472009028197	0.48687374926786	0.0265731179209213	0.221987059234541	0	0	0.141034525676189	0	9999	0.0613456792452311	1.13146411409121	1.13094046112771
Mix_36	0.263564594751946	0.513047883915514	0.0308335023017021	0.182473076732964	0	0	0.140523648738217	0	9999	0.0630872676340301	1.12192747024797	1.13044270644034
Mix_37	0.236847853921379	0.448927617872033	0.0352298895177913	0.247083777535767	0	0	0.159623450229244	0	9999	0.0615457772954879	1.14803975445136	1.12771258907621
Mix_38	0.230331252924538	0.496050751044489	0.0536377060528552	0.209477130482031	0	0	0.138840460711297	0	9999	0.0596466539169507	1.13819404366575	1.12833730121521
Mix_39	0.262568290232064	0.587394924201495	0.0736809604286667	0.0954305279504047	0	0	0.107214385396726	0	9999	0.061798387230739	1.1040905264189	1.12628908820936
Mix_40	0.251993201911986	0.469054838856873	0.0218451393056391	0.233101153591464	0	0	0.15125184304531	0	9999	0.0621918745582708	1.13639092848412	1.12724617671127
Mix_41	0.237863502515789	0.462896756536095	0.0361365928296269	0.247466088013925	0	0	0.144488678439034	0	9999	0.0604499750412805	1.14327223492255	1.12885161833447
Mix_42	0.286606292446598	0.57567440134264	0.0256993053353784	0.111282891172322	0	0	0.132044394348278	0	9999	0.0663960273333049	1.09930137245097	1.13130728464522
Mix_43	0.24443152159159	0.509745369085788	0.0492646700627026	0.188236456322623	0	0	0.135872819286185	0	9999	0.0611420060252773	1.12921313114506	1.12755083634889
Mix_44	0.216517671091901	0.476114279849114	0.050915291336216	0.240636761367299	0	0	0.146324168380741	0	9999	0.0592085325169514	1.14868239186659	1.13050817202527
Mix_45	0.250177142587204	0.512092634951837	0.051759068747321	0.17083762350906	0	0	0.147566981593857	0	9999	0.0629494705992081	1.12824685096884	1.13243345138928
Mix_46	0.283583641759699	0.582411691706373	0.0498407442946967	0.0808261177168242	0	0	0.13378051096275	0	9999	0.0667708864610377	1.09958314274025	1.13044270644034
Mix_47	0.227835671144791	0.508064878797184	0.0566001174944326	0.185101541463008	0	0	0.14072878869759	0	9999	0.0609731362714682	1.13427646763529	1.118330997597
Mix_48	0.261057504621072	0.52152437769096	0.0313043272361785	0.17867051683541	0	0	0.135338976711321	0	9999	0.0625335550364285	1.12007551631657	1.12789570309494
Mix_49	0.24907750220702	0.437336541750036	0.0125611847486844	0.264025775631644	0	0	0.158317373948413	0	9999	0.0621718035036663	1.14445875029224	1.1213183782858
Mix_50	0.270431005690234	0.545683551430681	0.0469603271474673	0.127380249281342	0	0	0.137349012535854	0	9999	0.0645164825298299	1.11194061203864	1.12780414608558
Mix_51	0.262331622226052	0.54333187161826	0.0396206875629976	0.154536640964411	0	0	0.131486462273495	0	9999	0.0628689751371891	1.11516565369414	1.13130728464522
