CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
mix_1	0.2416	0.038	0.2417	0	0	0	0.2521	0.2266	0
mix_2	0.1715	0.18	0.1822	0.0274	0	0.0288	0.1979	0.1066	0.1056
mix_3	0.3498	0.0811	0.1284	0.0589	0	0.0378	0.1655	0	0.1785
mix_4	0.1547	0.0692	0.2575	0	0	0.1465	0.188	0.1842	0
mix_5	0.2416	0.0768	0.1867	0.0137	0	0.0728	0.1989	0.0824	0.1271
mix_6	0.1481	0.0822	0.2422	0	0	0.1016	0.2075	0.1964	0.0221
mix_7	0.2791	0.0869	0.1361	0.035	0	0.0684	0.1853	0.0079	0.2014
mix_8	0.2284	0.083	0.132	0.0854	0	0	0.2114	0.0814	0.1784
mix_9	0.1212	0.0663	0.3304	0	0	0.0507	0.2068	0.2245	0
mix_10	0.2852	0.1261	0.1814	0	0	0.1918	0.1492	0	0.0665
mix_11	0.2048	0.1381	0.2523	0	0	0	0.2308	0.174	0
mix_12	0.2292	0.0258	0.1764	0.0057	0	0.1567	0.1793	0.1166	0.1103
mix_13	0.1384	0.053	0.0504	0	0	0.4364	0.1572	0.0731	0.0916
mix_14	0.2102	0.081	0.2787	0	0	0.1361	0.181	0.1129	0
mix_15	0.2026	0.0817	0.2313	0.0229	0	0.0257	0.2082	0.1394	0.0882
mix_16	0.2531	0.1487	0.1123	0.0596	0.0156	0.0323	0.1611	0	0.2174
mix_17	0.244	0.109	0.0724	0.0952	0.0161	0.0753	0.1635	0	0.2244
mix_18	0.2349	0.105	0.1266	0	0	0.3526	0.1272	0	0.0536
mix_19	0.3079	0.0695	0.1013	0.1075	0.0146	0.0327	0.1707	0	0.1959
mix_20	0.1234	0.1575	0.286	0	0	0.0963	0.178	0.1399	0.0191
mix_21	0.2163	0.0665	0.0948	0.064	0	0.2006	0.153	0	0.2048
mix_22	0.3054	0.028	0.2732	0	0	0.0048	0.2032	0.1854	0
mix_23	0.1829	0.0911	0.2993	0	0	0.0514	0.1988	0.1765	0
mix_24	0.198	0.0725	0.1745	0.031	0	0.1162	0.1823	0.0698	0.1555
mix_25	0.112	0.0911	0.32	0	0	0.1052	0.1926	0.1791	0
mix_26	0.2859	0.0604	0.0802	0.0642	4e-04	0.2027	0.1393	0	0.1669
mix_27	0.1839	0.079	0.309	0	0	0	0.2414	0.1867	0
mix_28	0.1576	0.1033	0.2507	0	0	0.0955	0.1994	0.1484	0.0452
mix_29	0.242	0.0681	0.2487	0	0	0	0.2379	0.2032	0
mix_30	0.1521	0.0569	0.2562	0	0	0.1669	0.1934	0.1745	0
mix_31	0.2491	0.0564	0.2157	0	0	0.1553	0.1774	0.1015	0.0447
mix_32	0.2496	0.0717	0.2721	0	0	0.1647	0.1508	0.091	0
mix_33	0.2554	0.0536	0.1504	0	0	0.2722	0.1504	0.0173	0.1006
mix_34	0.3303	0.1254	0.0887	0.0688	0.0716	0.0881	0.1444	0	0.0827
mix_35	0.2322	0.032	0.2239	0	0	0.1098	0.1925	0.1891	0.0204
mix_36	0.2906	0.0532	0.2064	0	0	0.0953	0.1798	0.1058	0.069
mix_37	0.255	0.0809	0.0865	0.0789	0	0.0961	0.1702	0	0.2324
mix_38	0.2839	0.0771	0.1814	0.048	0	0.0078	0.1938	0.0449	0.1631
mix_39	0.1675	0.0958	0.2909	0	0	0.0335	0.2025	0.1887	0.0211
mix_40	0.3116	0.0335	0.1626	0	0	0.1689	0.1719	0.078	0.0735
mix_41	0.3352	0.0698	0.1905	0	0	0.1304	0.1487	0	0.1255
mix_42	0.1323	0.1473	0.1086	0	0	0.4117	0.1389	0.0612	0
mix_43	0.3025	0.1156	0.1334	0	0.005	0.2073	0.1391	0	0.0972
mix_44	0.1773	0.1612	0.2921	0	0	0.0368	0.1939	0.1387	0
mix_45	0.2349	0.1041	0.2389	0	0	0.0291	0.2254	0.0731	0.0946
mix_46	0.3758	0.0407	0.188	0	0	0.1557	0.1575	0	0.0822
mix_47	0.2078	0.1418	0	0.125	0.0989	0.0465	0.1487	0	0.2313
mix_48	0.2365	0.1292	0.1975	0	0	0.2648	0.141	0.027	0.0039
mix_49	0.4181	0.0482	0.2719	0	0	0	0.1665	0.0953	0
mix_50	0.2046	0.0636	0.2685	0	0	0.0446	0.2126	0.2062	0
mix_51	0.3038	0.0908	0.0748	0.0597	0.0048	0.1365	0.1401	0	0.1894
