Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
Mix_1	0.208334993059939	0.142035268914777	0.262993376242638	0	0	0.0801006247541833	0.144543948955519	0	0.161991788072944	9999	0.990981374271991	0.190609656291503
Mix_2	0.117217707873525	0.237557550005206	0.353582520368194	0.0252299508530234	0	0.0420250022448913	0.132432212223562	0	0.0919550564315973	9999	0.995498145951863	0.141244270164251
Mix_3	0.132077248980443	0.12611232755529	0.187114734224325	0	0	0.0730591607190063	0.230460962631145	0.100322302944612	0.150853262945178	9999	0.996947137288386	0.105005392792415
Mix_4	0.0921709145600067	0.169000483939982	0.274791368246077	0.00993074480530635	0	0.0683492995740635	0.234189736454878	0.0421234772804424	0.109443975139244	9999	0.997104633462585	0.106869946804753
Mix_5	0.0481113270566408	0.365304544980927	0.264427093523318	0.0167860198848509	0	0.00265479654942726	0.212700545152695	0	0.0900156728521412	9999	0.994859804152939	0.12297901173516
Mix_6	0.25151432283711	0.191055777061213	0.216353489419077	0	0	0.0685799956965783	0.118169509376304	0	0.154326905609717	9999	0.991325147355241	0.207516366416486
Mix_7	0.0634994708699045	0.195191143934565	0.320021223845991	0.0123841349598892	0	0.0583644134227162	0.178605487782199	0.0923110914805206	0.0796230337042154	9999	0.997306136180731	0.0911762932695217
Mix_8	0.19261447508862	0.262972047918584	0.401869194394448	0.0334746180739256	0	0.0132580465184178	0.0541692377947971	0	0.0416423802112073	9999	0.996082661459487	0.173726868474457
Mix_9	0.118568107544398	0.251979889627612	0.340317260012075	0.0153263578525507	0	0.00483537001383506	0.174268920150253	0.000598027428274058	0.0941060673710033	9999	0.997019538088155	0.129652631288072
Mix_10	0.178058020165749	0.277974066702995	0.201617365399984	0	0	0.0571252783208062	0.135073641463505	0.0571456506207949	0.0930059773261669	9999	0.995826579815693	0.155344906264433
Mix_11	0.0838810802618134	0.20620135693606	0.385500650202971	0.026365283719481	0	0.0560182676582874	0.148595049324058	0	0.093438311897329	9999	0.997076863416607	0.116590321916516
