Gene,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
mix_1,1041.6655,2003.0305,135.8285,255.8659,244.4108,120.446,679.0376
mix_2,1151.4827,2099.6774,126.8823,260.5546,214.8459,118.3055,684.4439
mix_3,627.3348,1539.1077,153.1754,221.6443,392.9529,132.8006,707.1689
mix_4,805.02,1693.9248,143.37,238.4415,318.7888,137.3031,683.6637
mix_5,772.0242,1763.1506,148.5931,233.0423,331.4371,130.1246,681.5335
mix_6,899.6259,1891.8792,137.0665,246.2666,288.5744,130.2644,681.1686
mix_7,689.6428,1613.9593,149.2781,231.4085,340.758,145.6482,680.7261
mix_8,954.3004,1853.8684,128.9351,248.4351,258.8688,139.1584,669.4292
mix_9,910.4519,1968.1316,142.8525,245.9749,284.1595,123.1926,679.4396
mix_10,745.4342,1569.187,140.2771,232.924,328.4414,150.735,684.8531
mix_11,1113.8508,2060.499,124.6878,254.1602,229.3879,123.9292,674.0932
mix_12,1014.4213,1946.3842,132.3039,250.7246,260.662,119.2052,684.9889
mix_13,690.1718,1670.4867,148.1043,231.4802,327.7752,155.707,671.2983
mix_14,711.1521,1589.4783,143.0642,233.5968,329.5284,152.8523,684.3051
mix_15,585.5463,1731.4652,160.1681,233.607,354.5225,151.1103,667.7222
mix_16,746.8821,1606.931,144.5007,232.5127,345.8958,133.4583,694.928
mix_17,462.6984,1305.5483,156.9997,227.9992,419.2642,172.5448,692.3815
mix_18,1167.3349,2189.4349,123.2024,265.0156,206.5114,121.8323,684.1188
mix_19,876.4357,1867.6786,136.6271,246.3604,283.379,136.4394,682.5082
mix_20,509.6992,1365.6648,166.8516,226.5037,451.6287,129.7381,724.6412
mix_21,704.2027,1556.0734,145.9747,233.7788,343.6878,138.9549,691.0186
mix_22,839.7338,1896.347,142.0386,242.1273,290.6135,139.9069,668.0185
mix_23,859.9561,1782.3617,133.8075,245.6078,290.948,142.6534,677.9183
mix_24,1235.9322,2332.3461,126.1377,265.2555,195.8968,119.1389,680.4202
mix_25,899.3051,1693.0652,135.141,243.1791,305.0809,121.6303,705.5298
mix_26,530.3076,1563.3322,177.3606,227.1743,432.1103,126.5008,697.1225
mix_27,1045.0096,2100.7025,132.8502,255.8766,218.4726,142.8458,650.5218
mix_28,505.5273,1382.2228,163.1549,221.1178,431.0491,136.4553,708.4827
mix_29,877.2965,1894.8075,139.8666,244.8573,294.3981,129.1093,688.4377
mix_30,860.2832,1868.2752,139.4363,241.1166,296.5647,131.9005,689.1981
mix_31,897.3674,1836.7394,136.863,243.0007,296.6295,127.2722,689.833
mix_32,792.4997,1672.9393,145.8408,233.9544,328.9542,131.2832,688.4325
mix_33,921.7673,1872.0226,137.3052,242.8858,280.2852,132.9525,677.4001
mix_34,1075.0408,2030.1186,130.6221,258.5006,236.6971,119.2627,682.303
mix_35,930.5004,1880.225,136.543,248.3479,274.7009,124.3058,684.1413
mix_36,685.1062,1552.1104,145.6394,228.8876,347.9137,146.5443,685.9668
mix_37,735.0811,1576.1396,141.6583,231.4558,333.8989,144.8035,691.9369
mix_38,569.8284,1534.403,163.0762,224.4275,415.911,131.1387,701.0108
mix_39,591.4809,1567.1017,160.5599,233.549,368.0825,150.3615,678.9396
mix_40,912.1346,1869.0387,134.0761,243.383,286.531,133.1114,676.5544
mix_41,1018.0925,1997.3299,135.0235,253.8949,251.8901,121.5559,678.8294
mix_42,526.9016,1359.5359,158.915,221.6811,410.4575,153.5821,691.6832
mix_43,766.033,1757.3286,154.0539,236.8095,344.3534,121.4887,684.3058
mix_44,726.0855,1672.1292,151.4962,230.5515,360.6221,125.4704,690.999
mix_45,867.385,1662.4715,137.1224,238.2261,320.6442,117.5433,706.5105
