B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
mix_1	0	0	0	0	0.1006	0	0	0	0.1437	0.5053	0.0255	0.015	0.0348	0.0031	0	0	0.047	0.0138	0	0.0036	0.0452	0.0623
mix_2	0	0	0	0	0.0685	0	0	0.0344	0.1146	0.3429	0.0045	0.0233	0.0597	0.0847	0	0.0597	0.0536	0.0253	0	0	0.0331	0.0957
mix_3	0.0046	0	0	0.0244	0.0495	0	0.1089	0	0.0648	0.0835	0.1217	0.0337	0.1121	0.069	0	0.0427	0.0406	0.1049	0	0.0219	0.0338	0.0839
mix_4	0	0	0	0	0.0126	0	0	0.1646	0.1404	0.3232	0.0083	0	0.0031	0	0	0	0.1013	0.1379	0	0	0.0454	0.0632
mix_5	0	0	0	0	0.0474	0	0	0.0361	0.1212	0.3764	0.0505	0.0072	0.0283	0.0076	0	0.0188	0.0849	0.0925	0	0	0.0508	0.0783
mix_6	0	0	0	0	0.0284	0	0	0.117	0.1396	0.3863	0.0111	0.0025	0.0021	0	0	0.0047	0.0982	0.1132	0	0	0.0437	0.0532
mix_7	0	0	0	0	0.0523	0	0.035	0.014	0.0954	0.2913	0.0723	0.0179	0.0547	0.0544	0	0.0338	0.0632	0.0818	0	0	0.0446	0.0892
mix_8	0	0	0	0	0.077	0	0	0	0.1149	0.3719	0.0614	0.0231	0.0504	0.0563	0	0.0105	0.0594	0.0559	0	0.0042	0.0354	0.0797
mix_9	0	0	0	0	0.015	0	0	0.1254	0.154	0.4196	0	3e-04	0	0	0	0	0.0949	0.1105	0	0	0.0361	0.0442
mix_10	0	0.0218	0.0036	0	0	0	0.0213	0.2265	0.0961	0.132	0.0209	0.008	0.0662	0.0176	0	0.0098	0.0931	0.1489	0	0	0.0498	0.0844
mix_11	0	0	0	0	0.0777	0	0	0.0068	0.1395	0.4691	0	0.0059	0.0389	0.011	0	0.028	0.0557	0.0268	0	0	0.0504	0.0902
mix_12	0	0	0	0	0.0304	0	0	0.1211	0.1246	0.3114	0.0409	0.0083	0.022	0	0	0	0.0985	0.139	0	0	0.0442	0.0597
mix_13	0	0	0	0	0	0	0	0.2822	0.1179	0.1632	0	8e-04	0.0279	0	0	0	0.1102	0.2138	0	0	0.0416	0.0424
mix_14	0	0	0.0038	0	0.0015	0	0	0.2022	0.1402	0.2793	0	8e-04	0.0197	0	0	0	0.0986	0.1426	0	0	0.0484	0.0629
mix_15	0	0	0	0	0.0554	0	0	0.036	0.1305	0.3895	0.0332	0.0159	0.0322	0.0013	0	0.0185	0.0776	0.09	0	7e-04	0.0472	0.0721
mix_16	0	0	0	0.0602	0.0217	0	0.1598	0	0.0472	0.0452	0.099	0.0493	0.0916	0.0436	0	0.1062	0.0383	0.1078	0	0.0312	0.0174	0.0814
mix_17	0.0081	0	0	0.0388	0.0088	0	0.1322	0	0.0795	0.0797	0.0935	0.0381	0.091	0.0632	0	0.0665	0.0564	0.1299	0	0.0121	0.0251	0.0771
mix_18	0.0043	0.0195	0.0034	0	0	0	0.0116	0.2822	0.1088	0.04	0.0035	0.0116	0.0731	0.0362	0	0	0.095	0.1964	0	0	0.0421	0.0724
mix_19	0.0109	0	0	0.0342	0.0443	0	0.0964	0	0.08	0.1268	0.0993	0.0377	0.1174	0.0662	0	0.0023	0.0478	0.1067	0	0.021	0.0346	0.0745
mix_20	0	0	0	0.0022	0.0202	0	0	0.1708	0.1311	0.3053	0	0.0114	0.0164	0	0	0.0282	0.0953	0.119	0	0	0.0386	0.0615
