Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
mix_1	0.03	0.0639	0.136	0	0.0277	0.7424
mix_2	0.0096	0.0389	0.0764	7e-04	0.0296	0.8448
mix_3	0.2826	0.2375	0.2258	0.004	0.0286	0.2214
mix_4	0.3267	0.1006	0.1388	7e-04	0.0204	0.4128
mix_5	0.2396	0.1033	0.2429	0.0101	0.032	0.3721
mix_6	0.177	0.0856	0.1412	6e-04	0.0228	0.5729
mix_7	0.4394	0.0902	0.1935	0.0019	0.0231	0.2519
mix_8	0.3114	0.0473	0.0605	0	0.0124	0.5684
mix_9	0.0558	0.0877	0.2004	0	0.0267	0.6293
mix_10	0.4929	0.0592	0.1251	0.0027	0.01	0.3101
mix_11	0.0424	0.0395	0.084	0	0.0283	0.8058
mix_12	0.0059	0.0835	0.1105	3e-04	0.0311	0.7687
mix_13	0.5182	0.0503	0.1759	5e-04	0.0202	0.2348
mix_14	0.5116	0.0546	0.1451	0.0086	0.0145	0.2655
mix_15	0.4423	0.0736	0.3038	0.015	0.0302	0.1351
mix_16	0.2913	0.1566	0.1584	0	0.0266	0.3671
mix_17	0.6902	0.0925	0.1675	0.0048	0.0215	0.0234
mix_18	0.0395	0.025	0.0592	0	0.0287	0.8476
mix_19	0.2848	0.0542	0.1296	0.0041	0.019	0.5084
mix_20	0.1854	0.3057	0.3588	0.0764	0.0339	0.0397
mix_21	0.3757	0.112	0.1994	0.0137	0.0184	0.2808
mix_22	0.3377	0.0389	0.1721	4e-04	0.0214	0.4295
mix_23	0.3592	0.0643	0.1004	0	0.0177	0.4584
mix_24	0.0042	0.0216	0.0799	0	0.0335	0.8608
mix_25	0.0494	0.1529	0.1179	0.0032	0.0209	0.6557
mix_26	0.0563	0.3413	0.4574	0.0225	0.0569	0.0657
mix_27	0.3046	0	0.1031	0	0.0223	0.57
mix_28	0.3064	0.2624	0.3147	0.0306	0.0336	0.0523
mix_29	0.1625	0.092	0.1592	0	0.0294	0.5568
mix_30	0.2247	0.0842	0.1528	1e-04	0.0217	0.5165
mix_31	0.1405	0.1018	0.1299	0	0.0239	0.6039
mix_32	0.2402	0.1178	0.1839	0.0015	0.0262	0.4303
mix_33	0.2279	0.0834	0.1044	0	0.0223	0.562
mix_34	0.0089	0.054	0.1057	0	0.0301	0.8012
mix_35	0.1203	0.061	0.162	0.005	0.0254	0.6263
mix_36	0.4596	0.1461	0.1121	0	0.0188	0.2634
mix_37	0.423	0.113	0.1175	0	0.0226	0.3239
mix_38	0.1732	0.3168	0.3155	0.006	0.0477	0.1408
mix_39	0.4704	0.0949	0.2692	0.0038	0.03	0.1316
mix_40	0.2404	0.0747	0.0971	0	0.0217	0.566
mix_41	0.0523	0.0502	0.1409	0	0.027	0.7295
mix_42	0.5317	0.1478	0.2229	0.0102	0.0244	0.0629
mix_43	0.0192	0.1947	0.2995	0.0177	0.0413	0.4276
mix_44	0.0826	0.2316	0.2631	0	0.0408	0.3819
mix_45	0.0011	0.2222	0.1245	0.0018	0.0296	0.6207
mix_46	0.252	0.1741	0.3094	0.0424	0.029	0.1931
mix_47	0.2624	0.0676	0.0965	0	0.0163	0.5572
mix_48	0.2814	0	0.0874	0	0.0218	0.6094
mix_49	0.2737	0.0321	0.1275	0	0.0199	0.5468
mix_50	0.4271	0.2084	0.1529	0.0056	0.0229	0.1831
mix_51	0.2848	0.0069	0.098	0	0.024	0.5864
mix_52	0.5532	0.1258	0.2146	0	0.0256	0.0808
mix_53	0.3032	0.0197	0.0959	0	0.0212	0.56
mix_54	0.489	0.1094	0.2666	0.0386	0.0203	0.076
mix_55	0.2754	0.0299	0.105	0	0.02	0.5698
