Gene,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
Mix_1,549.505756705,1259.4037085,88.1423252016,162.027566405,208.677583903,119.927236006,440.501963005
Mix_2,414.106841261,1183.78460869,86.8675250684,156.199812347,236.016355876,132.010831413,422.874460135
Mix_3,442.704501785,1143.49270433,93.0092404644,156.180133962,233.137233201,114.461508347,474.427598848
Mix_4,399.446470916,1142.32038261,92.5853278161,155.971391512,243.784279745,118.652258344,456.352771597
Mix_5,362.703685371,1105.9383149,91.2431523036,154.34759712,226.102314134,143.023236068,447.687038796
Mix_6,579.881288637,1262.39033516,84.9148348288,162.351447048,190.22250195,125.215563478,444.86491467
Mix_7,367.270450221,1107.14760591,89.050997021,150.650721486,256.319318582,120.656669595,454.924709285
Mix_8,445.351920178,1214.25211888,79.053768231,148.637742436,243.281362798,129.281700682,421.505421577
Mix_9,417.753820813,1159.61407991,88.1444205523,155.89877306,233.162022047,127.03941097,445.11615549
Mix_10,473.378187653,1157.2332001,83.7706092371,153.796754058,207.018072817,131.812854439,445.8711502
Mix_11,382.713258079,1174.16513968,91.2723605326,157.404865955,261.247154028,126.973546517,431.86988195
Mix_12,516.566292995,1229.2127311,89.4669542832,160.302942168,222.589759102,111.929481889,455.66841702
Mix_13,391.43645274,1130.07301756,85.8213479194,151.321738071,232.605569133,136.054328464,452.506091173
Mix_14,367.884902758,1086.73669619,93.9768287395,154.554227054,252.896994418,113.168767255,472.976683568
Mix_15,398.43032168,1198.55431065,87.9693217463,156.338425935,266.043240745,119.555283851,445.023644611
Mix_16,422.904431389,1172.34201107,81.974429911,150.979172987,243.319337163,127.18054878,442.48415167
Mix_17,392.096715066,1160.48853197,87.2971407805,151.659368698,261.421888688,122.421869542,455.790760468
Mix_18,390.972806242,1227.17477983,87.1572049089,152.892156541,275.686380926,120.59193664,432.716168942
Mix_19,532.084073891,1209.49281442,87.8601189445,157.148334772,207.63653813,115.100177464,461.97846619
Mix_20,459.287751207,1197.10761642,82.2020240564,151.589223608,225.861281999,128.766782431,440.128954203
Mix_21,507.30813851,1230.99419587,80.9324267647,154.532996052,219.708979098,127.831640101,438.959717113
Mix_22,560.750199413,1240.41257936,85.7954745073,158.513428498,210.107825338,116.59162562,460.120522525
Mix_23,393.769909488,1184.11267499,84.6525095268,154.267828171,240.718454313,140.059181209,428.374839963
Mix_24,441.653190423,1241.74047878,84.1579477736,152.876941382,271.068394525,109.846072528,448.9814778
Mix_25,353.683264304,1103.33627013,84.7169494501,147.274696829,245.319166363,133.787182499,449.983796639
Mix_26,377.94894104,1143.87572075,84.9064887969,150.603035927,259.830812794,126.717786852,449.192873564
Mix_27,474.979466519,1164.00084694,76.8704125014,144.78823428,224.728776062,129.156354673,454.566622206
Mix_28,493.491968193,1220.06141804,85.1540805732,156.647324673,222.16107803,123.683465609,439.860536098
Mix_29,370.055257301,1142.88862276,83.4528377833,149.223854399,256.960492039,128.939514107,445.757946214
Mix_30,376.759265195,1076.92311555,92.6921240608,152.076348282,239.902184285,120.649045826,474.705429335
Mix_31,413.569438947,1169.78070119,83.0405281276,152.471042281,239.963989265,128.906275214,444.269741912
Mix_32,429.772682668,1245.49527584,87.9097644372,153.700541354,267.466118858,123.95691989,429.206496985
Mix_33,451.413608789,1201.90460331,85.4169383368,152.631476915,248.69231648,114.263239311,441.921197568
Mix_34,546.36414718,1233.2614111,84.0435180291,160.202876242,200.571941963,129.560316962,447.28382951
Mix_35,394.192600011,1156.01933591,91.4088552665,154.706288153,243.454983245,124.639288558,442.449343479
Mix_36,412.896685421,1145.22326987,86.9203777075,152.633378044,239.429299314,127.094916558,450.071824072
Mix_37,453.914925318,1152.10822115,92.6502758656,158.226535728,226.251701564,114.40132265,472.281720075
Mix_38,488.067394593,1221.59803527,88.5422063784,157.489865319,233.188586807,113.226246673,441.782947897
Mix_39,523.358858834,1264.5623042,78.1907228015,156.359999983,216.750859958,138.281344112,421.599401954
Mix_40,415.484471298,1109.81429112,92.2598560526,154.408335932,226.41303952,124.244439923,472.065847896
Mix_41,447.26411512,1172.85810525,92.992456312,162.08930466,223.632057572,123.578834507,456.637360078
Mix_42,373.455097932,1148.49010812,83.6521361633,151.232949902,262.987328251,128.502863255,452.005943541
Mix_43,470.369634678,1159.14437876,85.1220602871,153.92155208,207.729557944,128.509975085,449.717686367
Mix_44,491.998962852,1219.62933586,90.0735227912,160.943700207,224.294495423,117.90969736,443.412185404
Mix_45,460.494961632,1170.6531256,85.4883202001,151.79977667,232.055975089,116.266845265,465.294864648
Mix_46,419.998386942,1159.45923282,78.4486735673,145.075314472,242.084092815,127.171989281,451.329206019
Mix_47,512.356714801,1217.83995913,84.7680777461,154.936335056,207.018638828,123.403868286,449.632531097
Mix_48,401.532775616,1167.24682364,87.8229484159,153.274502859,243.649008352,128.89478653,444.44831948
Mix_49,382.556735612,1131.16797643,95.5469926773,158.642671746,248.731943495,116.935358465,460.75333849
Mix_50,438.200907127,1175.49690285,83.3463000457,149.60613981,255.804701547,117.472344161,463.982945915
Mix_51,415.511962764,1189.90908627,84.5743967589,153.360597308,246.290007996,128.427245732,437.079897179
Mix_52,436.588183754,1144.11072373,88.9243275517,154.638426471,241.226153837,108.462755886,476.265880466
Mix_53,488.213740532,1202.49356227,82.0880087567,153.57403099,225.234173466,125.037662184,450.062066391
Mix_54,541.655967575,1218.13683664,92.845795466,166.021088607,193.836408291,117.177797042,452.165427101
Mix_55,451.186022729,1187.48340467,96.4188225118,162.605388076,229.512842012,113.675088419,483.490833847
Mix_56,471.946908631,1187.67567251,82.0777232389,153.248473867,242.129283572,114.247783892,467.071822379
Mix_57,458.826937393,1215.02170606,98.5941403304,165.181373764,234.043326372,110.840860635,449.521268074
Mix_58,400.792679897,1168.13508813,85.63159614,158.185968884,266.726923047,118.61525958,451.600114479
Mix_59,452.163359153,1151.50244093,99.6211290833,163.297345256,225.625367924,117.168386059,479.127229188
Mix_60,331.657483218,1062.71931505,82.907744544,141.722413719,254.395310805,135.387710727,474.069027799
Mix_61,449.534135026,1149.93188844,84.8194784543,156.192521352,210.04651962,135.078659764,447.304438424
Mix_62,356.699211301,1075.53124011,92.8016901356,154.812945103,224.337998747,138.816982287,454.53998838
Mix_63,530.98565919,1215.75521678,93.7560913037,165.20455159,204.440365762,114.782901391,453.453299496
Mix_64,546.9232027,1236.30242485,81.2991208823,156.02615715,202.842117974,126.837176378,449.78211242
Mix_65,492.263432614,1203.49943475,83.2236081386,154.754127824,219.83006272,126.768669496,446.551252206
Mix_66,362.300405097,1108.23296844,88.4192994806,149.98849607,244.956907723,126.834053408,445.075652079
Mix_67,482.522239742,1218.68740896,82.2431721207,157.062925169,204.814587806,143.783882922,421.812649681
Mix_68,443.55067016,1172.88086612,82.5295766871,146.676270359,249.319123256,119.865354597,455.174840964
Mix_69,407.073309816,1123.77341167,85.4757910375,151.280488101,224.716952238,136.514305102,450.960257905
Mix_70,421.434099317,1190.20345435,83.5394393601,149.402346375,254.871503191,118.744994734,459.024388529
Mix_71,436.270084641,1136.2231121,91.8717446356,157.240698084,226.351424898,120.754096792,472.377335656
Mix_72,495.604355953,1280.57929827,80.2754736258,152.026118182,246.608307269,119.367340214,427.228122893
Mix_73,433.728195146,1157.46621015,96.4693512239,160.339573427,239.668962486,110.953241765,471.597966309
Mix_74,466.650403327,1165.51956126,86.5055824624,155.392472761,202.910575386,130.543866684,444.909984527
Mix_75,398.449182976,1145.01577269,94.3835568671,160.892748122,236.473043846,122.918974641,454.950779177
Mix_76,393.629247369,1121.85397942,94.6356030228,159.522516803,237.023647486,120.694682126,462.476213916
Mix_77,512.676141969,1248.28100961,85.2629131491,159.489256307,216.969310813,123.250021271,434.837527755
Mix_78,362.554893497,1110.41821974,93.2895106987,152.236346241,262.393813999,113.403639334,462.746311116
Mix_79,507.883506727,1192.20868012,96.3681262687,165.626046208,203.741620633,113.587732388,459.521555114
Mix_80,422.581390558,1211.08821245,86.4789202828,153.305863705,252.996841246,127.086191058,435.691226898
Mix_81,470.891501128,1160.20960364,88.1669193564,155.693454726,215.702489852,122.021863875,456.45894834
Mix_82,339.888762118,1061.02749525,88.8896271978,149.019920144,244.910588781,122.22717057,460.432536204
Mix_83,440.461480832,1160.28149192,87.2245346932,152.530838861,219.208680933,130.414790373,444.457403747
Mix_84,457.111087905,1180.2779526,84.7854474496,151.702667639,236.43493584,124.297628595,449.524181877
Mix_85,372.795261371,1118.70140904,91.7416797176,155.371688764,246.166493348,123.535642572,452.501106023
Mix_86,490.937526806,1168.97343847,90.3186401591,157.286088377,213.702932985,118.261016964,460.775570563
Mix_87,457.853217154,1182.48299165,82.8670289691,158.520082556,199.461735078,147.558587489,428.903627589
Mix_88,387.286391358,1150.41358552,79.8552445233,145.972484361,254.870497494,129.628711675,438.956461814
Mix_89,535.19088448,1239.09849273,87.2343745303,164.115103453,220.456893116,109.204305466,447.563688711
Mix_90,393.693998643,1135.08353565,100.690409432,163.613662013,230.652566309,125.56039034,460.930982438
Mix_91,358.766323638,1124.35088958,86.3425770588,152.613991106,235.344673245,146.281744931,431.301403604
Mix_92,444.816963745,1175.54278707,91.4288909337,160.288047251,220.698885801,127.138749567,436.429976778
Mix_93,477.025606553,1294.13839054,81.7378536328,157.249507557,250.718432607,119.664521434,424.406626024
Mix_94,391.667368294,1149.69839625,81.2959389194,148.516076052,246.784813157,133.851054668,438.428491233
Mix_95,406.027608042,1197.41911423,91.2128772848,158.31529079,250.419280035,122.822132464,435.165288461
Mix_96,418.171517878,1187.68492954,87.5988619073,156.268798079,260.465523564,115.74687556,448.229950879
Mix_97,486.667107521,1174.58059922,86.738170989,154.362832689,204.70323582,125.91582378,447.935964727
Mix_98,610.16005541,1355.54459688,74.8587226689,158.743194522,196.431358702,143.506177084,421.719234509
Mix_99,374.074369925,1216.67733361,90.5334825694,155.91311789,292.986309728,113.217771938,447.906512613
Mix_100,518.821444588,1256.6588793,86.02220843,160.758106122,209.268721748,126.570844845,425.71964124
