Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
A	0.163066617207242	0.0207390763279664	0	0.142537723349291	0.301408675831652	0.0572091071521326	0.220213997760893	0	0.0948248023708222	9999	0.525643556195612	0.922080499489512
B	0.183028833945902	0.0206207004629482	0	0.108907495660141	0.276333100188002	0.069172738588934	0.235169564376624	0	0.106767566777448	9999	0.544713671085229	0.899048762278636
C	0.047701830105674	0.00730021875192285	0	0.287792793633218	0.457166123464474	0	0.200039034044711	0	0	9999	0.549709460877251	0.923854047167102
D	0.0434859016528472	0.00626844534004562	0	0.300100392906058	0.460772546557474	0	0.189372713543575	0	0	9999	0.55412598439131	0.921057319338894
E	0.0783690762523831	0.00417226691596272	0	0.164464493431136	0.345946387170197	0.0963891552184826	0.238154926535259	0	0.0725036944765802	9999	0.542740500087833	0.920463407794806
F	0.123931557737325	0	0	0.0650239012797819	0.173982315908056	0.0644110499674297	0.378646725687239	0	0.194004449420169	9999	0.486373137172344	0.977851722524457
G	0.254586212477305	0.0288450456023848	0	0.145628131840001	0.249969259275541	0.0142415660352492	0.183624775810674	0	0.123105008958845	9999	0.479341148087513	0.951915824770333
H	0.328599440580411	0.0257175712168312	0	0	0.131311039722785	0.150286217982601	0.174168361932935	0	0.189917368564437	9999	0.509876520642612	0.905861535277085
I	0.382399416481701	0.0147869227961006	0.0114163234012389	0	0.129852342042787	0.123734837390985	0.171498766326525	0	0.166311391560662	9999	0.497336303657737	0.908806864648439
J	0.00523740508794789	0.0127123086811957	0	0.331783062397419	0.383859431773786	0.0940826390394295	0.172325153020222	0	0	9999	0.560662027717046	0.924359092263917
K	0.00890352972942744	0.006179461253834	0	0.246631609793547	0.37893371353464	0.0909427749688048	0.257134531662958	0	0.0112743790567888	9999	0.534328582604796	0.945970932018131
L	0.0514006114770641	0	0	0.314603229926718	0.317528608128376	0.157210875029264	0.159256675438578	0	0	9999	0.562447370020623	0.911040631556496
