Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0	0.246641970882607	0.127480161066822	0.244455674729674	0.0978705989122733	0.261946253500637	0.223493374088509	9999	0.675867605470861	0.778338964649205	1.20188803318052
mix_2	0	0.280989845517982	0.0910529817844616	0.255091742010111	0.0738665406701405	0.247057299221085	0.254507265812776	9999	0.674129691350108	0.782363404450541	1.20256567501656
mix_3	0	0.528226128182003	0.0328011511164482	0.231228976435347	0.0308230933029067	0.206101869078292	0.186809171142283	9999	0.670431428815904	0.791379034109446	1.21599038925728
mix_4	0	0.149292442005072	0.104955668665834	0.215239524112719	0.124653977673827	0.294678942796665	0.306164731277821	9999	0.676441866530281	0.775032456560913	1.19498528653194
mix_5	0	0.328759638314249	0.0215090880594001	0.246471773597998	0.0944604927880821	0.238960366987761	0.271726673433032	9999	0.671776841093962	0.783153540806813	1.20188803318052
mix_6	0	0.208007848525247	0.0580771216204293	0.252823419734666	0.110176385026596	0.310903615378117	0.255728178316146	9999	0.673852288883685	0.779712030433082	1.1957165686012
mix_7	0	0.382457241477741	0.0230787138524987	0.248130901938257	0.0746205939017826	0.201687569929365	0.276235381574017	9999	0.670264499185426	0.78673821437453	1.20621040267366
mix_8	0	0.348163570081405	0.0488068056266911	0.251414085222417	0.0558072396029602	0.197824805112055	0.305464464011899	9999	0.667151477214637	0.792067868667913	1.20748096965743
mix_9	0	0.116429042421981	0.109351924256514	0.235441180999626	0.132547308891717	0.30503704904603	0.288276763335729	9999	0.675359656408986	0.776067954760654	1.1870832689516
mix_10	0	0.310661408450928	0.0776420437587226	0.206627186892823	0.115796476338794	0.338078745387707	0.153233157140355	9999	0.686374234974054	0.764219436997954	1.20203901796933
mix_11	0	0.219832311201787	0.129278991304809	0.24286578004038	0.127314699450356	0.225798587350544	0.250281139988814	9999	0.677759602633589	0.773664615096073	1.19537150933669
mix_12	0	0.284361251614771	0.0513426211206309	0.219965249916129	0.0868960092719968	0.290136522605418	0.269589286842741	9999	0.67307791414615	0.781998405339956	1.20229094137169
mix_13	0	0.182174872142189	0.103494273995605	0.209237387809224	0.117980009345361	0.393964459224431	0.191530479679667	9999	0.67763119287119	0.774453431111376	1.19838148219648
mix_14	0	0.197700725472478	0.0743003509223274	0.241195100217942	0.142474487642136	0.354928620020413	0.181608947364865	9999	0.681267790113508	0.768483622418618	1.19220823164016
mix_15	0	0.306515858953652	0.044453103167084	0.243300255714557	0.082629145630504	0.257363182299269	0.267626487415456	9999	0.671175948590619	0.784862794052111	1.20188803318052
mix_16	0	0.5557487629775	0	0.252309545972208	0.00560626983180627	0.197130781575383	0.202010349507384	9999	0.655063307233334	0.812106280311827	1.21280570986428
mix_17	0	0.508920807965412	0.00903926880950606	0.244090552743096	0.0158726612329845	0.247050131268826	0.1865175779116	9999	0.657094828194549	0.808361215533821	1.21149099993142
mix_18	0	0.282481405966676	0.0959837622795792	0.188811007077806	0.110821774787887	0.392280947521804	0.131390332787997	9999	0.68442269229575	0.766927087728593	1.20176923042175
mix_19	0	0.488878907279595	0.039288656015672	0.220871654128241	0.0362451943353519	0.211883561508557	0.218559876265968	9999	0.666631942967794	0.794882903131483	1.21572784953339
mix_20	0	0.178286857964358	0.095552758353498	0.247949798802825	0.109199627551281	0.340235566222337	0.224840267257636	9999	0.676140333890432	0.777207935118945	1.19606487615194
mix_21	0	0.416556727670638	0.00384806731317003	0.216858500209387	0.0486260136740364	0.32747525654534	0.192327227161659	9999	0.668556208552003	0.791025967926465	1.20569179257423
mix_22	0	0.255473895617886	0.0793888832490483	0.242814512121276	0.134763430686228	0.315746353576065	0.171147031547649	9999	0.679155793111961	0.771638330875959	1.19933410679815
mix_23	0	0.164592784243202	0.121072692777132	0.252499880171885	0.123298074654469	0.346983384001793	0.187269752752721	9999	0.679525733365289	0.772271751323077	1.1957165686012
mix_24	0	0.313891312629673	0.0241618938441026	0.246792921089663	0.0794360263388703	0.277651342969007	0.259835733550433	9999	0.67160370259192	0.784700844188674	1.20176923042175
mix_25	0	0.146190022517322	0.0707407414906528	0.258458125993292	0.131399615100061	0.376912710855274	0.205397903559518	9999	0.678105744181287	0.773447296208852	1.18909911951612
mix_26	0	0.462272858104259	0.0228214454359059	0.186573623054846	0.050865994355129	0.287220097796909	0.201172377321951	9999	0.673206942234611	0.785200798808763	1.210926396069
mix_27	0	0.202275693359808	0.0914232618782307	0.259763402076831	0.119173278194088	0.31944904384828	0.201388837583972	9999	0.676702981524113	0.775835296274719	1.19347351694121
mix_28	0	0.199964170397802	0.0792362554065396	0.246304809081542	0.105636575101784	0.313198461019542	0.253498304507218	9999	0.674560930845184	0.779193212912056	1.19783857551443
mix_29	0	0.243962893933553	0.132120453609032	0.21744128489543	0.10969183115755	0.211725653132598	0.286514236449816	9999	0.676754976377667	0.775855604351046	1.20145635317798
mix_30	0	0.185399425212595	0.0702453982461089	0.239347285363956	0.128263882984735	0.35428834413334	0.215398286533838	9999	0.678362067533681	0.772927646070991	1.19294262247457
mix_31	0	0.254217976444679	0.107215377258601	0.187081705698538	0.106816497703237	0.283146879502889	0.263290793813805	9999	0.680561654928869	0.771209725030487	1.20176923042175
mix_32	0	0.173872495881929	0.10313286038986	0.196834537555898	0.159403620097633	0.332113191465143	0.216727513993021	9999	0.680090749106131	0.768028950454888	1.18208421938348
mix_33	0	0.292926365264322	0.0934994365188351	0.190734323370449	0.0979255262932148	0.360441064084002	0.168606049269312	9999	0.682814993909386	0.769673349137681	1.20413276480014
mix_34	0	0.509764286441212	0.0339283984162487	0.199231453470785	0.0548318774960771	0.258630642896974	0.15655602039454	9999	0.676884537169004	0.781252768429078	1.21294267911584
mix_35	0	0.234094691600519	0.0776761367156997	0.225501163101874	0.119201124582222	0.308578209094514	0.237239616276859	9999	0.677067324068429	0.774848713929691	1.20229094137169
mix_36	0	0.303572361183351	0.0664683939298687	0.228511281093891	0.106540822896383	0.26734725801111	0.231950477467456	9999	0.679835927413912	0.772587815943487	1.20439059458206
mix_37	0	0.453186000875748	0.0110137736367342	0.239282796317352	0.0409674890116862	0.251409758423925	0.21244882667144	9999	0.664530036036357	0.796787105527402	1.20830864493689
mix_38	0	0.412636852185779	0.0243516416640833	0.238814404258991	0.0562250132446421	0.202945406216191	0.274180756342715	9999	0.670698956991924	0.787814861588261	1.2091540739124
mix_39	0	0.208439078488563	0.0658456150035639	0.250992288856564	0.114746554862994	0.304283736144936	0.254368707063064	9999	0.675908825353908	0.776871576222022	1.19867598041969
mix_40	0	0.28887130555486	0.0841608720828484	0.205942757674567	0.116261605690881	0.297074347607845	0.20770149593328	9999	0.681021327821668	0.770302376115856	1.20001238454428
mix_41	0	0.453945937554559	0.0396543982677361	0.205922217484212	0.0595092000677364	0.272888765562447	0.179820708238173	9999	0.678289814117863	0.778703286749604	1.21174122717486
mix_42	0	0.130334443557871	0.092968145965395	0.200159410515018	0.158655807914267	0.392008416292038	0.206437911851547	9999	0.678941227043448	0.7696557641714	1.18056413609614
mix_43	0	0.43249980657095	0.0295884287905533	0.206519545671372	0.0783087166154453	0.302938193668331	0.157129637510874	9999	0.682602744747605	0.77189571725894	1.20698432882752
mix_44	0	0.20388406101654	0.0951796421495017	0.253548349680582	0.120534193063252	0.32046478902517	0.20296468174656	9999	0.678385769849059	0.773663089364923	1.19657571668161
mix_45	0	0.289304192979924	0.0597704039371694	0.251248254259318	0.113370698434253	0.235231089686728	0.255712780998331	9999	0.672772400463868	0.780602149194384	1.20463742029572
mix_46	0	0.409240423312303	0.0625709816250017	0.203632064538617	0.0844692720169649	0.266193402913836	0.185635082768141	9999	0.68531457966329	0.768070510618884	1.21174122717486
mix_47	0.01345733713071	0.658934567041822	0	0.259199257363398	0	0.167025641813107	0.118442245766094	9999	0.638839302435714	0.832868094107614	1.21705904911513
mix_48	0	0.249245655502374	0.0812406851413665	0.203766725150055	0.133059603496045	0.383630948202323	0.143753578010292	9999	0.686263291720133	0.763000010076192	1.19469719550246
mix_49	0	0.319400631761277	0.0973006824925731	0.224429529239875	0.146941203628635	0.254900083899164	0.156487457013692	9999	0.686324300189815	0.762528581769942	1.19945958803522
mix_50	0	0.20850051568268	0.0648169156177809	0.247728798944819	0.128573425033672	0.296638249980672	0.249806970892311	9999	0.674804175389502	0.777014364329042	1.19606487615194
mix_51	0	0.510437022354973	0.0133928870157207	0.210021289565349	0.0380441638952789	0.267748814484174	0.173298501800342	9999	0.669108829720674	0.791826128048922	1.21294267911584
mix_52	0	0.447891312500026	0.0282815248771333	0.211356310112433	0.0649216517811043	0.287303349265272	0.172798835049093	9999	0.677735312353111	0.778895287366971	1.21255298358506
mix_53	0	0.397043847595682	0.0513319277768061	0.205849171321523	0.0863057619618124	0.298869640175595	0.165510413743466	9999	0.682082776469065	0.771772478363792	1.20491076257488
mix_54	0	0.292525137470866	0.0468837051467174	0.230383794636961	0.102878068988176	0.31935918444514	0.210261050683828	9999	0.67834148912201	0.774707750625719	1.20229094137169
mix_55	0	0.371134965901608	0.0462014464928207	0.159539956237142	0.0699871745197955	0.340300335755616	0.219177188728832	9999	0.676384721327068	0.779176844497794	1.20634106763581
mix_56	0	0.213341095309157	0.0910577595136965	0.219296977478724	0.118687705992849	0.3709906609472	0.187210980180924	9999	0.681344297434091	0.769995844636606	1.20058517942255
mix_57	0	0.169573977045619	0.0770431775431045	0.247307922730165	0.1374808781378	0.340393464579015	0.221277590075841	9999	0.677448323030226	0.773404102583857	1.19307701011154
mix_58	0	0.304145917782572	0.0456924940659946	0.229589182603628	0.0779026192596273	0.272383630344641	0.273571186079728	9999	0.672889664728469	0.783079370580467	1.20328503013619
mix_59	0	0.498576605215706	0.0221733288643134	0.223124198441571	0.0676461464401176	0.248914037671488	0.150900355489402	9999	0.679553082302425	0.777077537404714	1.2113346721226
mix_60	0	0.30213726395556	0.0762003899883879	0.206113120620111	0.0935303276618044	0.342240406492261	0.182344166298431	9999	0.682739470883319	0.770131161148664	1.20256567501656
mix_61	0	0.319919758842579	0.0384769349713442	0.227656822929681	0.0983843961921189	0.246742742352679	0.271110286083286	9999	0.675945566792033	0.777685152626308	1.20229094137169
mix_62	0	0.455479148824641	0.0323486810943311	0.226780513658113	0.047853881477114	0.224922073517248	0.225825743527475	9999	0.673671005293691	0.785239275835285	1.21321004209892
mix_63	0	0.284885986192025	0.0406349023366776	0.23641763913611	0.0884919517042421	0.300182588807691	0.251156162245002	9999	0.673569719760503	0.78152245434884	1.20176923042175
