Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
Mix_1	0.0343697970301037	0.0817415455273481	0.158467774865572	0.202604867620769	0.0508873118471403	0	0	0.116802293332594	0	0.28942359114046	0	0.00109970439605724	0.0535269527578083	0	0	0.00264940231863247	0	0	0.00326146288057658	0.00516529628293756	0	0	9999	0.544720947127086	0.847758012295334
Mix_2	0.0410103260664541	0.125184573450835	0.0870131972264712	0.0558032904221145	0.13001429575616	0	0	0.0918333192077163	0	0.253948395660107	0	0	0.0189117723499405	0.0513067965220416	0	0.0295555274387293	0.00941635426591159	0.0700845630414548	0	0.00918201469851834	0.0267355738935453	0	9999	0.596748152706016	0.802402650422775
Mix_3	0.00364066812082266	0.0606184637608865	0.0774738826641085	0.0649037800435851	0.155995530250224	0	0	0.0110836244973589	0	0.479759973178136	0	0	0.0181782556182052	0.0467952055630976	0	0.0159513815237447	0.0269874111377022	0.0144132926486062	0	0.00812118292998193	0.0160773480635404	0	9999	0.569021452478948	0.840540077030843
Mix_4	0.0247578215742494	0.065183995369708	0.0549416279005552	0.0814685086998132	0.145389515421112	0	0	0.0523035351514103	0	0.436226553291602	0	0	0.0181085089821229	0.0396425732523274	0	0.00417371206841326	0.0210586469464469	0.0325951622139727	0	0.00653273039565709	0.01761710873261	0	9999	0.592904041292975	0.819829010059349
Mix_5	0.014099089906732	0.321547630506625	0.0276341597659645	0.188689612063455	0.0691247277119279	0	0	0.0822085685601388	0	0.283800809832804	0.00349174488783905	0	0.00796579314744325	0	0	0	0	0	0	0.00143786361707117	0	0	9999	0.607827554141739	0.80094805369151
Mix_6	0.0401350234565598	0.0803660492780782	0.197699542900867	0.0459783332131731	0.140486707919019	0	0	0.0362582457944767	0	0.284091818892717	0	0	0.0249536643352023	0.0573599532272732	0	0.0321387760035496	0.0105909432747113	0	0	0.00478472215643073	0.0451562195479422	0	9999	0.546514474193706	0.837793678665766
Mix_7	0.0288658242728033	0.0820034923926884	0.0636141413595402	0.000926068227309233	0.156634128164638	0	0	0.00135164011405251	0	0.484556796385174	0	0	0.00457926862417023	0.052746725111093	0	0.00871993596380659	0.0247724945580186	0.0721383822546596	0	0.00361354249270289	0.0154775600793433	0	9999	0.630053331805276	0.781691023165224
Mix_8	0	0.254812223192228	0.128239871435744	0	0.0935758111351636	0	0	0.085497530426067	0	0.302231696047227	0	0	0.0340611748921651	0.0089035182007289	0	0.0113818500001479	0	0.0621526632369148	0	0.0110809744769069	0.00806268695670701	0	9999	0.624475563669457	0.782547344419577
Mix_9	0.0428653045040501	0.110939810413673	0.0732118644356121	0.0734045966688693	0.131406458886461	0	0	0.0668140510835211	0	0.308163024203063	0	0	0.0232308786956365	0.044892210851774	0	0.0224880379314402	0.0180517126964833	0.0524124450880432	0	0.00551459654514773	0.0266050079962257	0	9999	0.605732022268201	0.796865118310708
Mix_10	0	0.241286473014565	0.0938160465633504	0.0752990078847869	0.0900537182834779	0	0	0.0271921123709677	0	0.380074863838584	0	0	0.0288761818156722	0.0219902191119809	0	0.0116670162923129	0	0.00968379857973273	0	0.0102385303951663	0.0098220318494026	0	9999	0.60466497245962	0.797359856626752
Mix_11	0.0372995703914197	0.100773301699943	0.0698610181606028	0.0646841272484313	0.134387119729056	0	0	0.0720097631218711	0	0.324851142954088	0	0	0.0146737456499436	0.0590957501455668	0	0.00832231135549704	0.0211294863971265	0.0788450390707108	0	0.00759304548956525	0.0064745785861782	0	9999	0.610253302044619	0.794319960314273
Mix_12	0	0.0620012978431414	0.142882884262863	0.056588254087563	0.161512565827195	0	0	0.0952682717368744	0	0.33639651766125	0	0	0.0271771396978023	0.0619181054861392	0	0.00492191079479666	0.0148233499830966	0.0215252857034741	0	0	0.0149844169158044	0	9999	0.55335020278097	0.841501464735902
Mix_13	0.0031180454087674	0.28531905016241	0.0576291472844922	0.0733612513707681	0.0975743528976912	0	0	0.0759067396835941	0	0.347745247609597	0	0	0.00697714380930148	0.0226528799001712	0	0.00484198796729387	0	0.0134598129870076	0	0.0114143409189061	0	0	9999	0.62913179559176	0.778443227761581
Mix_14	0.00406629078847385	0.0630351348262532	0.0387720078890203	0.0608972369328185	0.157418478752544	0	0	0	0	0.500888891136501	0	0	0.00753556156309151	0.0565886955071826	0	0	0.0482544355089816	0.0439391360089163	0	0.00978413760933038	0.00881999347688681	0	9999	0.606583089046807	0.813255573788081
