Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
mix_1	0	0.24721051743997	0.269964999538441	0.161453757213833	0.0924469088579405	0.228923816949815	9999	0.67799737597464	0.772702756242823
mix_2	0	0.198923001811102	0.269690374969229	0.269314569734291	0.0807549813102202	0.181317072175158	9999	0.686478306770762	0.764881348112505
mix_3	0	0.124745270318118	0.212118514398081	0.16363679095437	0.273428610851654	0.226070813477776	9999	0.706763091437574	0.738639010822636
mix_4	0	0.318796517272733	0.281272703921608	0.0428618053221238	0.181502062738166	0.17556691074537	9999	0.676543351597565	0.773873008991022
mix_5	0	0.2177008283442	0.280759630468304	0.0453801178485708	0.257952087114126	0.198207336224799	9999	0.687416307570895	0.759812758841904
mix_6	0	0.281777146016396	0.29759114905257	0.0675660239506373	0.182112268446822	0.170953412533575	9999	0.677279005223602	0.773057381693082
mix_7	0	0.180041066922653	0.252115032869868	0.0840536180573014	0.284320372605913	0.199469909544266	9999	0.695593610203461	0.750666639077893
mix_8	0	0.164489242443441	0.272092368458186	0.173274410392141	0.209374456025216	0.180769522681017	9999	0.691784500153684	0.756585644704217
mix_9	0	0.364155952848917	0.280782043392166	0.0621658534922624	0.122075017782347	0.170821132484308	9999	0.667740275212038	0.785600086016729
mix_10	0	0.315654148188499	0.1817602654065	0.110432443111344	0.136240917084268	0.255912226209389	9999	0.691827577341612	0.755258832817364
mix_11	0	0.303366736768051	0.258241960429969	0.186004421269982	0.00318042275963602	0.249206458772363	9999	0.671376845058308	0.782075704001846
mix_12	0	0.249900182250407	0.269796328259163	0.0609079901874634	0.235052646490121	0.184342852812845	9999	0.686354125429228	0.761534346805639
mix_13	0	0.350773724268059	0.223822803901445	0.162594412892103	0.0837232308464836	0.179085828091909	9999	0.677355892057599	0.774932071774591
mix_14	0	0.36405722438028	0.250253550826529	0.0710077665316599	0.0800262144252402	0.234655243836291	9999	0.673584358123145	0.778054037183868
mix_15	0	0.210848035999605	0.273349672743703	0.137038383633772	0.209469973777159	0.169293933845761	9999	0.688070818828473	0.760630551631602
mix_16	0	0.130357525624168	0.172317501940657	0.189764949399001	0.344160535403167	0.163399487633007	9999	0.704668407645326	0.743978255383681
mix_17	0	0.164953586881189	0.154266387316886	0.186724065166162	0.328531435535996	0.165524525099766	9999	0.703429477132393	0.745047385614737
mix_18	0	0.353697018467419	0.149033769350042	0.202597976427092	0.0545654137712061	0.240105821984241	9999	0.68944963452134	0.760273107515401
mix_19	0	0.1123365634442	0.227536662474707	0.18946916046554	0.255296529466758	0.215361084148796	9999	0.703500925386756	0.743057310159962
