B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
Mix_1	0	0.1014	0.1873	0.1423	0.0954	0	0.0089	0.0999	0	0.2446	0	0	0.0754	0	0	0.0018	0	0	0	0.0375	0.0055	0
Mix_2	0.0018	0.268	0.0517	0.1021	0.0728	0	0.0668	0.1762	0	0.1668	0	0	0.0144	0	0	0	0	0.0144	0	0.0562	0.0087	0
Mix_3	0	0.0563	0.0704	0.1381	0.1212	0	0	0.0852	0	0.4788	0	0	0.0062	0	0	0	0	0	0	0.0263	0.0175	0
Mix_4	0	0.1102	0.0304	0.1215	0.1154	0	0.0144	0.1718	0	0.3927	0	0	0	0	0	0	0	0	0	0.0271	0.0166	0
Mix_5	0.0335	0.3761	0	0.1653	0.094	0	0.0236	0.028	0	0.2154	0	0	0	0	0	0	0	0.0015	0	0.046	0.0166	0
Mix_6	0	0.1938	0.2024	0.0884	0.096	0	0	0	0	0.2704	0	0	0.087	0	0	0	0	0	0	0.0609	0.0013	0
Mix_7	0	0.1571	0.0068	0.014	0.0931	0	0.035	0.1938	0	0.456	0	0	0	0	0	0	0	0.0023	0	0.0193	0.0226	0
Mix_8	0.0025	0.2514	0.1069	0	0	0	0.1078	0.2014	0.0094	0.2105	0	0	0.0404	0	0	0	0	0.0172	0	0.0526	0	0
Mix_9	0.0047	0.2282	0.0475	0.0964	0.0963	0	0.0294	0.1239	0	0.3029	0	0	0.0083	0	0	0	0	0	0	0.0467	0.0156	0
Mix_10	0.0228	0.2885	0.103	0.0449	0.0931	0	0	0	0	0.3386	0	0	0.0408	0	0	0	0	0	0	0.0625	0.0057	0
Mix_11	0	0.1883	0.0222	0.0688	0.0846	0	0.0876	0.266	0	0.213	0	0	0	0	0	0	0	0.0197	0	0.0378	0.0122	0
Mix_12	0	0.0268	0.154	0.1274	0.1055	0	0.012	0.1382	0	0.3482	0	0	0.0518	0	0	0	0	0	0	0.0277	0.0086	0
Mix_13	0.0211	0.3281	0.0209	0.0425	0.0803	0	0.0294	0.0546	0	0.3438	0	0	0.0078	0	0	0	0	0	0	0.0586	0.0129	0
Mix_14	0	0.0533	0	0.1048	0.1215	0	0.0075	0.1811	0	0.5057	0	0	0	0	0	0	0	0	0	0	0.0262	0
Mix_15	0	0.1086	0.0468	0	0.0684	0	0.07	0.2841	0	0.3556	0	0	0.0133	0	0	0	0	0.0177	0	0.026	0.0096	0
Mix_16	0	0.226	0.0729	0	0.0321	0	0.058	0.1637	0	0.3582	0	0	0.0274	0	0	0	0	0.008	0	0.0424	0.0112	0
Mix_17	0	0.1369	0.0374	0	0.069	0	0.0601	0.2303	0	0.4132	0	0	0.013	0	0	0	0	0	0	0.0146	0.0255	0
Mix_18	0	0.1027	0.0648	0	0.0025	0	0.1494	0.3528	0.0363	0.2188	0	0	0.0155	0	0	0	0	0.031	0	0.0262	0	0
Mix_19	0	0.0734	0.1611	0.1073	0.1107	0	0	0.0107	0	0.4265	0	0	0.0621	0	0	0	0	0	0	0.0382	0.01	0
Mix_20	0.0094	0.2646	0.1013	0.0074	0.0711	0	0.0253	0.1005	0	0.3127	0	0	0.0434	0	0	0	0	0.0068	0	0.0576	0	0
Mix_21	0	0.2453	0.1522	0	0.0426	0	0.0426	0.072	0	0.3235	0	0	0.0694	0	0	0	0	0	0	0.0525	0	0
Mix_22	0	0.0803	0.1964	0.0659	0.1022	0	0	0.0369	0	0.4004	0	0	0.0817	0	0	0	0	0	0	0.0334	0.0029	0
Mix_23	0.0182	0.3501	0.0362	0.0371	0.0523	0	0.0785	0.152	0	0.1744	0	0	0.0097	0	0	0	0	0.0166	0	0.0695	0.0055	0
Mix_24	0	0	0.1047	0	0	0	0.1096	0.3379	0.0287	0.3531	0	0	0.0251	0	0	0	0	0.0102	0	0.0236	0.0071	0
Mix_25	0.0195	0.3089	0	0.0171	0.0753	0	0.0473	0.1037	0	0.3657	0	0	0	0	0	0	0	0.002	0	0.0433	0.0173	0
Mix_26	0	0.2134	0.0294	0	0.0257	0	0.0699	0.1933	0.0099	0.4006	0	0	7e-04	0	0	0	0	0.011	0	0.0406	0.0056	0
Mix_27	0.0034	0.282	0.1168	0	0	0	0.0639	0.04	0.0044	0.3798	0	0	0.0477	0	0	0	0	0	0	0.0614	6e-04	0
Mix_28	0	0.1894	0.1324	0.043	0.0782	0	0.0226	0.1199	0	0.2997	0	0	0.0527	0	0	0	0	0.0042	0	0.0459	0.012	0
Mix_29	0.0051	0.2569	0.018	0	0.0099	0	0.0738	0.1556	0.0165	0.3938	0	0	0.0042	0	0	0	0	0.0066	0	0.0476	0.0119	0
Mix_30	0	0.1585	0	0.1367	0.1164	0	0	0.0797	0	0.4769	0	0	0	0	0	0	0	0	0	0.0115	0.0203	0
Mix_31	0	0.2499	0.0595	0.004	0.0642	0	0.0554	0.1386	0	0.3437	0	0	0.0198	0	0	0	0	0.0081	0	0.0473	0.0095	0
Mix_32	0	0.1081	0.0834	0	0	0	0.1236	0.3209	0.0292	0.2468	0	0	0.0446	0	0	0	0	0.0134	0	0.03	0	0
Mix_33	0	0.0549	0.1011	0	0.0591	0	0.0443	0.2341	0	0.4235	0	0	0.0435	0	0	0	0	0.0033	0	0.0242	0.0121	0
Mix_34	0.0077	0.2278	0.1765	0.0582	0.0953	0	0	0.0034	0	0.2941	0	0	0.0653	0	0	0	0	0	0	0.0681	0.0037	0
Mix_35	0	0.1778	0.024	0.1346	0.0978	0	0.0337	0.1847	0	0.2792	0	0	0	0	0	0	0	0.0115	0	0.0361	0.0206	0
Mix_36	0	0.2266	0.0463	0.0443	0.0898	0	0.0243	0.1211	0	0.3811	0	0	0.0127	0	0	0	0	0	0	0.0424	0.0114	0
Mix_37	0	0.0778	0.0747	0.1525	0.1275	0	0	0.07	0	0.4421	0	0	0.0089	0	0	0	0	0	0	0.0315	0.0151	0
Mix_38	0	0.0325	0.1293	0.0968	0.0959	0	0.0246	0.1939	0	0.3374	0	0	0.0512	0	0	0	0	0	0	0.0314	0.0072	0
