B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..	otherCells
A	3.64295073730647e-08	4.05156157136967e-08	1.42368309555015e-07	0.0521048836785686	0.185521200595506	0.0134305974903294	6.27173554509761e-10	0.74894309829499
B	3.30183534340405e-08	1.39827006390298e-08	1.12338358762972e-07	0.0529148568093593	0.185762582603488	0.0127822327862369	7.05157969201027e-08	0.748540097945707
C	5.37045164764142e-06	3.51383882360488e-09	3.27247620540581e-05	0.0534214667017646	0.173895266692603	0.01597535116852	1.12279010215643e-08	0.756669805481671
D	2.96134480114347e-09	4.12656619792734e-09	4.31444760607936e-05	0.0500926481763253	0.172192795339029	0.0195603188082703	2.57895367285589e-08	0.758111060322867
E	1.08864354608815e-08	2.73063843400595e-07	6.90207689772808e-08	0.05302283955616	0.176517284963801	0.0153663582086041	6.67278361849967e-08	0.755093097572551
F	2.49107347205547e-07	9.96271363182423e-08	2.75618994977269e-08	0.059810678647231	0.181468331657553	0.00729133114117915	2.7267640258102e-08	0.751429254990013
G	1.95051174617861e-08	7.3647361110397e-09	8.72097722986967e-05	0.0498474804172267	0.197416340575693	0.0114563869187466	1.55035488693765e-08	0.741192539942633
H	3.75179517707077e-09	5.01841967977916e-08	0.0013212985952713	0.0492850233521403	0.191833508954855	0.0121584346043835	1.97779437978851e-08	0.745401660779414
I	8.22014531804975e-09	4.45921616413475e-07	9.6163142173678e-05	0.049303469843242	0.194068381465202	0.0126270523632667	6.95585805852347e-09	0.743904472088496
J	7.28230205046961e-08	4.85825348344588e-08	2.73024509164141e-08	0.0504857087844776	0.165991122606868	0.0213802773986356	1.81494702542272e-05	0.762124593031758
K	9.69476404992559e-06	2.71296868452415e-08	3.63447988324766e-08	0.0542645577389151	0.164608474537213	0.0180101500215027	9.66061039248998e-09	0.763107049803223
L	6.50360133783907e-08	6.69334622327932e-08	6.27383399321211e-09	0.0497969897264662	0.170338171364985	0.0201826473838457	8.21689957973352e-09	0.759682045064494
