ID,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
S1465,6.156398,5.938094,6.252826,6.526958,6.294242,5.076852,5.680932
S14650,6.243666,5.940724,6.374138,6.692984,6.52891,5.06008,5.743854
S14653,6.18478,6.244988,6.26692,6.701852,6.369662,5.082046,5.324208
S14660,6.272026,5.889094,6.279804,6.737994,6.342798,5.033526,5.585006
S14663,6.2382,6.134834,6.398004,6.699656,6.535212,5.006536,5.501082
S14664,6.122184,6.030814,6.262494,6.747492,6.392906,4.991654,5.44899
S14674,6.258554,6.1247,6.39636,6.77471,6.459718,5.029684,5.651664
S14676,6.160256,6.05677,6.383016,6.713116,6.483746,5.07586,5.509166
S14678,6.214346,6.099548,6.285454,6.6896,6.39707,5.039416,5.483906
S14682,6.102388,5.946776,6.217466,6.713438,6.318568,4.941554,5.463846
S14683,6.197862,5.967064,6.263432,6.796622,6.409186,5.00062,5.419636
S14685,6.354396,6.171114,6.266444,6.966676,6.271318,4.983318,5.452374
S14694,6.171284,5.9611,6.382356,6.702806,6.492102,4.98402,5.637058
S14696,6.199828,5.898084,6.417848,6.820382,6.552054,4.888752,5.568698
S14705,6.384864,5.880996,6.500394,6.679366,6.541036,4.995506,5.86676
S14707,6.269086,5.97153,6.38743,6.747104,6.567226,4.91139,5.677364
S14714,6.192468,5.769852,6.427802,6.48878,6.584232,5.027036,5.923066
S14729,6.209902,6.105504,6.43701,6.728742,6.53879,5.024524,5.491326
S14733,6.105086,5.973826,6.5883,6.63163,6.55231,4.959134,5.704366
S14735,6.183398,5.945152,6.353394,6.69705,6.532506,5.002268,5.61773
S14749,6.133208,6.078382,6.144484,6.611386,6.332768,5.11565,5.427616
S14761,6.362532,6.229198,6.235072,6.688484,6.259826,5.159654,5.426828
S14762,6.126958,6.158708,6.212684,6.55668,6.240906,5.138488,5.399696
S14766,6.112728,5.900678,6.35342,6.604738,6.460764,5.002616,5.661524
S14767,6.133448,6.072592,6.329678,6.753626,6.434192,4.934858,5.494974
S14769,6.246644,6.211254,6.266226,6.569874,6.381932,5.214906,5.337582
S14770,5.825698,5.944738,6.503668,6.391958,6.533378,5.1197,5.682086
S14774,6.197336,6.076832,6.424176,6.745086,6.490546,5.005,5.71374
S14780,6.207384,6.063146,6.2766,6.600274,6.420988,5.082806,5.460774
S14793,6.240146,5.976976,6.336196,6.735326,6.396318,4.97202,5.554846
S14796,6.223582,5.93202,6.395132,6.682092,6.581692,4.971212,5.576682
S14803,6.159354,6.290342,6.378184,6.618442,6.396934,5.070152,5.354848
S14804,6.17246,6.034634,6.444436,6.688382,6.540944,4.948822,5.471336
S14805,6.255308,6.139378,6.34601,6.711952,6.415898,5.020596,5.58284
S14814,6.240206,6.013222,6.51562,6.714486,6.547342,4.949222,5.615684
S14816,6.27257,6.27709,6.221928,6.698186,6.22148,5.193058,5.416548
S1482,6.202834,6.01199,6.213908,6.56701,6.389376,5.068074,5.476698
S14823,6.354664,6.098108,6.36042,6.842656,6.486346,5.051532,5.55405
S14824,6.221814,5.997576,6.455868,6.65836,6.600338,4.985612,5.519298
S14829,6.076302,6.103688,6.258142,6.651966,6.365006,5.12428,5.42799
S14838,6.156456,5.969534,6.28009,6.826798,6.453688,4.917372,5.522976
S14841,6.257762,6.092658,6.350696,6.77793,6.463226,5.00005,5.450418
S14848,6.20077,6.163232,6.266082,6.661912,6.349334,5.041986,5.391836
S14853,6.163102,5.910608,6.379668,6.744026,6.516922,4.942284,5.628736
S1486,6.201472,6.14713,6.253482,6.67737,6.252184,5.123536,5.344704
S14862,6.25774,6.002068,6.342532,6.68919,6.472828,5.05373,5.558348
S14873,6.245086,6.140718,6.546666,6.740376,6.672836,4.96417,5.555026
S14885,6.181576,6.05271,6.420624,6.712598,6.560932,4.949208,5.486546
S14888,6.193864,6.151574,6.529942,6.769632,6.730128,4.967232,5.562352
S14890,6.164442,5.99913,6.247886,6.735748,6.356268,5.062228,5.490256
S14895,6.16622,6.055424,6.280172,6.722824,6.361076,5.06331,5.41482
S14896,6.241136,6.02855,6.447264,6.783,6.546374,4.99763,5.723024
S14900,6.26509,6.006188,6.396778,6.701208,6.410794,5.03277,5.722412
S14906,6.194364,6.092784,6.362786,6.737878,6.410422,5.018748,5.449944
S14909,6.07499,5.871984,6.40272,6.624718,6.546052,4.89445,5.733512
S1491,6.206218,5.994844,6.369912,6.768082,6.471826,4.955912,5.58563
S14913,6.104512,5.9562,6.361908,6.667862,6.536458,4.945508,5.520684
S14914,6.379694,6.03876,6.441176,6.883184,6.604344,4.914082,5.559002
S14916,6.129022,5.951448,6.443744,6.55819,6.772482,5.037254,5.68704
S14919,6.199684,6.04697,6.286092,6.864314,6.354022,4.947534,5.525416
S14949,6.140028,5.921668,6.509262,6.640758,6.685972,4.902148,5.683582
S1495,6.205744,6.056482,6.345936,6.642982,6.470544,5.06927,5.569026
S14954,6.174178,5.958296,6.418448,6.701496,6.662824,4.970908,5.574666
S14956,6.247588,6.008304,6.50275,6.722108,6.57604,4.957772,5.737702
S14961,6.064442,6.038416,6.26187,6.472386,6.288552,5.11054,5.42277
S14976,6.191034,6.052822,6.270364,6.741374,6.436806,5.093794,5.514172
S14978,6.289734,6.12517,6.308038,6.642424,6.462948,5.01631,5.415582
S14980,6.138118,5.848692,6.307012,6.704996,6.45039,4.977476,5.698038
S14983,6.26826,6.056124,6.376764,6.806078,6.520696,4.999736,5.658584
S14989,6.172934,6.001578,6.337024,6.79074,6.452868,4.941082,5.573044
S14991,6.166634,5.960954,6.44969,6.84252,6.459434,4.94241,5.660106
S14999,6.039334,6.096454,6.14617,6.491546,6.170782,5.0553,5.367082
S15000,6.323246,5.883444,6.419518,6.657024,6.484954,4.917694,5.7573
S15012,6.253418,6.220332,6.255172,6.730934,6.355394,5.059068,5.457748
S15013,6.211692,6.02021,6.31692,6.691218,6.391944,5.01727,5.53776
S1502,6.11423,5.965484,6.437464,6.608364,6.57688,4.93354,5.586048
S15023,6.151042,5.993532,6.304964,6.73678,6.45267,4.960582,5.467352
S15024,6.244156,5.949682,6.333488,6.826464,6.375112,4.889214,5.49757
S15025,6.25421,6.089354,6.451608,6.760396,6.497258,5.039952,5.642566
S15032,6.298554,5.999598,6.565584,6.80643,6.69057,4.910718,5.64493
S15033,6.21995,5.939778,6.328946,6.681866,6.43519,4.963782,5.56002
S15041,6.13302,5.918476,6.450264,6.729042,6.65995,4.906598,5.608618
S1505,6.202906,5.968954,6.336686,6.829812,6.304322,4.9992,5.542082
S15054,6.447222,6.141858,6.43838,6.882826,6.55409,4.987862,5.625208
S15061,6.245166,6.056384,6.43006,6.733038,6.584286,4.974526,5.536762
S15063,6.16204,6.04258,6.397634,6.70927,6.532762,4.905942,5.463508
S15065,6.103622,6.05319,6.442894,6.658628,6.587302,4.972792,5.532256
S15069,6.359698,6.09485,6.473512,6.776198,6.629826,4.981766,5.624978
S15070,6.256256,5.989758,6.335594,6.70284,6.452576,5.016112,5.586378
S15071,6.357654,6.121748,6.406668,6.719574,6.572512,4.9422,5.489386
S15077,6.31986,6.039806,6.290112,6.56191,6.254834,5.151568,5.579276
S15078,6.212458,6.004836,6.436836,6.738958,6.618144,5.000818,5.53245
S1508,6.086486,5.963518,6.335238,6.620824,6.479438,5.02222,5.541362
S15080,6.284558,6.014338,6.412102,6.704818,6.62071,4.95465,5.6112
S15085,6.193686,5.906708,6.39941,6.746488,6.478166,4.917998,5.561924
S15089,6.133322,5.957348,6.422978,6.74965,6.590074,4.98737,5.569066
S15092,6.165318,6.094728,6.298908,6.694132,6.351078,5.022774,5.415858
S15093,6.161742,6.203814,6.336626,6.74066,6.452058,5.017088,5.424926
S15099,6.205844,6.139024,6.223758,6.604906,6.316762,5.162714,5.346794
S1510,6.186456,5.985206,6.394284,6.66604,6.616856,4.978178,5.498736
S15100,6.185362,6.058116,6.483514,6.708312,6.628246,4.9677,5.537526
S15107,6.223596,6.207138,6.362968,6.80129,6.425124,5.055456,5.54623
S15108,6.292842,6.130726,6.413998,6.757918,6.490834,4.987062,5.511454
S1511,6.270744,5.981852,6.485366,6.713652,6.60199,4.968544,5.706752
S15110,6.164528,6.124,6.289094,6.69069,6.40472,5.052634,5.411192
S15111,6.165678,5.961976,6.254222,6.6935,6.294138,5.027516,5.443694
S15113,6.174764,6.030394,6.255898,6.724062,6.280658,5.07214,5.402282
S15115,6.26595,6.071426,6.450228,6.623242,6.508824,4.98102,5.692414
S15120,6.09348,5.921308,6.395116,6.747104,6.578358,4.88333,5.47943
S15121,6.195044,6.006956,6.341192,6.540144,6.497452,5.138272,5.518224
S15124,6.197196,6.056294,6.40768,6.704438,6.470528,4.990952,5.55714
S15126,6.167426,6.093466,6.333862,6.732586,6.45029,5.014644,5.489438
S15129,6.200234,6.042388,6.362474,6.820414,6.461374,4.982496,5.415848
S15130,6.27796,5.88681,6.454254,6.704104,6.552788,5.000386,5.754036
S15153,6.261454,6.123284,6.38009,6.787836,6.425358,4.981796,5.507456
S15160,6.152846,5.955386,6.324604,6.799448,6.424074,4.886258,5.47707
S15167,6.232104,6.113038,6.214082,6.685374,6.339462,5.07114,5.410954
S1517,6.27457,6.097236,6.34925,6.808194,6.462326,4.896118,5.502852
S15179,6.21945,6.191966,6.427718,6.67715,6.48731,5.039954,5.4568
S15184,6.2835,6.106962,6.404408,6.686264,6.56744,5.07234,5.65072
S15192,6.293952,5.99764,6.499956,6.763472,6.575536,4.97002,5.569144
S15193,6.218558,5.95129,6.352908,6.676576,6.459946,4.952816,5.557448
S15198,6.193302,6.013678,6.314136,6.795472,6.30375,5.13278,5.61448
S1520,6.18822,6.035314,6.262274,6.723882,6.403886,4.946774,5.46066
S15208,6.326326,6.053194,6.320588,6.64316,6.452042,5.1107,5.636938
S1521,6.196306,6.099022,6.212018,6.65394,6.263776,5.067036,5.385724
S15216,6.082912,5.929856,6.303644,6.723744,6.393302,5.075708,5.566936
S15218,6.261362,6.177188,6.239612,6.68808,6.23567,5.223636,5.328436
S1522,6.222982,5.985624,6.403958,6.840308,6.498244,4.947482,5.616986
S15223,6.287484,6.207904,6.30311,6.684112,6.450602,5.041476,5.405208
S15237,6.131206,5.894078,6.485588,6.693838,6.71997,4.890526,5.659068
S15239,6.219502,5.922854,6.394874,6.692598,6.491106,4.982612,5.698138
S15241,6.24338,6.226736,6.313052,6.609706,6.312474,5.123172,5.343584
S15246,6.228134,6.097932,6.370004,6.789778,6.402522,5.0157,5.524784
S15254,6.193544,5.905778,6.323934,6.53733,6.590194,5.079426,5.578666
S15258,6.240394,5.998942,6.329748,6.708806,6.357728,4.998934,5.483124
S15259,6.116606,5.752676,6.356516,6.58009,6.528518,5.012868,5.902088
S15264,6.199798,6.020216,6.540946,6.790464,6.630722,4.872612,5.667176
S15266,6.20179,6.144866,6.148896,6.506924,6.246638,5.178962,5.308884
S15273,6.2819,6.07314,6.361332,6.861742,6.347154,5.02909,5.479112
S1528,6.152256,6.004856,6.389772,6.885558,6.480614,4.939794,5.437158
S15285,6.05546,5.91173,6.401752,6.684818,6.536228,4.904408,5.47407
S15294,6.21456,6.144968,6.56116,6.651564,6.709706,4.878402,5.48465
S15304,6.246438,6.157646,6.309244,6.819502,6.473728,4.997296,5.43152
S15308,6.140484,5.975106,6.393596,6.744694,6.47134,4.99208,5.579172
S15313,6.167818,5.979398,6.292812,6.758494,6.517916,4.934086,5.467884
S15329,6.194454,5.967764,6.37635,6.806564,6.40209,4.8332,5.60803
S1533,6.162154,6.011746,6.146376,6.516968,6.287872,5.0685,5.467276
S15338,6.090826,5.998606,6.371322,6.655228,6.491728,5.010822,5.623692
S15340,6.21066,5.938848,6.444926,6.647934,6.399558,5.017924,5.7153
S15345,6.254106,6.337904,6.324328,6.818178,6.279102,5.127176,5.353052
S15354,6.204506,6.218978,6.287252,6.637082,6.283234,5.094888,5.338192
S15366,6.249878,6.072604,6.291172,6.621216,6.321268,5.107516,5.410924
S15368,6.214634,6.13505,6.407564,6.771304,6.541496,5.025278,5.490812
S15372,6.327008,6.223278,6.488424,6.836198,6.539768,4.978104,5.488182
S15374,6.252902,6.241406,6.386532,6.599496,6.541624,5.123088,5.424148
S15375,6.212838,6.060178,6.476148,6.820014,6.637224,4.936286,5.609362
S15380,6.11361,6.057818,6.311176,6.676914,6.504226,5.01436,5.378024
S15382,6.200588,6.121626,6.356648,6.691642,6.54212,5.033256,5.398198
S1539,6.24312,6.008706,6.432928,6.77303,6.57214,4.951006,5.557072
S15394,6.15052,6.195394,6.338782,6.679508,6.436204,5.067998,5.457616
S15401,6.118576,6.079374,6.363018,6.69585,6.495196,4.978358,5.407546
S15413,6.19171,6.19235,6.219194,6.622144,6.302942,5.27776,5.274898
S15417,6.26002,6.097334,6.41489,6.8109,6.529788,5.015894,5.515718
S1542,6.201148,6.104812,6.24878,6.680614,6.381974,5.028548,5.445676
S15420,6.186864,6.014264,6.379602,6.566874,6.504986,4.985516,5.58469
S15427,6.147078,6.041756,6.47077,6.723954,6.575252,4.935324,5.543792
S15428,6.21019,6.285368,6.46516,6.671116,6.608534,5.12587,5.442756
S15429,6.240264,6.185516,6.210576,6.693936,6.294304,5.1362,5.271624
S15432,6.272974,6.145182,6.346092,6.772544,6.410836,4.998144,5.419664
S15433,6.21964,6.036612,6.411586,6.70478,6.49728,5.022424,5.585106
S1544,6.131624,5.913506,6.574212,6.78528,6.601672,4.963366,5.730548
S15446,6.250658,6.042374,6.321682,6.741312,6.474238,5.01098,5.487536
S15452,6.186338,5.958426,6.376624,6.764068,6.494558,4.888428,5.653932
S15455,6.182706,6.131062,6.327846,6.794366,6.323142,5.030026,5.484036
S15458,6.175034,5.99206,6.34599,6.687048,6.477422,4.96762,5.478818
S1546,6.363416,6.068958,6.301328,6.707126,6.36682,5.065978,5.606374
S15463,6.189268,6.01668,6.391748,6.772632,6.556306,4.926654,5.560716
S15470,6.08737,6.039014,6.256786,6.703966,6.317306,4.994742,5.514272
S15479,6.279604,6.02664,6.467164,6.75271,6.467974,4.9846,5.711746
S15487,6.175802,6.119274,6.469964,6.745502,6.580458,4.98432,5.500344
S15490,6.202164,6.100074,6.18833,6.68352,6.365934,5.147724,5.415038
S15496,6.062238,5.8876,6.43769,6.603032,6.555328,4.904764,5.671676
S1550,6.318504,6.035046,6.413914,6.659564,6.453204,5.042146,5.655894
S15503,6.265418,6.066884,6.301154,6.807024,6.336304,4.934982,5.437162
S15513,6.208644,5.999766,6.548212,6.839614,6.737482,4.89387,5.68937
S15515,6.27621,6.013016,6.422398,6.67977,6.502578,5.064862,5.735926
S15525,6.279106,6.355256,6.419078,6.790914,6.459516,5.089032,5.424064
S15526,6.247858,5.908762,6.402156,6.628396,6.507658,5.09643,5.79684
S15527,6.224378,6.028374,6.3432,6.7553,6.371766,5.047166,5.54658
S15528,6.329128,6.187622,6.4704,6.765546,6.566332,5.076554,5.656836
S15543,6.19138,5.999318,6.392108,6.716728,6.436654,5.000542,5.560374
S15545,6.220328,6.112836,6.300042,6.85644,6.435006,4.992462,5.42121
S15556,6.242204,6.146738,6.478724,6.758648,6.595784,4.965736,5.482284
S15558,6.30296,6.0143,6.365698,6.62102,6.406188,5.14005,5.51269
S15570,6.253666,6.213984,6.208654,6.697892,6.222246,5.156748,5.366634
S15571,6.123946,5.905596,6.297084,6.715822,6.480442,4.989594,5.563832
S15574,6.226534,6.00842,6.340066,6.65052,6.472808,5.032704,5.541866
S15580,6.226,5.948018,6.33317,6.651722,6.466662,4.946258,5.574714
S15585,6.156776,6.015526,6.345634,6.687588,6.434632,4.985582,5.44651
S15587,6.184692,6.057302,6.406418,6.74912,6.529072,4.97618,5.6303
S15589,6.217918,5.949866,6.327176,6.650364,6.485306,5.031312,5.63654
S15600,6.18283,6.174666,6.404562,6.759608,6.585682,4.978708,5.438156
S15605,6.170422,6.052546,6.309248,6.67686,6.34439,5.029848,5.512016
S1561,6.388136,6.23922,6.460846,6.839998,6.519478,5.106748,5.437294
S15618,6.230174,5.959044,6.516322,6.583622,6.631444,4.993442,5.770922
S15621,6.083662,6.06127,6.260056,6.63848,6.39521,5.069568,5.509456
S15628,6.244928,6.088988,6.494258,6.756626,6.53301,4.889026,5.54436
S15629,6.231366,6.06742,6.433324,6.730854,6.509846,4.964112,5.595826
S15631,6.229566,6.087646,6.402764,6.738686,6.471184,5.040598,5.535342
S15634,6.205036,6.001896,6.30361,6.689886,6.390336,4.949974,5.340358
S1564,6.414986,6.225974,6.496594,6.857376,6.438264,4.97827,5.46353
S15648,6.149166,5.942892,6.520148,6.724978,6.572876,4.890616,5.632154
S15659,6.297858,5.85038,6.374688,6.65103,6.449944,5.03618,5.837946
S15677,6.234964,5.978726,6.482114,6.665952,6.698876,4.995054,5.765154
S15683,6.261442,6.268366,6.355256,6.783612,6.379118,5.065668,5.436368
S15689,6.066188,5.98729,6.246404,6.688006,6.388692,4.933296,5.42901
S15690,6.15013,6.065282,6.281004,6.730506,6.413854,5.00337,5.489326
S15692,6.140418,5.969592,6.317938,6.7893,6.43476,4.919028,5.529232
S15693,6.08104,6.026946,6.280656,6.769072,6.340522,4.951604,5.455604
S15703,6.123544,6.035926,6.2708,6.749164,6.384456,5.06278,5.608274
S15705,6.000716,5.993844,6.416868,6.617954,6.634428,5.024918,5.522282
S1572,6.379372,5.980266,6.367718,6.828034,6.388852,4.964048,5.719642
S15722,6.247108,6.020526,6.306972,6.781096,6.296116,5.036378,5.557418
S15730,6.162076,6.26368,6.311236,6.674526,6.399346,5.175996,5.421858
S15732,6.210766,5.941802,6.42988,6.5619,6.65748,4.947448,5.543518
S15738,6.216608,6.021348,6.398622,6.691276,6.51814,5.02,5.522632
S1574,6.225322,5.871312,6.416244,6.660666,6.489074,4.9834,5.647512
S1576,6.212026,6.123574,6.30616,6.729522,6.321724,5.045786,5.505326
S15768,6.197648,6.029532,6.391904,6.722488,6.525972,4.964678,5.532786
S1577,6.290122,6.00602,6.396484,6.613684,6.496016,5.022284,5.800224
S15770,6.14221,5.998286,6.234072,6.562918,6.290912,5.123346,5.72669
S15778,6.175412,6.020288,6.374304,6.66241,6.494886,4.955958,5.596694
S1578,6.111088,6.14851,6.250726,6.59567,6.340146,5.093142,5.402764
S15781,6.11844,5.963306,6.451112,6.67225,6.559304,4.955742,5.614522
S15789,6.195378,6.085118,6.543098,6.709058,6.582038,4.935916,5.476156
S15791,6.153012,5.948976,6.332894,6.772904,6.42047,5.003816,5.606078
S15795,6.192996,6.058314,6.322362,6.52583,6.466866,5.182048,5.596842
S15802,6.319862,5.992998,6.395938,6.659492,6.511778,4.967986,5.662132
S15816,6.22811,5.898184,6.26446,6.542034,6.308834,5.17997,5.657934
S15819,6.255256,6.1216,6.301268,6.72973,6.237102,5.074202,5.38912
S15825,6.265696,6.08496,6.446724,6.785804,6.577098,4.990298,5.523996
S15828,6.246144,6.228154,6.261106,6.708968,6.355694,5.141322,5.487304
S15833,6.253206,6.125788,6.417406,6.783978,6.50659,4.938502,5.456584
S15834,6.215916,6.099506,6.337766,6.687192,6.3688,5.05646,5.50109
S15840,6.241532,5.951708,6.380758,6.7283,6.507828,5.001868,5.522428
S15844,6.292454,6.156766,6.301142,6.875054,6.307114,5.004506,5.417216
S15851,6.202542,6.017062,6.456304,6.711716,6.481086,4.987456,5.61566
S15862,6.244494,6.075716,6.469102,6.731556,6.48419,5.035922,5.571886
S15863,6.190654,6.141684,6.11764,6.50081,6.208332,5.137622,5.32981
S15878,6.203466,5.887314,6.282402,6.681628,6.475582,5.019526,5.584602
S1588,6.19604,5.97003,6.38668,6.722618,6.51916,5.011658,5.651698
S15886,6.1339,6.03085,6.358088,6.813724,6.47193,4.96704,5.449518
S15887,6.268416,6.124292,6.376786,6.747854,6.504496,5.012646,5.52597
S15895,6.220934,6.06609,6.362876,6.685212,6.448028,5.011406,5.500484
S15898,6.247292,6.058708,6.433312,6.726276,6.462082,4.911204,5.420216
S15903,6.096578,6.108738,6.295962,6.690768,6.345924,5.112758,5.46302
S15908,6.16117,5.909944,6.435518,6.6972,6.523696,4.875202,5.600918
S15910,6.169076,6.129936,6.442772,6.7148,6.498864,4.994758,5.483734
S15925,6.260952,6.135994,6.331046,6.796798,6.343598,5.077334,5.413546
S1593,6.093288,6.047462,6.345942,6.720812,6.502076,5.014702,5.388854
S15931,6.406094,6.031174,6.289928,6.735834,6.360996,4.998778,5.61545
S15941,6.276456,6.086014,6.366094,6.781656,6.452626,4.988298,5.514782
S15946,6.237218,6.075414,6.3654,6.56277,6.45079,5.066702,5.656834
S15955,6.138102,6.027604,6.270518,6.705718,6.385442,4.996904,5.455546
S15956,5.902298,5.948334,6.455724,6.41542,6.616072,5.089966,5.672252
S15960,6.246676,6.05066,6.406204,6.876654,6.46805,4.931804,5.575364
S15966,6.20053,6.058286,6.439998,6.737258,6.581402,4.96127,5.621166
S15973,6.177486,5.979694,6.354112,6.760918,6.446922,4.879796,5.435332
S15974,6.117174,5.987024,6.395116,6.765984,6.486244,4.959034,5.63135
S15976,6.162692,5.901364,6.297686,6.550876,6.323622,5.00077,5.60827
S15978,6.289002,5.981032,6.407216,6.660402,6.59152,5.051226,5.654998
S15979,6.210574,6.055584,6.311106,6.655196,6.48702,5.06441,5.499482
S15981,6.204272,5.981378,6.397708,6.628642,6.554032,4.92362,5.587246
S15984,6.19982,6.119848,6.273424,6.718028,6.395632,5.041724,5.365576
S15994,6.306154,6.013536,6.443686,6.791104,6.455478,5.00901,5.691338
S15996,6.168056,5.977396,6.47031,6.782066,6.537828,4.965992,5.606696
S15998,6.111114,5.78008,6.483626,6.532012,6.674396,5.045032,5.973374
S160,6.16323,6.029216,6.420676,6.673834,6.621352,4.865974,5.43132
S1600,6.218262,6.025964,6.38355,6.636176,6.577048,5.068228,5.565492
S16012,6.208482,6.018446,6.514382,6.656564,6.576446,5.005634,5.58484
S16013,6.194668,5.982144,6.383062,6.748678,6.448058,4.980186,5.603002
S16022,6.293498,6.03014,6.379568,6.744262,6.389292,4.973542,5.605564
S16037,6.228038,6.045264,6.393154,6.809378,6.494628,4.937726,5.470038
S16038,6.188178,6.075764,6.308902,6.735888,6.334294,5.087384,5.408412
S16040,6.141476,6.024004,6.349328,6.707468,6.463806,5.001992,5.480916
S16048,6.178474,6.058222,6.240352,6.745424,6.300156,4.999866,5.395342
S16054,6.255374,5.986384,6.491668,6.789724,6.522756,4.983192,5.673004
S16056,6.206452,5.989392,6.364752,6.734918,6.526078,4.92551,5.543528
S16069,6.233134,5.922854,6.404142,6.652712,6.586396,5.024556,5.543892
S1609,6.132874,6.022422,6.203258,6.71764,6.277074,4.99041,5.298728
S16093,6.209746,6.076936,6.299392,6.737314,6.388386,5.021096,5.394178
S16097,6.170448,6.033444,6.243276,6.71918,6.268274,5.053852,5.444094
S16099,5.956622,5.91102,6.523896,6.439652,6.631248,5.04678,5.707074
S16108,6.176538,5.998528,6.550134,6.81184,6.629674,4.867272,5.59013
S16109,6.112808,5.952752,6.33587,6.581784,6.583024,4.977476,5.489826
S1611,6.22344,5.910182,6.517048,6.612794,6.597108,4.870928,5.81641
S16112,6.245026,6.137652,6.387086,6.673308,6.4933,5.055454,5.528316
S16116,6.171702,5.877734,6.244202,6.620174,6.24138,4.989556,5.627282
S16118,6.207692,6.064978,6.365962,6.780788,6.459264,4.916872,5.505602
S16122,6.178974,6.017772,6.18537,6.790526,6.292708,5.014078,5.474192
S16126,6.278556,6.020398,6.29595,6.721534,6.445528,5.005438,5.5731
S16130,6.243982,6.154272,6.327002,6.792438,6.444652,5.040074,5.383384
S16138,6.193238,6.022856,6.29537,6.55289,6.431866,5.103154,5.575048
S16146,6.307302,5.979408,6.438834,6.861582,6.557266,4.955448,5.542086
S16147,6.174536,5.95899,6.406164,6.822946,6.476202,4.922488,5.57678
S16151,6.094428,6.024186,6.345488,6.650948,6.566112,4.983966,5.63117
S16154,6.248498,6.10442,6.381738,6.859926,6.457944,4.925012,5.418184
S16155,6.237486,6.162522,6.407652,6.729712,6.597184,5.032548,5.49051
S16160,6.252324,6.120342,6.31404,6.592016,6.366622,5.084522,5.578994
S16163,6.207014,5.953476,6.353742,6.765564,6.489894,4.894538,5.529812
S16167,6.10423,5.98128,6.171938,6.596292,6.308354,5.109906,5.358826
S16168,6.37974,6.090994,6.400086,6.758314,6.397102,5.0172,5.61237
S16169,6.286084,6.254944,6.278536,6.630638,6.329296,5.190964,5.458768
S16170,6.156212,6.088148,6.418382,6.667242,6.588382,5.007652,5.429746
S16171,6.25216,5.992492,6.397422,6.58927,6.446608,5.027154,5.709378
S16178,6.280558,6.015558,6.382262,6.824266,6.43697,4.998314,5.645786
S16180,6.319428,6.066556,6.333466,6.803322,6.331146,5.07548,5.572512
S16187,6.309566,6.094072,6.348882,6.899784,6.387374,5.000652,5.599558
S16195,6.220376,6.00013,6.462992,6.68683,6.604882,4.92837,5.703358
S16199,6.239574,6.159166,6.354216,6.681378,6.439584,4.990912,5.425918
S1620,6.147696,6.077314,6.350046,6.856352,6.506268,4.90298,5.484782
S16203,6.024336,5.906506,6.295294,6.611862,6.455916,4.908812,5.446266
S16208,6.280302,5.93174,6.435082,6.70022,6.419104,4.993614,5.78772
S16211,6.229194,5.93602,6.359948,6.824066,6.457584,4.900568,5.608588
S16213,6.219112,6.010126,6.441458,6.70864,6.634712,4.891276,5.530148
S16229,6.167442,6.241522,6.396392,6.831824,6.391474,4.961844,5.424098
S16232,6.302112,6.041454,6.400816,6.774848,6.65844,4.978486,5.579076
S16237,6.26676,6.13365,6.317086,6.82898,6.355746,4.999286,5.40452
S16239,6.191064,5.994406,6.339142,6.671538,6.497096,4.976048,5.520136
S16249,6.282894,6.22216,6.321248,6.72286,6.369456,5.075934,5.43547
S16253,6.213152,6.010024,6.42048,6.682044,6.438878,4.990646,5.700666
S16255,6.239706,6.062428,6.523758,6.709732,6.657618,4.90743,5.639334
S16257,6.100366,6.226052,6.302622,6.624054,6.385432,5.077146,5.321116
S16272,6.29049,6.134092,6.29471,6.755538,6.302242,5.101112,5.371488
S16274,6.219698,5.96271,6.310252,6.89026,6.53256,4.937746,5.514538
S16275,6.147588,6.03215,6.343738,6.734918,6.37244,5.011156,5.513436
S1628,6.20796,6.03009,6.343402,6.77052,6.404374,4.913616,5.45969
S16282,6.160864,5.982946,6.435768,6.627732,6.603012,4.986666,5.69709
S16288,6.192184,6.013986,6.411348,6.80311,6.535798,4.920266,5.544406
S16294,6.175706,5.937956,6.475074,6.63476,6.516092,4.942076,5.737636
S16297,6.082678,6.024706,6.224418,6.719664,6.331802,5.052278,5.373524
S16305,6.2829,5.99748,6.36475,6.775112,6.50975,4.876164,5.58371
S16306,6.15013,6.220114,6.32483,6.670022,6.450064,5.098246,5.404356
S16308,6.193204,5.952604,6.372048,6.72301,6.468796,4.972466,5.667534
S16311,6.275936,6.089,6.47422,6.737852,6.668074,4.944674,5.443138
S16318,6.252048,6.05792,6.411576,6.662568,6.423968,5.070046,5.61982
S16322,6.143952,6.014436,6.320044,6.78439,6.476304,4.908774,5.440184
S16327,6.27559,6.046364,6.481246,6.753596,6.50866,5.00116,5.710018
S16352,6.31647,6.09236,6.512104,6.793632,6.559814,5.022944,5.62824
S16354,6.257974,6.071338,6.19863,6.799464,6.201872,5.052458,5.330498
S16358,6.157656,6.0705,6.37588,6.619284,6.45787,4.983414,5.56602
S1636,6.273946,6.083252,6.383008,6.653566,6.479574,5.082158,5.665334
S16367,6.165386,6.039492,6.288058,6.680908,6.446296,4.97673,5.49039
S16368,6.320384,6.18311,6.32769,6.736632,6.424992,5.057192,5.415554
S16372,6.32284,5.977568,6.322004,6.644368,6.543646,5.04479,5.718502
S16373,6.189752,6.069974,6.286844,6.751082,6.278922,5.064338,5.450476
