ID,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
S10094,6.25424,6.078296,6.463974,6.85076,6.537798,4.93674,5.54269
S1010,6.354736,6.18508,6.354624,6.711242,6.526824,5.096922,5.555266
S10111,6.155918,5.907284,6.471622,6.714204,6.619352,4.934354,5.574888
S10116,6.197726,6.209636,6.443128,6.531422,6.600858,5.008232,5.42288
S10119,6.156262,6.037652,6.358182,6.635462,6.52687,5.017536,5.556996
S10121,6.126338,6.002138,6.28005,6.708556,6.414332,4.946222,5.452922
S10130,6.249976,6.185732,6.342314,6.769236,6.412506,5.066048,5.426786
S10140,6.159472,6.065896,6.365104,6.859788,6.435138,4.89424,5.521968
S10142,6.193992,5.96786,6.445976,6.642532,6.490952,5.029452,5.593404
S10150,6.268704,6.147548,6.260422,6.809042,6.29574,5.077898,5.461144
S10155,6.247528,6.0755,6.37412,6.688344,6.571276,5.04024,5.60053
S1016,6.201962,5.97052,6.242042,6.695108,6.28944,4.988484,5.536806
S10163,6.281832,6.371688,6.376882,6.72701,6.479528,5.103682,5.424052
S10167,6.310112,6.09141,6.452536,6.651554,6.48172,5.062528,5.650586
S10168,6.111346,5.931368,6.4075,6.626126,6.549334,4.95043,5.558758
S10173,6.232654,5.989472,6.34043,6.57192,6.578794,4.978494,5.550936
S10175,6.148198,6.061494,6.374586,6.756696,6.43945,5.023538,5.595714
S10179,6.229512,5.98108,6.579754,6.732174,6.723246,4.984892,5.814266
S10186,6.120324,5.978394,6.457788,6.53212,6.568466,4.963994,5.671694
S1019,6.188302,6.016884,6.379586,6.6311,6.51722,4.983042,5.498472
S10190,6.245058,5.914554,6.432596,6.624708,6.68251,5.01898,5.745352
S10195,6.27308,6.047734,6.413092,6.775648,6.414412,5.049726,5.615016
S10196,6.277522,6.094754,6.53259,6.776654,6.651516,4.990646,5.693182
S10200,6.197066,6.021058,6.353586,6.785288,6.391266,4.966934,5.519128
S10201,6.229752,6.161948,6.248076,6.8673,6.203704,5.02714,5.303366
S10202,6.246204,6.054588,6.340348,6.694452,6.42933,4.968264,5.402704
S10205,6.199932,6.07233,6.525662,6.733626,6.591784,4.938592,5.698738
S10211,6.2115,5.92472,6.224562,6.5846,6.247288,5.138928,5.728154
S10221,6.30584,6.031416,6.573902,6.741902,6.6622,4.988066,5.694448
S10222,6.086714,6.077698,6.236896,6.677504,6.35085,5.05913,5.432012
S10226,6.122178,6.027566,6.386108,6.786166,6.497998,4.937776,5.558544
S10227,6.228438,6.075692,6.316708,6.837078,6.427492,5.00485,5.475316
S10228,6.119918,6.049292,6.398506,6.73175,6.502088,4.97526,5.533774
S10232,6.13175,6.011306,6.188498,6.491582,6.439258,5.145592,5.626616
S10248,6.060116,5.822986,6.326416,6.659964,6.48317,4.908984,5.66273
S10249,6.317356,6.140952,6.321422,6.788072,6.354992,4.96469,5.447494
S1025,6.220892,5.98608,6.476624,6.674274,6.615278,4.922506,5.598814
S10266,6.288332,6.216316,6.283264,6.755136,6.378856,5.019628,5.423818
S10269,6.129144,6.056622,6.30062,6.75653,6.402442,5.012086,5.465244
S10272,6.173958,5.980862,6.257646,6.73164,6.296048,5.0289,5.589682
