CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
mix_1	0.0496	0.0696	0.1431	0.1861	0.0852	0.0814	0.0921	0.2929
mix_2	0.0952	0.1043	0.1176	0.1566	0.1087	0.1095	0.1297	0.1785
mix_3	0.0704	0.0982	0.2348	0.1467	0.0955	0.1664	0.1179	0.07
mix_4	0.0305	0.1055	0.1036	0.1437	0.0698	0.2232	0.1012	0.2226
mix_5	0.0423	0.1032	0.1614	0.1518	0.0734	0.1946	0.1	0.1733
mix_6	0.0437	0.0951	0.0991	0.1614	0.0759	0.1964	0.1039	0.2245
mix_7	0.0513	0.1068	0.1911	0.1445	0.0813	0.1741	0.1136	0.1373
mix_8	0.0707	0.0825	0.1574	0.1669	0.0982	0.1405	0.1136	0.1703
mix_9	0.0273	0.0929	0.0725	0.1623	0.0664	0.2037	0.0966	0.2782
mix_10	0.0469	0.1291	0.172	0.1096	0.0865	0.2205	0.1223	0.1131
mix_11	0.054	0.1065	0.1105	0.1663	0.091	0.0819	0.0992	0.2905
mix_12	0.0408	0.0765	0.1572	0.1525	0.0777	0.2188	0.1027	0.1736
mix_13	0.0612	0.0722	0.1032	0.1248	0.11	0.2536	0.1076	0.1674
mix_14	0.0228	0.1204	0.1196	0.1266	0.0734	0.2243	0.0934	0.2195
mix_15	0.0647	0.0833	0.1428	0.1626	0.0855	0.1662	0.1186	0.1761
mix_16	0.0941	0.0972	0.2009	0.1404	0.0978	0.1679	0.1472	0.0545
mix_17	0.0792	0.0969	0.1896	0.1363	0.1037	0.1776	0.1588	0.0579
mix_18	0.0643	0.1122	0.1386	0.0903	0.1174	0.2606	0.1322	0.0844
mix_19	0.0775	0.0774	0.2222	0.1428	0.1006	0.1583	0.1198	0.1014
mix_20	0.0768	0.1022	0.0817	0.1427	0.1	0.1915	0.1317	0.1733
mix_21	0.0712	0.0787	0.1718	0.1204	0.0978	0.2472	0.1348	0.0782
mix_22	0.0139	0.0999	0.159	0.1671	0.0686	0.1737	0.0707	0.247
mix_23	0.0607	0.0913	0.1003	0.1427	0.0878	0.1658	0.1168	0.2346
mix_24	0.0525	0.0902	0.1441	0.1489	0.0823	0.2213	0.1143	0.1464
mix_25	0.0447	0.0913	0.0786	0.1484	0.079	0.2065	0.1108	0.2406
mix_26	0.0607	0.0842	0.2016	0.1208	0.0992	0.2321	0.135	0.0664
mix_27	0.0522	0.0781	0.1076	0.1768	0.0799	0.1381	0.0974	0.2698
mix_28	0.058	0.0919	0.1148	0.1497	0.0808	0.1975	0.1106	0.1966
mix_29	0.0444	0.09	0.1316	0.1739	0.0852	0.1158	0.0929	0.2662
mix_30	0.0294	0.0953	0.0973	0.1494	0.0752	0.2283	0.1048	0.2203
mix_31	0.0444	0.0949	0.1445	0.138	0.0911	0.2064	0.1021	0.1786
mix_32	0.004	0.1297	0.1197	0.1237	0.072	0.2248	0.0984	0.2278
mix_33	0.0588	0.0789	0.1587	0.1237	0.097	0.2376	0.1227	0.1226
mix_34	0.0717	0.1083	0.2072	0.1106	0.1128	0.1974	0.1175	0.0745
mix_35	0.0289	0.0915	0.1422	0.1481	0.0762	0.1992	0.0985	0.2152
mix_36	0.0323	0.1038	0.1738	0.1454	0.0738	0.193	0.1056	0.1722
mix_37	0.0762	0.083	0.192	0.1383	0.094	0.1858	0.1259	0.1048
mix_38	0.0681	0.0828	0.1934	0.1577	0.0876	0.1526	0.1242	0.1337
mix_39	0.0563	0.0994	0.1098	0.1533	0.0833	0.1744	0.1107	0.2128
mix_40	0.0256	0.1003	0.1741	0.1389	0.072	0.2132	0.0962	0.1797
mix_41	0.0657	0.0937	0.2054	0.1139	0.104	0.1977	0.1341	0.0854
mix_42	0.0158	0.1616	0.0642	0.0804	0.0871	0.3059	0.1099	0.1752
mix_43	0.0682	0.1055	0.1978	0.109	0.1012	0.2149	0.1322	0.0713
mix_44	0.0726	0.1114	0.0982	0.1426	0.102	0.1507	0.1216	0.2011
mix_45	0.0396	0.1155	0.1446	0.1596	0.0735	0.1636	0.0978	0.2058
mix_46	0.0415	0.0769	0.2193	0.1257	0.0848	0.2081	0.1182	0.1255
mix_47	0.1239	0.088	0.1968	0.1388	0.1213	0.1588	0.1464	0.026
mix_48	0.0435	0.1361	0.1259	0.0914	0.0947	0.2643	0.1251	0.1191
mix_49	0	0.1202	0.2104	0.147	0.0687	0.1593	0.072	0.2223
mix_50	0.0418	0.0964	0.1194	0.1501	0.0791	0.1941	0.0979	0.2212
mix_51	0.0724	0.0988	0.2132	0.119	0.0963	0.2181	0.1322	0.0499
mix_52	0.0646	0.1083	0.1959	0.1166	0.0995	0.2024	0.1236	0.0892
mix_53	0.0858	0.1375	0.1565	0.1048	0.1046	0.2026	0.1227	0.0856
mix_54	0.0528	0.0876	0.1432	0.127	0.0835	0.2244	0.118	0.1634
mix_55	0.0678	0.0819	0.1587	0.1161	0.105	0.2507	0.1398	0.08
mix_56	0.029	0.0801	0.138	0.1328	0.0776	0.2454	0.0966	0.2005
mix_57	0.0217	0.1074	0.1024	0.1659	0.067	0.1951	0.0889	0.2516
mix_58	0.0626	0.072	0.1485	0.1563	0.0844	0.1943	0.1126	0.1691
mix_59	0.0608	0.1283	0.218	0.1173	0.093	0.1807	0.1233	0.0786
mix_60	0.0646	0.0865	0.1489	0.122	0.096	0.2366	0.1242	0.1213
mix_61	0.0392	0.1039	0.1671	0.1348	0.0752	0.2139	0.0983	0.1676
mix_62	0.0598	0.0829	0.2111	0.1308	0.0914	0.1888	0.1183	0.117
mix_63	0.0496	0.0744	0.1434	0.1532	0.0802	0.2117	0.1083	0.1792
mix_64	0.1181	0.1144	0.2011	0.1272	0.1146	0.1438	0.1512	0.0298
mix_65	0.0762	0.0928	0.2188	0.135	0.0952	0.1801	0.1238	0.0781
mix_66	0.0677	0.1333	0.1736	0.1218	0.0989	0.1328	0.121	0.1508
mix_67	0.0602	0.086	0.1581	0.1676	0.0796	0.1163	0.1085	0.2238
mix_68	0.0574	0.1061	0.1717	0.1332	0.0934	0.2102	0.1214	0.1066
