Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0.556102997019297	0.221344045792892	0.285481222041377	0.0506558731496105	0	0.0323484749162252	9999	0.656320137663941	0.808732735208839	1.1459326129194
Mix_2	0.6079382367938	0.273985557137694	0.217829174004922	0.03944561699024	0	0.00703936231152669	9999	0.663467085783873	0.801727396796872	1.14623794723818
Mix_3	0.434898787643407	0.271703422755715	0.356249975415624	0.0712653521785705	0	0	9999	0.661041002891404	0.806157942604655	1.13411753799332
Mix_4	0.439767003388521	0.315827237821675	0.316654614337893	0.0721128233070968	0	0	9999	0.666039610200559	0.800031780849539	1.14436167885519
Mix_5	0.568838086831468	0.237323456394962	0.251116341575093	0.0715010145339542	0	0	9999	0.657444263927041	0.808631611990285	1.12877889933548
Mix_6	0.532203451287703	0.229545774758301	0.257574212429389	0.0759994224372787	0	0.0509150863255104	9999	0.652204630561472	0.811678645105804	1.14623794723818
Mix_7	0.486226477818652	0.303135162454167	0.29477342258461	0.0533473036195461	0	0	9999	0.670326564566792	0.79485751288298	1.13748236647697
Mix_8	0.619403469170605	0.313993457168622	0.139812435961588	0.0664400028149045	0	0.0116400228619133	9999	0.668361231172887	0.794491255724351	1.15128938797763
Mix_9	0.590537351457145	0.247785943733595	0.271005440600612	0.0289800871725966	0	0	9999	0.665151833631752	0.800899433942646	1.13830882296395
Mix_10	0.554870379200659	0.259115156024298	0.245413646740152	0.0739184548940253	0	0.0127676432196571	9999	0.659653229612007	0.805250026005055	1.14608528007879
Mix_11	0.532078266059531	0.329712950177624	0.243998567112903	0.0421481685650788	0	0	9999	0.669368474538711	0.79578275140535	1.14793795191514
Mix_12	0.494448576078443	0.243827391812208	0.350195302995142	0.0449044996942629	0	0.0188640488090511	9999	0.661477572046015	0.804582496878713	1.15223981938911
Mix_13	0.537701394982754	0.29659988367589	0.233979229371304	0.0658370299633689	0	0	9999	0.664507300515387	0.800660260404307	1.13411753799332
Mix_14	0.404525117834636	0.315058556831894	0.346358057699069	0.0653655522796174	0	0	9999	0.666005687632237	0.800779976390794	1.13130728464522
Mix_15	0.476047944948962	0.342850990356443	0.263585272939311	0.0540994619272059	0	0	9999	0.671107769562453	0.793895891861745	1.13658367017192
Mix_16	0.571780824067599	0.293266366473559	0.218014100863977	0.0577713231997104	0	0.00317295086078628	9999	0.669128936099207	0.794923407934236	1.14400556546563
Mix_17	0.477934216001287	0.319985111102067	0.287143426065567	0.0586114794380887	0	0	9999	0.671469456216117	0.79341181938469	1.14367423260701
Mix_18	0.507472222677171	0.373571497178625	0.206754043356414	0.0463399924624345	0	0.000786288331795497	9999	0.674030802435256	0.790084284674528	1.13492404400644
Mix_19	0.526089790570026	0.18949748411884	0.343739909677905	0.0626498025391954	0	0.0183003943160733	9999	0.658200936792907	0.807630929921864	1.14027738122204
Mix_20	0.531155336472695	0.299887781388534	0.2219937616004	0.0749583630481932	0	0.0083762934003547	9999	0.664810133483439	0.799480751280827	1.13637153591018
Mix_21	0.621423364001147	0.232968970638694	0.214333644233601	0.0629464882852308	0	0.0207433391189143	9999	0.662409660881345	0.801323414723699	1.15241580627759
Mix_22	0.537939750081006	0.192420455374564	0.313022494964369	0.0684851805068257	0	0.0264409420371852	9999	0.658555394956849	0.806240958088621	1.13830882296395
