Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
S10001	0.1348	0.0919	0.1558	0.0966	0.0687	0.4522
S10006	0.1716	0.1171	0.1622	0.1338	0.0711	0.3442
S1001	0.091	0.0595	0.2776	0.0983	0.0785	0.395
S10010	0.0851	0.0953	0.1637	0.0819	0.0476	0.5264
S10011	0.1104	0.1075	0.1752	0.0979	0.0581	0.451
S10014	0.1287	0.0815	0.25	0.119	0.0767	0.344
S10026	0.1241	0.0844	0.1429	0.1017	0.0486	0.4983
S10032	0.1397	0.0679	0.1764	0.0714	0.0325	0.5121
S10036	0.1281	0.1357	0.1501	0.1414	0.0983	0.3464
S10042	0.114	0.0848	0.2063	0.1044	0.052	0.4385
S10044	0.1264	0.1014	0.201	0.0809	0.0378	0.4525
S10049	0.1579	0.1218	0.2114	0.092	0.0433	0.3736
S10057	0.1314	0.1902	0.2167	0.164	0.0803	0.2174
S10062	0.1141	0.1032	0.1549	0.083	0.0612	0.4835
S10066	0.0901	0.0858	0.1214	0.1097	0.0518	0.5411
S10067	0.1288	0.0971	0.2553	0.0935	0.0559	0.3694
S1007	0.1444	0.0854	0.1908	0.1258	0.0742	0.3793
S10073	0.1019	0.0999	0.2812	0.0679	0.0314	0.4176
S10077	0.1247	0.1079	0.1776	0.1002	0.0626	0.427
S10080	0.1188	0.0749	0.2279	0.0817	0.0534	0.4434
S10082	0.1534	0.1414	0.1398	0.091	0.0413	0.4331
S10087	0.1791	0.0763	0.198	0.0664	0.0305	0.4498
S10089	0.1373	0.1516	0.1686	0.1012	0.0855	0.3558
S1009	0.1911	0.1133	0.2356	0.0835	0.0452	0.3313
S10090	0.1327	0.0913	0.2242	0.1327	0.0617	0.3575
S10093	0.1287	0.2003	0.1452	0.1414	0.0823	0.3021
S10094	0.1118	0.109	0.1928	0.0796	0.055	0.4518
S1010	0.1199	0.0838	0.2071	0.1046	0.0598	0.4248
S10111	0.1481	0.0979	0.2164	0.0808	0.0494	0.4075
S10116	0.1242	0.0869	0.3248	0.0995	0.0598	0.3048
S10119	0.1877	0.1024	0.1545	0.1037	0.0586	0.393
S10121	0.1295	0.1045	0.2229	0.0964	0.0527	0.3939
S10130	0.1063	0.1593	0.1581	0.1131	0.0892	0.3739
S10140	0.1978	0.0861	0.1297	0.0642	0.0317	0.4905
S10142	0.1731	0.0803	0.3153	0.0939	0.0476	0.2898
S10150	0.0798	0.1215	0.2089	0.0879	0.0467	0.4552
S10155	0.1463	0.0599	0.2082	0.1147	0.0562	0.4147
S1016	0.0977	0.101	0.2178	0.1333	0.088	0.3623
S10163	0.138	0.0788	0.2194	0.1059	0.0486	0.4093
S10167	0.0864	0.0968	0.3133	0.1392	0.0686	0.2957
S10168	0.1354	0.052	0.3316	0.0828	0.0563	0.3418
S10173	0.2274	0.0772	0.177	0.1083	0.0523	0.3577
S10175	0.131	0.0959	0.2001	0.111	0.0563	0.4057
S10179	0.0677	0.0693	0.3989	0.0764	0.0294	0.3584
S10186	0.1905	0.0831	0.2053	0.1176	0.0702	0.3332
S1019	0.1249	0.0894	0.2176	0.1068	0.0681	0.3933
S10190	0.1613	0.0769	0.1701	0.1057	0.0428	0.4431
S10195	0.1451	0.0927	0.1571	0.1107	0.068	0.4264
S10196	0.1328	0.0685	0.1848	0.1138	0.0474	0.4526
S10200	0.0838	0.0959	0.2379	0.1144	0.0565	0.4116
S10201	0.1273	0.1645	0.1729	0.1164	0.0696	0.3494
S10202	0.0904	0.063	0.3647	0.0923	0.0659	0.3238
S10205	0.1459	0.058	0.2286	0.0706	0.0468	0.4501
S10211	0.1043	0.0666	0.2017	0.187	0.089	0.3514
S10221	0.1122	0.0735	0.1784	0.0839	0.05	0.5021
S10222	0.142	0.1274	0.1622	0.1362	0.0598	0.3723
S10226	0.1611	0.0864	0.2062	0.1078	0.0484	0.3902
S10227	0.1397	0.1006	0.1409	0.1207	0.0673	0.4308
S10228	0.1048	0.1026	0.1997	0.1069	0.0637	0.4222
S10232	0.1906	0.0966	0.2504	0.1283	0.0698	0.2644
S10248	0.1556	0.0839	0.1974	0.131	0.0618	0.3704
S10249	0.1005	0.0984	0.1313	0.1016	0.0433	0.525
S1025	0.175	0.0677	0.2531	0.0899	0.0396	0.3748
S10266	0.1305	0.0859	0.177	0.139	0.0575	0.4101
S10269	0.1466	0.113	0.2084	0.1054	0.0665	0.3601
S10272	0.1069	0.1242	0.1811	0.1393	0.0869	0.3616
S10273	0.1909	0.0922	0.2662	0.078	0.0461	0.3266
S10274	0.1365	0.0922	0.175	0.142	0.0682	0.386
S1028	0.1127	0.0834	0.1811	0.0862	0.0472	0.4893
S10280	0.1304	0.0772	0.2083	0.0369	0.017	0.5301
S10283	0.108	0.1125	0.2966	0.0612	0.0236	0.398
S1029	0.1413	0.0901	0.225	0.1094	0.0463	0.3879
S10292	0.1969	0.124	0.2025	0.1	0.077	0.2997
S10294	0.182	0.0965	0.2619	0.0866	0.0535	0.3194
S10302	0.1193	0.1147	0.227	0.1295	0.0734	0.3361
S10303	0.1173	0.0692	0.2881	0.0935	0.0514	0.3804
S10323	0.0952	0.1111	0.1737	0.1207	0.0721	0.4272
S10326	0.1051	0.0862	0.2389	0.0728	0.0706	0.4265
S10328	0.0869	0.0839	0.3871	0.0694	0.0506	0.3221
S10329	0.1684	0.0942	0.2385	0.086	0.0454	0.3675
S10336	0.1215	0.0627	0.305	0.1107	0.0583	0.3419
S10340	0.1825	0.1337	0.1621	0.1224	0.0608	0.3385
S10347	0.1246	0.1197	0.2451	0.1389	0.0795	0.2922
S10353	0.1468	0.0745	0.1591	0.0894	0.0674	0.4629
S10356	0.1619	0.1216	0.1574	0.107	0.0822	0.3698
S10358	0.0973	0.0929	0.2007	0.0951	0.0585	0.4555
S10365	0.1448	0.095	0.1499	0.1224	0.0825	0.4054
