	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
A	0.136703301027804	0.0321526948215067	0	0	0	0.0224051455539711	0	0	0	0.147982174271838	0.1204366433847	0	0.0181286122746284	0.435386276732425	0.0618583738027175	0	0	0	0.0249467781304099	0	0
B	0.135686973803035	0.0333048434052628	0	0	0.000817405457794392	0.0217755285247893	0	0	0	0.152598181477485	0.12074426684984	0	0.017400029907231	0.43269921307615	0.0638871960867445	0	0	0	0.0210863614116675	0	0
C	0.099417902007298	0.00861380740879955	0	0	0	0.0278375073615104	0	0	0	0.108764054127141	0.0491631914229743	0	0.0170385829421365	0.435889499237107	0.051309854079415	0	0.0145075533787237	0.118935108541383	0.0406407428565179	0.0278821966369939	0
D	0.104366163719257	0.00657161717778838	0	0	0	0.0284980649680973	0	0	0	0.106203286554393	0.0480697710896415	0	0.0172832630240236	0.435110706532521	0.0499838833897358	0	0.0068729983309247	0.12395350636083	0.0435957752031504	0.0294909636496369	0
E	0.087790446699398	0.0122085009067944	0	0	0	0.0278167640051032	0	0	0	0.160885425435019	0.0672399826417225	0	0.0158225465579086	0.440660822327072	0.0509381083039477	0	0	0.107347768054424	0.02928963506861	0	0
F	0.0722632207913872	0.00740402998767162	0	0	0.00540466384524699	0.0213492949755293	0	0	0	0.297842206895684	0.0871528086918619	0	0.0152628363418035	0.44412495247297	0.0485692946123574	0	0	0	0.000626691385487898	0	0
G	0.120173643739052	0.0538073511651227	0	0	0	0.0329104335849061	0	0.0062976891866413	0	0.0712194053408803	0.193728510907293	0	0.0113721981544944	0.422395481602821	0.0622415596465105	0	0	0	0.0258537266722797	0	0
H	0.106657462860716	0.0594899972218065	0	0	0.00315026544248876	0.0285239928377905	0	0.0284384756884515	0.0842133073439091	0.0508985684445623	0.125997796255669	0	0.00959307918422417	0.424956868583464	0.0568616255505483	0	0	0	0.02121856058637	0	0
I	0.106889381017776	0.0617250361370466	0.00499753019671302	0	0.00402862714612522	0.025004829224543	0	0.0238309844960415	0.0893444596098052	0.0496797417946452	0.125389810449184	0	0.0083922961051013	0.424035830812281	0.0556679756868639	0	0	0	0.0210134973238742	0	0
J	0.103994781813415	0	0	0	0.000675732204851936	0.0278875315202909	0	0	0	0.0850981431463592	0.0287361135274668	0	0.0106041527964881	0.439831989285293	0.0472107604717331	0	0.044210814724795	0.0988122819497468	0.0469122360856003	0.06602546247396	0
K	0.0948083809573584	0	0	0	0.00269902390354976	0.0320809709364095	0	0	0	0.153478015679092	0.0173686675202221	0	0.0176787792652688	0.444677390885679	0.0394427585538347	0	0	0.165609286142252	0.0321567261563346	0	0
L	0.0713666650203178	0.0277238093736742	0	0	0	0.0341472306170227	0	0	0	0.0803902277343953	0.0513529597743038	0	0.0178760683543108	0.43069000366408	0.0488742317331245	0	0	0.095727918642469	0.0715435871661077	0.0703072979201942	0
