Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0.16395290522256	0	0.0825093344646147	0.110819195111154	0.00571683481542996	0.165574299700191	0	0.369022960200155	0.0343006135523849	0	0	0.124141009688753	0.182488414414263	0.0356615785872141	0	0.0487508818691211	0	0	0	0	9999	0.558425100471133	0.828682920881183	1.32293802762584
Mix_2	0.161809883191602	0	0.030066599777543	0.0586660368272147	0.0665741344511062	0.0286849719192658	0	0.465310117780119	0.00609500079695402	0	0	0.0601218322288077	0	0	0	0.0154479237395551	0.0325800203047985	0	0.00295010483556864	0.0501779119112361	9999	0.643114112345556	0.769546658446306	0.978484537763772
Mix_3	0.0643709207345801	0	0.0342312434610092	0.0603116028787258	0.0770487648545796	0.019694434622483	0	0.319392821369063	0.176314317568292	0	0	0.0728725720038543	0	0.00516024151600434	0	0.0158143269923243	0.0425365585393862	0	0	0.0518091928752049	9999	0.581994151849379	0.811217819251467	0.939556997415507
Mix_4	0.0789114044417505	0	0.00643827166186121	0.0289389382552631	0.0399855524556297	0.0759602707659032	0.00234046672799562	0.358227054826455	0.0664160077845105	0	0	0.0372997967572584	0	0.00371021887862878	0	0.0111076995693316	0.0324946729729732	0	0	0.0472370150716697	9999	0.614007628701239	0.793687294472493	0.789067370169231
Mix_5	0.23391388433956	0.00454680535838597	0	0.0130584413799282	0.0599988178740704	0.0852036552590198	0.0216135148120833	0.267803141788507	0.0262936086097582	0	0	0.0334414690121343	0.00965851596328496	0.00606664405227726	0	0.00445718872421483	0.00139029106126243	0.00700483715910595	0	0.105258797096901	9999	0.684726762634445	0.748852845419384	0.879709612490494
Mix_6	0.207567153534012	0	0.0887234563619239	0.186156428711877	0.122642048147556	0	0	0.242232648624625	0.0829296622355484	0	0	0.0940492618808146	0	0	0	0.0620374531119742	0.037246296618931	0	0.0136896926679009	0.10889389965743	9999	0.573835157600375	0.82023404224492	1.24616800155259
Mix_7	0.109851344997627	0	0	0.0189860333436834	0.0296298287071575	0.0410679334807358	0.00825198294458021	0.369972144066819	0.143997376241974	0	0	0.0299533373778242	0	0	0	0	0.0340867118906828	0.000878496423570248	0	0.0476763976878441	9999	0.643873304475448	0.769823225373189	0.834351587162499
Mix_8	0.151232040568288	0.00678081110685806	0.0522446697068027	0.0773930449694188	0	0.00979226000230449	0	0.574912817236	0.0517803039036852	0	0	0.0908640185526069	0	0	0	0	0.0487448611356239	0	0.00112549540023721	0.0382360895841127	9999	0.60107529798735	0.798093410251719	1.10310641216594
Mix_9	0.186580584253534	0	0.0221063928596047	0.0513770474510257	0.047186446314349	0.037611597151923	0.00179042186830459	0.443953268158115	0.0421559462383343	0	0	0.0617068171590334	0	0	0	0.015033953934038	0.0370581431997517	0.00125778475935396	0.00253534606577993	0.0500748208839652	9999	0.643430938945618	0.769730483562108	1.00042857029711
Mix_10	0.242930294689788	0	0.0516211596027393	0.110636432611507	0.0869228395255405	0	0	0.289345708012434	0.0898906119591976	0	0	0.0806609179246233	0	0	0	0.0401918003730569	0.0362758038538855	0	0.0101595957850868	0.0775136053968994	9999	0.621538622098002	0.782256921366449	1.11614876973476
Mix_11	0.109417881623919	0	0.00958356336253469	0.0271006690662901	0.0320316707620708	0.0953474259782227	0.0049287878018023	0.486588838768122	0.00247275762876276	0	0	0.0376062693194852	0	0	0	0	0.0316127207487253	0	0	0.0466620474053314	9999	0.633633346392927	0.783693784034148	0.883352632465266
Mix_12	0.105978340818651	0	0.00410766462516244	0.102267298038458	0.0363659142772881	0.133364311967799	0.00522265640845485	0.32757352541865	0.0541484218150158	0	0	0.14176597349104	0.121370830474854	0.0297230177967801	0	0.0565802935013766	0	0	0	0	9999	0.57973360919229	0.814280768130026	1.11846824863353
Mix_13	0.198316596926088	0.0325207900110087	0.0190718390306407	0.0469769934249903	0.0746000445094421	0.00444615929932267	0.00545219789799612	0.361026892683377	0.111506726511141	0	0	0.0566560526432456	0	0	0	0	0.0395186960303925	0.00343226971877757	0	0.0590663727429506	9999	0.663364585687241	0.752710099866396	1.01259163142937
Mix_14	0.043186537965861	0.0155547132389966	0	0.00776527680492736	0.024644898345784	0.0962648751177833	0.0221095669561112	0.294383726092668	0.149330471767996	0	0	0.0391174787203336	0	0.00431020109586506	0	0	0.0238161051570561	0	0	0.0198651150053871	9999	0.59861359924973	0.80250804961941	0.740348966268769
Mix_15	0.100418443284343	0	0.0220383874497527	0.0265234327263343	0.0151994673371387	0.0580493439919709	0	0.525078135187065	0.0447175283324663	0	0	0.0463436199175066	0	0	0	0	0.0411669832715653	0	0	0.0163828796387296	9999	0.62593644547606	0.783499414292805	0.895918221136872
Mix_16	0.145321866810555	0	0.0288794643911809	0.0709146113191526	0.0385585540701082	0	0	0.473934778101802	0.0792151360330641	0	0	0.0674631601578074	0	0	0	0.0227124004236861	0.0445834334842135	0	0	0.0398207384178759	9999	0.625575976199759	0.780138551437936	1.01140414320945
