Gene,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
mix_1,771.468439385,954.613957529,509.988717905,562.600320988,441.937438338,160.320229126,619.32096247
mix_2,718.308854931,926.47166141,515.563481606,548.489705327,434.071758402,169.866765008,595.471582696
mix_3,776.742496703,893.540867113,472.26608766,556.299267498,390.000061141,172.559289559,571.985292827
mix_4,687.533774884,920.484760635,511.054878188,552.459852728,462.537897345,173.290347657,618.473987364
mix_5,718.985262897,897.897666256,492.009645265,544.690103508,423.767315491,173.966742906,604.303276386
mix_6,688.958353439,915.034407607,515.089184523,551.729598822,460.530753239,169.956799023,623.300503819
mix_7,734.287869208,872.728540292,481.294318414,540.033309244,409.067998292,175.295565773,589.131805558
mix_8,737.949706814,897.291932762,484.991762642,541.99322315,413.022306236,172.296832385,590.109922682
mix_9,680.496395739,928.391670919,529.27940377,550.207059749,489.965684585,167.784126603,630.207159579
mix_10,739.954147073,951.139836527,493.535356861,561.683650611,435.98276545,173.663670015,594.738588267
mix_11,741.421405037,983.93009078,532.390701149,574.525484714,450.723118744,171.864415305,633.99290009
mix_12,713.43055214,907.959392884,489.391727297,550.631296898,444.923295824,170.236500766,597.990041464
mix_13,708.222015497,944.567920962,524.138637083,565.241124788,490.623402424,163.92714218,586.102695858
mix_14,717.444060317,965.023801355,522.727553563,569.892201395,475.278976462,172.704001801,626.112028765
mix_15,710.811203005,900.572774924,493.387224233,550.341337315,433.127448715,166.596321255,599.36264621
mix_16,724.767078078,843.457364069,470.441287443,547.892520488,397.625620675,172.478019925,569.050395427
mix_17,725.398168649,852.654166096,462.216217764,545.932710474,403.114880354,174.474604423,568.150569696
mix_18,733.573427938,973.88449965,509.510069697,573.801789198,455.289466517,169.46240063,577.484734805
mix_19,776.801033347,898.697451778,474.431090021,560.890085933,394.145433088,172.667754298,567.451001065
mix_20,685.803623635,931.001303332,511.376558945,554.828795678,464.246961654,166.285071167,619.535879453
mix_21,709.828033728,888.180749851,481.863419594,550.94179185,432.854718195,169.896003492,566.741418414
mix_22,764.194633443,971.189451409,509.708400878,563.338639535,452.845155373,170.047311473,613.022353959
mix_23,721.911052925,965.732217322,533.638293338,566.539353895,464.820736968,164.327804831,622.131211372
mix_24,701.721273079,886.698068505,491.97881522,548.367844755,437.980608908,168.27367788,599.686100757
mix_25,679.191329969,937.475709362,528.786003892,563.993978942,485.253785015,164.281509507,632.300276856
mix_26,745.040535602,910.58692652,477.383001263,558.091144126,421.100459926,170.242570984,560.503021829
mix_27,728.482288422,951.721062621,520.990682096,559.116993701,461.731774526,167.36119987,627.344394213
mix_28,695.014171034,913.933790812,508.491154942,549.05846231,451.671065896,168.390302785,612.432244956
mix_29,752.596481585,956.667323764,518.047851228,561.903929519,441.617592134,167.684923075,619.06061748
mix_30,692.767223285,927.959866449,515.120169455,555.127889335,470.621500084,168.321631397,615.484088905
mix_31,734.626028412,949.719464299,505.454853268,565.748816184,450.009427315,167.162726784,602.050219157
mix_32,731.21152295,976.723361012,528.404399297,569.785534724,479.554239098,174.50063674,613.718670003
mix_33,741.330349566,953.188637387,502.544303868,572.734344738,449.375072123,165.544352714,584.124273495
mix_34,776.312102665,941.695673815,484.964865047,569.065499194,409.414625876,171.135796064,567.577394602
mix_35,723.153873535,928.156090538,508.711540554,555.741119558,452.352874545,170.991064386,610.609787837
mix_36,742.598059633,931.91313938,499.266844573,555.475193723,429.248449417,172.197985631,599.474107906
mix_37,730.910959062,872.140618344,473.348863612,547.889315007,411.968938468,170.814165081,577.592090128
mix_38,745.555971942,899.832405206,480.168804012,547.746619844,413.550979388,171.22385315,592.414839927
mix_39,700.026053882,920.216149095,512.52902205,548.386006846,452.343902477,169.799380932,612.262991446
mix_40,753.215333975,943.028994874,496.046383164,549.983094357,437.927419808,175.575102561,593.932418324
mix_41,765.480359995,927.897457215,478.566011312,555.576164562,411.434951648,168.737286871,567.179846678
mix_42,680.663850706,965.04827338,541.196144146,568.76274099,494.716681476,176.312924169,611.161055806
mix_43,744.860708548,932.932453096,483.43431649,562.387409177,424.325531753,171.818019643,567.76875715
mix_44,715.038955268,955.063065704,526.589932647,553.008632722,460.636220027,169.270991379,611.540912038
mix_45,728.33921174,913.983251506,495.397466962,560.57215006,420.819404606,171.419016572,614.950536036
mix_46,786.202727214,938.803352484,486.483849263,567.803672574,421.335441454,171.488146062,584.826777972
mix_47,736.835710148,810.577714497,471.355647497,541.937134233,392.195480934,181.420341739,542.876843889
mix_48,724.144902854,973.875681452,522.55500204,568.841676426,461.410387969,172.200460574,595.822957686
mix_49,799.066980355,998.67825451,503.14935597,579.691547671,424.043324196,179.056216305,609.591269291
mix_50,710.754802036,925.366671615,521.948985892,558.038146837,459.569154078,174.483096246,619.659729244
mix_51,746.1180592,888.778914274,472.676982721,554.095544412,410.757568274,171.790010498,556.526408491
mix_52,756.387367911,927.035272658,485.811238866,564.97741949,418.352055499,168.80558442,576.756484317
mix_53,736.575242486,947.36584364,500.152636284,568.911481539,426.389848251,176.409281236,591.416012082
mix_54,712.424639337,924.959716612,499.130868242,552.115387486,453.174241982,166.82786696,602.293450759
mix_55,723.604170438,924.984117933,498.346612122,557.404551431,441.127680778,170.053734062,570.362562327
mix_56,733.140724112,954.830414255,509.522214223,565.887930299,464.85938178,166.986020589,606.666696788
mix_57,699.801165314,935.669754985,519.841459793,553.734718802,465.485713766,171.746982648,629.914152303
mix_58,716.199787502,905.049911836,494.413555029,550.280869846,442.466143052,166.381577934,601.843468092
mix_59,762.084629452,920.468025641,476.218879037,558.626072484,405.800486538,176.727677133,573.194323326
mix_60,724.110395312,941.656364342,487.033229614,564.897341675,450.670513695,168.516211986,585.310280358
mix_61,729.534134284,905.599912676,489.401955989,543.304832759,429.956826241,173.811301274,601.190968454
mix_62,761.986763359,907.198693102,471.111341546,554.354970605,405.936298466,171.876666769,584.968639116
mix_63,712.253933161,908.650174711,497.52299854,550.93301723,448.669151683,166.116820619,599.946823482
mix_64,728.836644376,833.633604416,474.429282816,550.12580879,382.088183828,179.449521337,556.492048215
mix_65,768.368881583,916.559359065,474.206141667,566.247991913,408.675716047,166.941761387,569.1108103
mix_66,774.632371523,941.017385082,495.422831079,571.559497422,418.228449369,177.354540955,593.509518369
mix_67,741.874833578,930.712145773,490.59412778,554.069291772,429.838993846,169.113151822,620.160383401
mix_68,723.471692012,897.094534979,482.264773686,552.73095803,427.788025454,168.700564372,578.942428878
mix_69,670.645862897,898.044211101,509.53817424,551.01199956,453.430750566,172.029073714,613.178857459
mix_70,735.62809909,884.667157449,470.818083066,553.282226454,416.479344727,172.718641391,561.854588067
mix_71,744.946770976,901.671366683,483.245840869,551.838968834,419.004116867,166.58096304,584.016449789
mix_72,761.421516847,897.992277659,469.345014017,553.258063109,404.554815629,168.150130101,577.713866071
mix_73,710.927044033,849.95895908,470.684560632,540.965843419,419.725707835,173.483589391,569.122363456
mix_74,685.820541489,969.329539425,548.405609655,565.114989856,500.752147185,168.065645478,624.83261794
mix_75,716.133545869,938.901324793,494.693361022,561.678472926,445.607905694,166.320612808,591.543074792
mix_76,763.278435113,902.565402676,480.824172028,556.185211838,412.930315448,169.021662637,596.840510178
mix_77,711.09100947,926.474464688,505.251939128,560.527107304,451.748137318,168.610694154,610.380321787
mix_78,720.689380227,902.97684218,484.296998296,553.495089652,430.750975855,166.037999272,580.534860106
mix_79,745.32962953,890.269071449,459.288144146,557.780140062,384.196731059,172.829064855,578.431846407
mix_80,756.112286367,957.450243132,492.41515717,582.595331679,428.29391453,172.765840209,588.279559499
mix_81,802.376169398,946.237444021,477.277996223,568.7924464,404.500760559,174.190530048,566.98118023
mix_82,773.766367138,829.43780763,464.463995188,542.855182582,377.968282412,183.078103703,544.976014058
mix_83,705.320398179,865.401797649,482.726672933,543.886395403,430.231474891,176.797660735,560.425326485
