Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
AbsCibersort	10XImmune.tsv	A	B Cells	0.0494262675099	0.194	0.14457373249	0.0209015641261
AbsCibersort	10XImmune.tsv	A	Monocytes	0.388627444953	0.194	0.194627444953	0.0378798423289
AbsCibersort	10XImmune.tsv	A	NK Cells	0.524823564494	0.194	0.330823564494	0.109444230825
AbsCibersort	10XImmune.tsv	A	Neutrophils	0.0	0.03	0.03	0.0009
AbsCibersort	10XImmune.tsv	A	CD4 T Cells	1.19437557046	0.194	1.00037557046	1.00075128197
AbsCibersort	10XImmune.tsv	A	CD8 T Cells	0.225990587741	0.194	0.031990587741	0.00102339770401
AbsCibersort	10XImmune.tsv	B	B Cells	0.049394635583	0.194	0.144605364417	0.0209107114182
AbsCibersort	10XImmune.tsv	B	Monocytes	0.438425579683	0.194	0.244425579683	0.0597438640034
AbsCibersort	10XImmune.tsv	B	NK Cells	0.563323004156	0.194	0.369323004156	0.136399481399
AbsCibersort	10XImmune.tsv	B	Neutrophils	0.0	0.03	0.03	0.0009
AbsCibersort	10XImmune.tsv	B	CD4 T Cells	1.08849750758	0.194	0.89449750758	0.800125791067
AbsCibersort	10XImmune.tsv	B	CD8 T Cells	0.255750044114	0.194	0.061750044114	0.00381306794808
AbsCibersort	10XImmune.tsv	C	B Cells	0.0171772982791	0.005	0.0121772982791	0.000148286593378
AbsCibersort	10XImmune.tsv	C	Monocytes	0.112241645358	0.01	0.102241645358	0.0104533540455
AbsCibersort	10XImmune.tsv	C	NK Cells	0.47068865633	0.051	0.41968865633	0.176138568252
AbsCibersort	10XImmune.tsv	C	Neutrophils	0.0	0.004	0.004	1.6e-05
AbsCibersort	10XImmune.tsv	C	CD4 T Cells	1.75287644926	0.828	0.92487644926	0.855396446396
AbsCibersort	10XImmune.tsv	C	CD8 T Cells	0.0	0.102	0.102	0.010404
AbsCibersort	10XImmune.tsv	D	B Cells	0.0147838656039	0.005	0.0097838656039	9.57240261552e-05
AbsCibersort	10XImmune.tsv	D	Monocytes	0.102559676415	0.01	0.092559676415	0.00856729369805
AbsCibersort	10XImmune.tsv	D	NK Cells	0.446627607677	0.051	0.395627607677	0.156521203956
AbsCibersort	10XImmune.tsv	D	Neutrophils	0.0	0.004	0.004	1.6e-05
AbsCibersort	10XImmune.tsv	D	CD4 T Cells	1.79448693711	0.828	0.96648693711	0.934096999604
AbsCibersort	10XImmune.tsv	D	CD8 T Cells	0.0	0.102	0.102	0.010404
AbsCibersort	10XImmune.tsv	E	B Cells	0.00990340456892	0.01	9.659543108e-05	9.33067730553e-09
AbsCibersort	10XImmune.tsv	E	Monocytes	0.186018939692	0.026	0.160018939692	0.0256060610602
AbsCibersort	10XImmune.tsv	E	NK Cells	0.565290916201	0.104	0.461290916201	0.21278930937
AbsCibersort	10XImmune.tsv	E	Neutrophils	0.0	0.008	0.008	6.4e-05
AbsCibersort	10XImmune.tsv	E	CD4 T Cells	1.44031682733	0.005	1.43531682733	2.06013439482
AbsCibersort	10XImmune.tsv	E	CD8 T Cells	0.172096712316	0.846	0.673903287684	0.454145641151
AbsCibersort	10XImmune.tsv	F	B Cells	0.0	0.027	0.027	0.000729
AbsCibersort	10XImmune.tsv	F	Monocytes	0.297465505218	0.055	0.242465505218	0.0587895212206
AbsCibersort	10XImmune.tsv	F	NK Cells	0.908843087364	0.885	0.023843087364	0.000568492815047
AbsCibersort	10XImmune.tsv	F	Neutrophils	0.0	0.017	0.017	0.000289
AbsCibersort	10XImmune.tsv	F	CD4 T Cells	0.72827431781	0.011	0.71727431781	0.51448244699
AbsCibersort	10XImmune.tsv	F	CD8 T Cells	0.465657275798	0.005	0.460657275798	0.212205125746
AbsCibersort	10XImmune.tsv	G	B Cells	0.069473333453	0.159	0.089526666547	0.00801502402302
AbsCibersort	10XImmune.tsv	G	Monocytes	0.613171255673	0.319	0.294171255673	0.0865367276642
