Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	otherCells
mix_1	0.0294083806825089	0.0294207136778306	0.029427101329691	0.0294177687996592	0.0294237150771324	0.0293847126694324	0.0294128884627358	0.0294043789834953	0.0294189311976092	0.0294107601830847	0.0294052837254479	0.0294073143029834	0.0294285472720544	0.0294145387751139	0.0294159315549787	0.0294119706556331	0.0294156743763933	0.0294200717212376	0.0294228108302755	0.0293822388607607	0.0294054461194133	0.0294065021243043	0.0294194484130249	0.0294165119864159	0.0294144275496928	0.0294020240773235	0.0294043786300346	0.0294030664666743	0.0293878455771056	0.0294171209158162	0.0294137879845385	0.0294037447290648	0.0294263962741614	0.0294245690880521	9.96926319829505e-07
mix_2	0.0294084425573441	0.029420775562796	0.029427163224081	0.0294178306865281	0.0294228727214477	0.0293846731626576	0.0294120325340201	0.0294036504111545	0.0294189930934522	0.0294107263307908	0.0294053455978204	0.0294073761765501	0.0294286091573911	0.0294146006569433	0.029415993439228	0.0294129503421882	0.029415736259493	0.0294201336099363	0.0294237769690059	0.0293823007104074	0.0294055079905916	0.029406563996807	0.0294194198894309	0.029416573869826	0.0294144894310154	0.0294019656266774	0.029404440499841	0.029403014701301	0.0293879074357206	0.0294171827999782	0.0294138498650154	0.029403699277407	0.0294257116380264	0.0294246309805893	1.05879453726754e-06
mix_3	0.0293861515169942	0.029424681781671	0.0294259057461121	0.0294168653641432	0.0294228570516553	0.0293833528934638	0.0294113007263686	0.0294037939252124	0.0294186642902239	0.0294093078645173	0.0294046065550684	0.0294064254578108	0.0294162058311689	0.0294139231507613	0.0294147334869494	0.029411071387244	0.0294261879464338	0.0294202872256127	0.0294231935762944	0.0293850059481047	0.0294059093666912	0.0294064539945207	0.0294190522003977	0.0294170585794428	0.0294132189540144	0.0294016112645446	0.0294052130917324	0.0294031378008819	0.0294194606450281	0.0294173958398766	0.0294125600581385	0.0294008516382463	0.0294270111295414	0.0294253778001574	1.16591097587548e-06
mix_4	0.0293860133601654	0.029424660718268	0.0294258884921704	0.0294168517570787	0.0294228469403156	0.029383322241501	0.0294112756165256	0.0293839935807788	0.0294185097092106	0.0294093634179839	0.0294045289869824	0.0294063431585949	0.0294162319959491	0.0294139381847011	0.0294147637494777	0.0294110915802249	0.0294262219154944	0.0294203226805836	0.0294232304535309	0.0294056193533457	0.0294058624622521	0.0294064952620558	0.029419008486828	0.0294170211284994	0.0294138028922735	0.0294015769824536	0.0294051845500765	0.0294031146854746	0.0294194426516922	0.0294167035827048	0.0294120865770946	0.0294009207277883	0.0294270802250167	0.0294254468954353	1.23499747195499e-06
mix_5	0.0293860133601654	0.029424660718268	0.0294258884921704	0.0294168517570787	0.0294228469403156	0.029383322241501	0.0294112756165256	0.0293839935807788	0.0294185097092106	0.0294093634179839	0.0294045289869824	0.0294063431585949	0.0294162319959491	0.0294139381847011	0.0294147637494777	0.0294110915802249	0.0294262219154944	0.0294203226805836	0.0294232304535309	0.0294056193533457	0.0294058624622521	0.0294064952620558	0.029419008486828	0.0294170211284994	0.0294138028922735	0.0294015769824536	0.0294051845500765	0.0294031146854746	0.0294194426516922	0.0294167035827048	0.0294120865770946	0.0294009207277883	0.0294270802250167	0.0294254468954353	1.23499747195499e-06
mix_6	0.0293860133601642	0.0294246607182676	0.0294258884921706	0.0294168517570786	0.029422846940317	0.0293833222415	0.0294112756165264	0.0294038993695748	0.0294185097092096	0.0294093634179839	0.0294045289869833	0.0294063431585948	0.0294162319959505	0.0294139381847018	0.0294147637494774	0.0294110915802254	0.0294262219154943	0.0294203226805832	0.0294232304535312	0.0293857135645493	0.0294058624622524	0.0294064952620564	0.0294190084868275	0.0294170211284991	0.0294138028922736	0.0294015769824538	0.0294051845500764	0.0294031146854741	0.0294194426516927	0.0294167035827044	0.0294120865770945	0.0294009207277878	0.0294270802250162	0.0294254468954356	1.23499747173295e-06
mix_7	0.02938607105526	0.0294246479901602	0.0294258769820854	0.0294168414134926	0.0294228377140801	0.0293833064496913	0.0294112615963603	0.0294037616990195	0.0294186385989313	0.0294092883235392	0.0294045928315224	0.0294064172293095	0.0294162239209782	0.0294139238426445	0.0294147579821268	0.0294110801440962	0.0294262182354775	0.0294203198362102	0.0294232284096611	0.0293857068171895	0.0294058569841535	0.02940640925518	0.0294190146887106	0.0294170278788527	0.0294131946908717	0.0294015930807946	0.0294052006484893	0.0294031307838148	0.0294194587500423	0.0294167196809609	0.02941264524762	0.0294009368261267	0.0294270963232769	0.0294254629937173	1.25109555315639e-06
mix_8	0.0293860295887246	0.0294246675350059	0.0294257607020256	0.0294168740209464	0.0294228675372863	0.0293833526334565	0.0294113033654247	0.0294039246225063	0.0294185326054621	0.0294093840865246	0.0294045475528666	0.0294063597382104	0.0294162390649288	0.0294139515412748	0.0294147685033019	0.0294111020214148	0.0294262245751738	0.0294203245018388	0.0294233650644437	0.0293856963815199	0.0294058452790344	0.0294064780788398	0.0294189913021637	0.0294170039452992	0.0294137857090712	0.0294015597992406	0.0294051673668559	0.0294030975022612	0.0294194254684811	0.029416686399506	0.0294120693938906	0.029400903544575	0.0294270630417279	0.0294254297121315	1.21781458561898e-06
mix_9	0.0293860133601642	0.0294246607182676	0.0294258884921706	0.0294168517570786	0.029422846940317	0.0293833222415	0.0294112756165264	0.0294038993695748	0.0294185097092096	0.0294093634179839	0.0294045289869833	0.0294063431585948	0.0294162319959505	0.0294139381847018	0.0294147637494774	0.0294110915802254	0.0294262219154943	0.0294203226805832	0.0294232304535312	0.0293857135645493	0.0294058624622524	0.0294064952620564	0.0294190084868275	0.0294170211284991	0.0294138028922736	0.0294015769824538	0.0294051845500764	0.0294031146854741	0.0294194426516927	0.0294167035827044	0.0294120865770945	0.0294009207277878	0.0294270802250162	0.0294254468954356	1.23499747173295e-06
mix_10	0.02938607105526	0.0294246479901602	0.0294258769820854	0.0294168414134926	0.0294228377140801	0.0293833064496913	0.0294112615963603	0.0294037616990195	0.0294186385989313	0.0294092883235392	0.0294045928315224	0.0294064172293095	0.0294162239209782	0.0294139238426445	0.0294147579821268	0.0294110801440962	0.0294262182354775	0.0294203198362102	0.0294232284096611	0.0293857068171895	0.0294058569841535	0.02940640925518	0.0294190146887106	0.0294170278788527	0.0294131946908717	0.0294015930807946	0.0294052006484893	0.0294031307838148	0.0294194587500423	0.0294167196809609	0.02941264524762	0.0294009368261267	0.0294270963232769	0.0294254629937173	1.25109555315639e-06
