Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE	Absolute score (sig.score)
S10001	0.0723602598056807	0.0687810738673547	0.719459253886797	0.0316034080466177	0	0.11381477553392	9999	0.316215453622342	1.11506583376127	1.00601877114037
S10006	0.148629784806694	0.0885435267103235	0.672569927171599	0.0335749894501289	0	0.0619952973004649	9999	0.257593044131457	1.14861642624581	1.00531352543921
S1001	0.166390963624423	0.0487481481516106	0.689112636096182	0.0230580057228033	0	0.0776331759970564	9999	0.305429084649725	1.11409407426587	1.00494292959208
S10010	0.0306508870983746	0	0.843141468596221	0.02292360697986	0	0.108597562764755	9999	0.319763473418701	1.12367193303088	1.00531352543921
S10011	0.12091733518252	0.257155388996057	0.506131911823638	0.0180095401185623	0	0.102661412677013	9999	0.315973107447605	1.10331860696952	1.00487558879779
S10014	0.0871444343162603	0	0.809796982617888	0.0252236320864721	0	0.0819339978565782	9999	0.319686700034615	1.11457968266486	1.0040990468772
S10026	0.154590381118104	0	0.770717426367784	0.0179490624644207	0	0.0608421769268892	9999	0.265935230200984	1.14978360362525	1.0040990468772
S10032	0.174837633033926	0	0.675786836807589	0.0299364717247203	0	0.125824102178782	9999	0.314533499274184	1.10992711048261	1.00638504374502
S10036	0.0094341744964408	0.136761423483612	0.732464397127168	0.0546137468828764	0	0.0708253048871017	9999	0.3012541902877	1.12616985772868	1.0040990468772
S10042	0.118177539555004	0.00942266871535371	0.800261860004417	0.0141157720187441	0	0.0629650892985572	9999	0.332376056061637	1.10190132372557	1.00494292959208
S10044	0.130174551600416	0	0.800558547646832	0.0168122920418312	0	0.0574988998502107	9999	0.305889111382037	1.12167809825157	1.00504429113929
S10049	0.172063709027435	0	0.749559134249167	0.0228562702242615	0	0.0611038240547608	9999	0.299442991088585	1.1203224643032	1.00558293755562
S10057	0.0510257135843757	0.0961093965336859	0.719986018447724	0.0359054992224786	0.00220611513323697	0.100215346273076	9999	0.332664103643223	1.10097110616253	1.00544808919458
S10062	0.152411940425081	0	0.74196439006264	0.0103841554401304	0	0.100418250493278	9999	0.340448289325965	1.09356754794343	1.00517873642113
