B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S10391	0.2205	0.274	0.1856	0.0864	0.0154	0.2182
S10393	0.19	0.2459	0.3674	0.0519	0.0048	0.1401
S10400	0.2005	0.4248	0.0812	0.0613	0.0094	0.2228
S10401	0.202	0.388	0.1557	0.0528	0.0072	0.1943
S10406	0.2171	0.3134	0.1004	0.0858	0.0101	0.2733
S10408	0.2	0.3926	0.1449	0.052	0.0048	0.2057
S10409	0.2075	0.3453	0.2616	0.0452	0.006	0.1343
S10418	0.1615	0.4079	0.0304	0.0943	0.0189	0.287
S10431	0.1833	0.4426	0.1484	0.0469	0.0086	0.1702
S10438	0.197	0.4124	0.1469	0.0569	0.0097	0.1771
S10439	0.2281	0.3268	0.1847	0.053	0.0051	0.2022
S10441	0.2064	0.3212	0.1279	0.0588	0.0032	0.2824
S10442	0.1942	0.3793	0.1644	0.0532	0.011	0.198
S1046	0.2322	0.3824	0.0799	0.0652	0.0075	0.2328
S10478	0.2538	0.3159	0	0.0694	0.0084	0.3526
S10480	0.2118	0.3277	0.2922	0.051	0.0055	0.1118
S10484	0.2071	0.3759	0.1085	0.0553	0.0089	0.2442
S10492	0.1961	0.3898	0.2341	0.047	0.0081	0.1248
S10496	0.2852	0.2844	0.2397	0.0418	9e-04	0.1481
S10510	0.2303	0.3478	0.2103	0.0472	0.0103	0.1541
S10513	0.1579	0.389	0.167	0.0551	0.0081	0.2229
S10516	0.2033	0.3585	0.1514	0.0568	0.0074	0.2226
S10534	0.2245	0.4085	0.1084	0.0551	0.0056	0.1978
S10535	0.193	0.3841	0.2552	0.0414	0.0066	0.1198
S10537	0.2426	0.3495	0.1301	0.0512	0.0031	0.2235
S1054	0.1468	0.3617	0.278	0.053	0.0081	0.1524
S10543	0.2173	0.2974	0.2631	0.0504	0.0058	0.166
S10546	0.2063	0.2754	0.2421	0.0638	0.0178	0.1945
S1055	0.2095	0.3283	0.111	0.0709	0.0165	0.2637
S10551	0.1983	0.4451	0.0925	0.0551	0.0063	0.2026
S10552	0.1703	0.3032	0.1567	0.0835	0.0127	0.2736
S10555	0.1458	0.2821	0.4168	0.035	0.0021	0.1182
S10559	0.2206	0.3746	0.0971	0.063	0.005	0.2396
