B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
A	0.214	0.2589	0.0632	0.1608	0.0345	0.1555	0.1132
B	0.2128	0.2565	0.0617	0.1628	0.0328	0.1452	0.1282
C	0.1157	0.0305	0.0429	0.12	0.0011	0.482	0.2079
D	0.119	0.0219	0.0464	0.1178	0	0.4576	0.2372
E	0.1114	0.0776	0.0366	0.2176	0.0089	0.2586	0.2893
F	0.1003	0.12	0.0564	0.5633	0.0306	0.0438	0.0857
G	0.1721	0.3365	0.085	0.0762	0.1832	0.0628	0.0843
H	0.1193	0.5502	0.1062	0.0518	0.0452	0.0303	0.0969
I	0.1222	0.5599	0.1096	0.047	0.0467	0.0278	0.0868
J	0.1178	0	0.0334	0.0899	0	0.5622	0.1968
K	0.1143	0	0.0215	0.1805	0	0.3101	0.3736
L	0.0947	0.0221	0.0368	0.0857	0.0186	0.4594	0.2827
