Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
A	0.0441465491068856	0.00478575193265117	0.196417286542055	0.121819525494218	0.0727821250201266	0.0078793573350607	1.99545831737671e-09	0.552169402573545
B	0.0448402942220005	0.00559435534426165	0.197447450900784	0.12144079974607	0.0719812154628565	0.00779209390592015	1.10588473747996e-09	0.550903789312222
C	0.0360490431221542	0.00537828310182951	0.217994698041773	0.117224880445141	0.0701890277021211	0.00620390096400879	1.71538175514043e-09	0.546960164907591
D	0.0363895940884597	0.00527156248918656	0.218509764866465	0.115157248135366	0.0704094099085666	0.00638197168984802	1.22000845214098e-10	0.547880448700108
E	0.0369584332393883	0.00520389871349704	0.202518006688593	0.132571143864137	0.0673165908887947	0.00689623468441858	2.58503856243612e-10	0.548535691662667
F	0.0394996530318447	0.00522335297571879	0.175098854978233	0.108512702862838	0.0734506172536572	0.00726091037148796	0.00114195324730591	0.589811955278914
G	0.0452490744264633	0.00558793249063442	0.185798787835699	0.10835650163044	0.0751675738449469	0.00834853678737817	6.16105017302677e-09	0.571491586823388
H	0.0421782868364086	0.0057973737141368	0.174682416841753	0.102343579876486	0.0809866783455765	0.00868656066601418	5.05113352689181e-10	0.585325103214511
I	0.0416429076696793	0.00540927402161892	0.177359878849254	0.102027570335978	0.0820955383457698	0.00880445824888573	8.89225152470988e-10	0.582660371639588
J	0.0363697252145453	0.00524079970296234	0.228997569048625	0.093440650104151	0.0734173401569598	0.00508800460913364	1.38796864018669e-10	0.557445911024827
K	0.0346174418970452	0.00512998838493451	0.206294816857993	0.128223597467382	0.0667913860484618	0.00448329129519636	2.83678696579097e-10	0.554459477765309
L	0.0329898735129797	0.0054032900811528	0.230049721082699	0.0963236014312074	0.0720186179916894	0.00573041055097102	7.21339482355451e-10	0.557484484627961
