Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE
mix_1	0.00969659700870863	0.461900428630888	0	0	0.528402974360403	0	9999	0.682463100209278	0.744216770373736
mix_2	0.00487596814973409	0.51525022376182	0	0	0.479873808088446	0	9999	0.678911384026139	0.746820301484327
mix_3	0.0810562434161191	0.119925191863668	0	0	0.799018564720213	0	9999	0.697429999003574	0.749855829052565
mix_4	0.0775716252682232	0.228135297909907	0	0	0.69429307682187	0	9999	0.68577337063869	0.751709141619669
mix_5	0.0752992003739294	0.213093089416255	0	0	0.711607710209815	0	9999	0.686097791568006	0.752909332355805
mix_6	0.0370648622635347	0.326574264485792	0	0	0.634021000038142	0.00233987321253123	9999	0.685298550489588	0.746417018343414
mix_7	0.139456435577722	0.170036455277871	0	0	0.690507109144407	0	9999	0.694691538325335	0.743724289386301
mix_8	0.105501973151218	0.32182779999895	0	0	0.572670226849832	0	9999	0.682955835741607	0.746513052764514
mix_9	0.0135323126270261	0.33125004987168	0	0	0.655217637501294	0	9999	0.683548634919466	0.749238098788048
mix_10	0.156179576369622	0.183410711187108	0	0	0.66040971244327	0	9999	0.692577291851631	0.744016858458311
mix_11	0.0110801442541682	0.479565440670034	0	0	0.509354415075798	0	9999	0.679807498442974	0.746547177148358
mix_12	0.00410842195150559	0.40327440260019	0	0	0.581037554723995	0.0115796207243089	9999	0.684878010243697	0.743859041190781
mix_13	0.206990615768052	0.173982148148408	0	5.09772433794721e-05	0.61897625884016	0	9999	0.693773436164273	0.741113227586587
mix_14	0.186126759897246	0.17481640049239	0	0	0.639056839610365	0	9999	0.692960237203302	0.74295804474958
mix_15	0.175287509458453	0.109648334854454	0.030229255234955	0.00195505043867975	0.682879850013459	0	9999	0.696037355251795	0.742879009525529
mix_16	0.0756041383338488	0.185224317441128	0	0	0.739171544225023	0	9999	0.694346927672111	0.746036956706439
mix_17	0.286780276653178	0.0292972063085601	0	0	0.683922517038262	0	9999	0.702796067006064	0.74328003648731
mix_18	0.0111731865715012	0.536121399838385	0	0	0.447814404978625	0.0048910086114886	9999	0.675680259951918	0.749648490359435
mix_19	0.0787240452467131	0.29475225447937	0	0	0.626523700273917	0	9999	0.684208049590277	0.747991245678612
