B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
Mix_1	0.2106	0.1896	0.4435	0.0193	0.0013	0.1357
Mix_2	0.3455	0.2565	0.3279	0.0133	0	0.0567
Mix_3	0.1335	0.2025	0.5966	0.0036	0.0062	0.0576
Mix_4	0.1793	0.2598	0.5115	0.0112	4e-04	0.0378
Mix_5	0.4315	0.1116	0.4199	0.0092	0	0.0277
Mix_6	0.3278	0.0828	0.4191	0.0206	0	0.1496
Mix_7	0.2252	0.3256	0.4257	0.0082	0	0.0153
Mix_8	0.3611	0.3854	0.1611	0.0177	0	0.0745
Mix_9	0.3005	0.2197	0.4157	0.0109	0	0.0531
Mix_10	0.3865	0.124	0.3925	0.0118	0	0.0852
Mix_11	0.2682	0.344	0.3444	0.0124	0	0.031
Mix_12	0.1188	0.2264	0.5299	0.012	0.0033	0.1096
Mix_13	0.3982	0.2052	0.3514	0.0091	0	0.0362
Mix_14	0.1156	0.2844	0.5794	0.008	5e-04	0.0121
Mix_15	0.1936	0.4088	0.3482	0.0152	0	0.0343
Mix_16	0.3134	0.3292	0.2918	0.0128	0	0.0528
Mix_17	0.2163	0.3627	0.3791	0.0116	0	0.0302
Mix_18	0.2107	0.5189	0.2166	0.0182	0	0.0357
Mix_19	0.1774	0.1587	0.5294	0.0101	0.0048	0.1195
Mix_20	0.3563	0.2374	0.3119	0.0146	0	0.0799
Mix_21	0.3549	0.2368	0.2818	0.0184	0	0.1081
Mix_22	0.1894	0.1745	0.4797	0.0154	0.0035	0.1376
Mix_23	0.429	0.2735	0.2376	0.0142	0	0.0458
Mix_24	0.0576	0.5648	0.2992	0.0164	0	0.0619
Mix_25	0.372	0.2564	0.3493	0.0091	0	0.0133
Mix_26	0.2861	0.3637	0.3179	0.0126	0	0.0197
Mix_27	0.3977	0.2738	0.2332	0.0113	0	0.084
Mix_28	0.2901	0.2372	0.3562	0.0162	0	0.1003
Mix_29	0.3345	0.3577	0.2808	0.009	0	0.018
Mix_30	0.2168	0.1923	0.5649	0.0056	0.0018	0.0187
Mix_31	0.3239	0.3033	0.3108	0.0123	0	0.0496
Mix_32	0.2171	0.4909	0.2136	0.0186	0	0.0598
