ID,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
S10001,8.132184,7.890546,8.394168,8.195904,9.876344,7.916736,8.399946,8.09532
S10006,8.077466,7.977722,8.300158,8.162474,9.870836,8.030678,8.876842,8.051452
S1001,8.137996,7.968178,8.46779,8.284774,9.906748,8.199448,8.931646,8.192714
S10010,8.21436,7.979412,8.525818,8.415612,10.163978,8.133156,8.64687,8.090178
S10011,8.060216,8.121354,8.463102,8.370496,9.78492,8.209928,8.917846,8.099042
S10014,8.078588,7.848672,8.236764,8.171948,9.859046,7.978426,8.53553,8.120712
S10026,8.270632,7.931032,8.398018,8.21918,9.893658,8.238246,8.911168,8.08122
S10032,8.39219,8.048596,8.669386,8.330368,9.930844,8.228534,8.856032,8.141762
S10036,7.802218,7.737568,8.01291,7.910504,9.866652,7.89632,8.632808,7.791942
S10042,8.262412,8.108576,8.581808,8.441434,10.107932,8.384144,8.908818,8.220632
S10044,8.453226,8.127924,8.487716,8.373366,10.171832,8.35255,8.998726,8.29211
S10049,8.418362,7.964608,8.467014,8.240512,9.952618,8.212792,8.812066,8.171296
S10057,7.640508,7.642468,8.022458,7.8988,9.50595,7.669704,8.62828,7.88395
S10062,8.351814,7.986556,8.624454,8.260742,10.014572,8.210212,8.786028,8.19587
S10066,8.182354,7.89808,8.661314,8.290916,10.171862,8.09113,8.587544,8.082252
S10067,8.307866,7.906848,8.273854,8.24902,9.851638,8.188222,8.825086,8.166216
S1007,8.012612,7.949218,8.303602,8.072216,9.862508,7.948476,8.81131,8.01354
S10073,8.357556,8.19136,8.517602,8.47633,10.028666,8.36067,8.964578,8.365936
S10077,8.128408,7.992322,8.535024,8.269686,9.833004,8.019722,8.481658,8.026528
S10080,8.220726,8.231334,8.656012,8.53152,10.08236,8.307174,8.958312,8.272716
S10082,8.306082,8.018836,8.416182,8.144702,9.863468,8.254484,8.927398,8.097338
S10087,8.53368,7.948072,8.584872,8.275188,9.928736,8.18006,8.653526,8.193128
S10089,8.062618,7.726396,8.306016,8.077124,9.92651,7.7682,8.492352,7.83389
S1009,8.312928,8.177854,8.515586,8.47951,9.757738,8.35299,8.955988,8.242046
S10090,7.908124,7.609368,8.168078,7.998996,9.73005,7.584016,8.273902,7.887856
S10093,7.668114,8.01131,8.24398,8.218358,9.828794,8.093926,9.01504,7.933944
S10094,8.362282,8.0662,8.537298,8.38538,10.043838,8.247686,8.816058,8.238308
S1010,8.27263,8.072356,8.641598,8.355144,10.016256,8.13731,8.778668,8.241208
S10111,8.428362,8.118212,8.452934,8.480698,9.875776,8.37124,8.964362,8.285838
S10116,8.019732,8.173456,8.403692,8.541322,9.566496,8.262436,8.90432,8.234976
S10119,8.148576,8.049456,8.23021,8.158292,9.852712,8.201464,8.985206,8.056222
S10121,8.24541,7.81341,8.30332,8.180758,9.875754,7.962398,8.656506,8.019944
S10130,8.070792,7.92846,8.441044,8.221776,9.963264,7.89343,8.608672,7.962422
S10140,8.424004,8.052508,8.569148,8.403168,10.084768,8.21688,8.635972,8.111318
S10142,8.368358,7.88577,8.307922,8.24175,9.696654,8.060004,8.616446,8.16722
S10150,7.978874,7.90163,8.562068,8.438936,10.232672,8.016922,8.417232,8.11132
S10155,8.27769,8.00641,8.465152,8.340628,10.030318,8.22348,8.929906,8.140342
S1016,8.007912,7.681472,8.20947,7.926172,9.823568,7.801796,8.444934,7.999036
S10163,8.158228,8.173814,8.689736,8.522724,10.040148,8.228334,8.636406,8.286138
S10167,8.04865,8.18438,8.302438,8.339818,9.890412,8.246,8.982574,8.310328
S10168,8.26545,7.87279,8.266002,8.313596,9.756532,8.081896,8.836092,8.158182
S10173,8.282154,8.140608,8.387862,8.295914,9.800888,8.329646,9.067446,8.188348
S10175,8.238914,7.95921,8.37969,8.29308,9.940584,8.094,8.7459,8.109756
S10179,8.481104,8.258882,8.700636,8.698758,9.952192,8.601626,9.013866,8.555204
S10186,8.291968,7.836862,8.289524,8.149648,9.52453,8.210412,8.852014,8.048328
S1019,8.157644,7.884206,8.28961,8.154784,9.686374,7.985128,8.7204,8.035208
S10190,8.424244,8.196764,8.542654,8.379286,10.055056,8.538512,9.199608,8.34465
S10195,8.131118,7.972342,8.397202,8.211948,9.949818,8.052306,8.660212,8.10832
S10196,8.34689,8.169644,8.532764,8.527832,10.173842,8.391834,8.971468,8.308286
S10200,8.201888,7.850294,8.416972,8.293868,9.96778,8.096744,8.662224,8.102142
S10201,8.008788,7.651898,8.336104,8.090722,10.099446,7.642868,8.046118,7.729396
S10202,8.201198,7.964718,8.490492,8.409638,9.94069,8.039016,8.596926,8.216992
S10205,8.50656,8.067296,8.5875,8.553748,10.102452,8.369372,8.853556,8.25308
S10211,7.671932,7.880526,8.221964,7.965216,9.60779,8.026978,8.745988,7.874832
S10221,8.284168,8.2717,8.579594,8.447476,10.134112,8.44655,9.10837,8.29999
S10222,8.057462,7.75622,8.219456,7.972016,9.947626,7.854898,8.384052,7.86773
S10226,8.42865,7.868212,8.542046,8.307036,10.055956,8.08901,8.625188,8.035684
S10227,8.167788,7.979502,8.400414,8.281292,10.016412,8.123422,8.75557,8.103692
S10228,8.205358,7.937818,8.338498,8.336302,10.005108,8.132596,8.718146,8.153794
S10232,7.96522,7.98433,8.130552,8.220594,9.533832,8.134606,9.001044,8.157444
S10248,8.189554,7.810078,8.177162,8.10789,9.950086,8.181086,8.998892,8.10463
S10249,8.22772,8.052104,8.84615,8.49933,10.086238,8.19147,8.602066,8.188234
S1025,8.452088,8.005508,8.511712,8.357742,9.88521,8.199132,8.760928,8.22211
S10266,8.112618,7.94142,8.560306,8.333902,10.089852,8.024702,8.602918,8.085858
S10269,8.240962,7.79716,8.291548,8.103684,9.911446,7.855438,8.464126,7.97664
S10272,7.93994,7.651148,8.114372,7.871698,9.918334,7.878928,8.497994,7.886212
S10273,8.380026,7.901776,8.388502,8.305652,9.93615,8.049328,8.568166,8.069218
S10274,8.179852,8.10109,8.46665,8.221152,10.01191,8.167392,8.934878,8.137564
S1028,8.342374,8.012678,8.342236,8.275614,10.12542,8.279516,9.063602,8.203322
S10280,8.593346,8.067626,8.853212,8.520154,9.969546,8.402808,8.355784,8.386884
S10283,8.454194,8.080156,8.481322,8.452716,9.73232,8.347488,8.982904,8.331752
S1029,8.31735,7.97599,8.354374,8.362774,9.8868,8.129882,8.59508,8.085298
S10292,8.093296,7.854942,8.094212,8.051542,9.646984,7.98586,8.78564,7.949342
S10294,8.279548,8.019538,8.156066,8.27247,9.693384,8.279166,8.99526,8.17107
S10302,8.16642,7.95697,8.332756,8.208566,9.96019,8.203946,8.981052,8.143082
S10303,8.136898,7.919126,8.413036,8.358686,9.787068,8.02499,8.660272,8.11003
S10323,8.202404,7.900598,8.419776,8.222286,9.95529,8.079268,8.544482,8.066722
S10326,8.302468,7.855392,8.45309,8.26387,9.993272,8.064868,8.580736,8.075812
S10328,8.292226,7.973704,8.446554,8.531304,9.917132,8.19274,8.694006,8.239004
S10329,8.41194,7.954622,8.477592,8.304332,9.883862,8.1537,8.716804,8.129074
S10336,8.10913,7.838,8.375938,8.32249,9.85322,8.00025,8.668418,8.081416
S10340,8.335194,7.892746,8.303126,8.155286,9.972134,7.995114,8.739986,8.003414
S10347,7.667978,7.751354,8.113966,8.036726,9.48079,7.584322,8.445392,7.75294
S10353,8.298548,7.909532,8.476432,8.229876,9.987496,8.043548,8.784106,8.077892
S10356,8.152368,7.881464,8.4019,8.214318,9.823204,7.957976,8.657732,7.986916
S10358,8.344412,7.89677,8.541548,8.330746,10.102848,8.124976,8.549578,8.18373
S10365,8.147086,7.790144,8.398238,8.119092,10.017648,7.908028,8.572538,7.940012
S1037,8.317624,7.961908,8.310946,8.334946,9.705662,8.19105,8.915336,8.24722
S10373,8.31032,8.14029,8.417304,8.238734,9.928046,8.2548,8.966588,8.231138
S10374,7.79741,7.71269,7.986906,7.83478,9.67487,7.86215,8.766744,7.7973
S10375,8.17676,8.3486,8.63002,8.55117,10.185658,8.40714,9.020654,8.365484
S10377,7.6669,8.123806,8.19358,8.115302,9.641274,8.02142,9.045774,7.989754
S10378,8.47093,8.231308,8.512276,8.528718,10.109728,8.439236,9.103394,8.31354
S10390,7.575158,7.65913,7.960184,7.815988,9.477328,7.676768,8.426856,7.69754
S10391,7.965444,7.914366,8.267968,8.064906,9.678618,7.849732,8.772154,7.982682
S10393,8.020886,7.955118,8.303468,8.249288,10.023296,8.287618,9.202898,8.107812
S10400,8.096172,7.985792,8.547378,8.192564,9.866306,8.096698,8.71209,8.03858
S10401,8.077814,8.04261,8.483772,8.299928,9.79902,8.073188,8.62768,8.080836
S10406,8.015258,7.717388,8.33895,7.98573,10.027186,7.788702,8.6792,7.911082
S10408,8.202032,8.14258,8.73695,8.543752,10.057718,8.202538,8.689332,8.17781
S10409,8.303204,8.281582,8.554058,8.484542,9.92023,8.522582,9.377936,8.315918
S10418,7.557628,7.436128,8.004984,7.756516,9.783374,7.2757,7.98889,7.545178
S10431,8.011042,7.820636,8.352474,8.154784,9.861034,7.973978,8.823436,8.0062
S10438,8.139128,7.991442,8.307716,8.164524,9.838188,8.098736,8.78631,8.123158
S10439,8.339656,8.113092,8.6841,8.450308,10.113172,8.414046,9.01717,8.355102
S10441,8.360804,7.905294,8.788548,8.319992,10.149186,8.066442,8.221382,8.198054
S10442,8.260186,8.099474,8.515102,8.41106,10.015712,8.232582,8.82782,8.156248
S1046,8.226386,7.990606,8.54529,8.25803,10.136362,8.078972,8.70445,8.125618
S10478,8.226692,7.847068,8.663528,8.140224,10.182712,7.904976,8.457508,7.89736
S10480,8.067324,7.706334,8.025648,8.065732,9.412808,7.869224,8.639452,7.880038
S10484,8.10887,8.05855,8.549744,8.342186,9.963432,8.075878,8.706704,8.102602
S10492,8.349538,8.47641,8.672054,8.71824,10.02546,8.712978,9.338802,8.533066
