Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.0639783376903495	0.342029669749263	0.433674967443358	0.00397617459702439	0.644274027015025	0	9999	0.663220172843798	0.754607322652605	1.48793317649502
B	0.0699339989191377	0.340802099952347	0.432761551571644	0.00590252428258986	0.656253090894328	0	9999	0.689778219929482	0.727514255296936	1.50565326562005
C	0.0139121883763139	0.0820061974647963	0.590871422377007	0	0.771826267970028	0	9999	0.681923817486087	0.739014625101381	1.45861607618815
D	0.0247543954360329	0.0681463996201163	0.588786113709818	0	0.774236179573682	0	9999	0.672718793493205	0.749165163508868	1.45592308833965
E	0.0210884720861579	0.132026587459474	0.641779205702843	0	0.684084386688529	0	9999	0.662331357444932	0.755834493546816	1.478978651937
F	0.0238231088865254	0.130646854974035	0.903572698732407	0.00303972083066976	0.434474465835973	0	9999	0.632356534846536	0.778148030157687	1.49555684925961
G	0.0442861555288002	0.609142429928769	0.273141574094027	0.123436312369003	0.439430476208615	0	9999	0.674650246267468	0.743103854372201	1.48943694812921
H	0.0450452102051272	0.826682215025546	0.26805880119552	0	0.334713477205534	0	9999	0.694080367005669	0.722243843754892	1.47449970363173
I	0.0775167372096247	0.938861017344339	0.149757297257184	0	0.3030930249214	0	9999	0.706012159318045	0.711554450971044	1.46922807673255
J	0.0269817909153989	0.0505931460550608	0.596572346606406	0	0.75146297669489	0	9999	0.67024054531355	0.751626434275161	1.42561026027176
K	0.036893819792743	0.0492926918774283	0.757328852192562	0	0.605862504082808	0	9999	0.644831183053423	0.771574283117203	1.44937786794554
L	0.0179529070232814	0.107944737212515	0.576900863647627	0	0.7599517966107	0	9999	0.674673239444973	0.746121773136445	1.46275030449412
