Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	otherCells
mix_1	1.70132842022967e-08	0.79802949471787	9.85823018221826e-09	5.12306898543901e-05	2.28462811335944e-05	0.0551994386988767	0.146696962740751
mix_2	8.21405116210433e-09	0.772744465495867	2.03575884625755e-07	2.26279180437365e-09	1.11458739849864e-06	0.0633339852369116	0.163920220627095
mix_3	0.0160687176723692	0.850185123337498	6.6125162722649e-05	3.12048565377481e-09	2.68310204984181e-10	2.38948481656512e-08	0.133680006543766
mix_4	2.26770749532531e-06	0.845348039347407	4.66854247275699e-09	0.000777853450503785	6.938922063652e-07	0.0186810930200669	0.135190047913778
mix_5	0.00721507756959895	0.852958715402114	3.39873188746068e-08	1.55011773506813e-07	7.45510804134309e-08	0.011481135839965	0.12834480763815
mix_6	1.24086242124025e-05	0.832399941400631	1.19182261828838e-08	2.08094670337566e-08	1.52930843327351e-08	0.0290476368096241	0.138539965144754
mix_7	0.0420013555986371	0.81280801816686	1.04165651247935e-07	3.66843041827735e-05	2.23712565793189e-09	0.006676819260617	0.138477016266926
mix_8	1.25959765970099e-05	0.798783114767676	4.23057461858769e-09	2.24704085473492e-08	1.43924890095766e-07	0.0508210902231698	0.150383028406684
mix_9	9.50480169733626e-05	0.833889818400622	1.69705812240003e-08	6.66047764163986e-06	1.73356737672241e-08	0.0335687719408157	0.132439666857692
mix_10	0.0530331818349414	0.796471260477159	8.31860305138599e-09	1.86637128663666e-08	2.93542157119364e-08	0.0105934372184698	0.139902064132899
mix_11	7.1192240575273e-07	0.775385612708712	3.04491121851244e-08	2.73888321418083e-08	1.73537912195366e-08	0.0616811172985551	0.162932482878591
mix_12	0.000189410720791741	0.812003898939983	6.97168836923897e-10	9.04471250994518e-05	2.55908098344579e-08	0.0437854063230618	0.143930810603085
mix_13	0.0782001621036478	0.775632905283398	1.26085466668895e-08	6.92810627598295e-06	4.49738699046308e-08	0.00901215062417764	0.137147796300084
mix_14	0.0727599983610305	0.77665879006661	1.47796127276143e-08	7.90137330952676e-09	0.000117263276597187	0.009213879105087	0.141250046509689
mix_15	0.0417105209007286	0.831860843089988	2.6668273088014e-05	7.36703090197259e-09	1.05360158485137e-08	0.000539245554724443	0.125862704278424
mix_16	0.0297970426912354	0.823709025318001	5.62651663137023e-08	3.4624997775659e-08	3.09235955181234e-08	0.00319213731059031	0.143301672866414
