naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
mix_1	0.0116	0	0.4698	0.0031	0.0864	0	0	0.0876	0.3134	0	0	0.0282	0	0	0	0	0	0	0	0
mix_2	0.002	0	0.5708	0.0031	0.0715	0	0	0.0966	0.228	0	0	0.0279	0	0	0	0	0	0	0	0
mix_3	0.1087	0	0.0686	0	0	0	0	0.3832	0.437	0	0	0.0024	0	0	0	0	0	0	0	0
mix_4	0.1579	0	0.245	0	0.0094	0	0	0.2005	0.374	0	0	0.0131	0	0	0	0	0	0	0	0
mix_5	0.111	0	0.2159	0	0.0376	0	0	0.1085	0.5125	0	0	0.0145	0	0	0	0	0	0	0	0
mix_6	0.0923	0	0.3463	0	0.0247	0	0	0.1066	0.4079	0	0	0.0223	0	0	0	0	0	0	0	0
mix_7	0.2013	0	0.1406	0.0024	0.0206	0	0	0.2354	0.3815	0	0	0.0182	0	0	0	0	0	0	0	0
mix_8	0.1779	0	0.4082	0.005	0.0047	0	0	0.2292	0.1625	0	0	0.0125	0	0	0	0	0	0	0	0
mix_9	0.0228	0	0.363	0	0.0628	0	0	0.1482	0.3885	0	0	0.0147	0	0	0	0	0	0	0	0
mix_10	0.2386	0	0.2115	0	0	0	0	0.1756	0.3566	0	0	0.0177	0	0	0	0	0	0	0	0
mix_11	0.0265	0	0.5418	0	0.0477	0	0	0.1568	0.2026	0	0	0.0246	0	0	0	0	0	0	0	0
mix_12	0	0	0.4553	0	0.0323	0	0	0.157	0.3346	0	0	0.0207	0	0	0	0	0	0	0	0
mix_13	0.2691	0	0.1483	0.0132	0.0375	0	0	0.14	0.3765	0	0	0.0154	0	0	0	0	0	0	0	0
mix_14	0.265	0	0.2062	0	0	0	0	0.1182	0.3843	0	0	0.0262	0	0	0	0	0	0	0	0
mix_15	0.223	0	0.0636	0.0096	0.0404	0.1105	0	0.0246	0.522	0	0	0.0063	0	0	0	0	0	0	0	0
mix_16	0.1238	0	0.1908	0	0	0	0	0.2995	0.3799	0	0	0.006	0	0	0	0	0	0	0	0
mix_17	0.3536	0	0	0	0	0	0	0.2191	0.4266	0	0	7e-04	0	0	0	0	0	0	0	0
mix_18	0.0299	0	0.6035	0.0035	0.0646	0	0	0.0986	0.1705	0	0	0.022	0	0	0.0074	0	0	0	0	0
mix_19	0.1558	0	0.3476	0	0.0249	0	0	0.113	0.3376	0	0	0.021	0	0	0	0	0	0	0	0
mix_20	0.067	0	0	0	0	0	0	0.189	0.744	0	0	0	0	0	0	0	0	0	0	0
mix_21	0.1733	0	0.1716	0	0	0	0	0.182	0.4514	0	0	0.0217	0	0	0	0	0	0	0	0
mix_22	0.1825	0	0.3046	0.0032	0.0632	0	0	0.0471	0.3764	0	0	0.0231	0	0	0	0	0	0	0	0
mix_23	0.1978	0	0.3255	0	0	0	0	0.2202	0.244	0	0	0.0124	0	0	0	0	0	0	0	0
mix_24	0	0	0.6249	0.0099	0.1068	0	0.0026	0.0603	0.1668	0	0	0.0278	0	0	9e-04	0	0	0	0	0
mix_25	0.0147	0	0.3417	0	0	0	0	0.2936	0.3425	0	0	0.0074	0	0	0	0	0	0	0	0
