ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
S10001,6.696984,8.172674,6.870104,8.491088,7.42055,7.02211
S10006,6.9465,8.190458,7.145532,8.636142,7.392266,7.3401
S1001,6.843598,8.272588,7.32858,8.56801,7.58209,7.682518
S10010,6.516858,8.617584,7.143474,9.028266,7.435964,7.373282
S10011,6.714252,8.348792,7.043122,8.440734,7.623754,7.35582
S10014,6.794698,8.202832,7.228272,8.55895,7.375944,7.389562
S10026,6.970338,8.439828,7.177414,8.83202,7.703688,7.651482
S10032,7.091018,8.646044,7.205446,8.628224,7.50071,7.44858
S10036,6.737948,8.136968,7.03973,8.624964,7.376162,7.377116
S10042,7.075234,8.615058,7.39007,8.873156,7.723964,7.74397
S10044,7.175696,8.5812,7.31027,9.048188,7.867206,7.795344
S10049,7.20218,8.443662,7.229262,8.712358,7.791534,7.737426
S10057,6.546998,7.6486,7.197406,7.892664,7.308788,7.367216
S10062,6.907584,8.522574,7.125496,8.731982,7.669612,7.475492
S10066,6.648152,8.661916,6.954342,8.942594,7.517972,7.218086
S10067,6.993398,8.250854,7.420582,8.414544,7.881824,7.869526
S1007,6.829012,8.116932,7.08584,8.44786,7.352488,7.248256
S10073,6.921964,8.376054,7.44574,8.69402,8.00614,7.939024
S10077,6.776022,8.257172,7.09141,8.33873,7.41372,7.208118
S10080,6.9658,8.589798,7.390448,8.690668,7.601058,7.583168
S10082,7.064686,8.388374,7.0976,8.610812,7.868396,7.629334
S10087,7.264674,8.491748,7.184748,8.569248,7.757028,7.634332
S10089,6.689912,8.155092,6.999034,8.554072,7.34466,7.134082
S1009,7.269326,8.0798,7.307888,8.19059,7.957506,7.742462
S10090,6.57171,8.016962,7.014212,8.414698,7.339866,7.19774
S10093,6.5619,8.258896,7.166378,8.52444,7.307232,7.261972
S10094,6.84116,8.51823,7.292318,8.713508,7.570072,7.49487
S1010,6.96725,8.43406,7.236646,8.47414,7.755036,7.618454
S10111,7.051746,8.413094,7.454244,8.623136,7.98341,7.89104
S10116,6.616728,7.77919,7.491746,7.73683,7.840328,7.738018
S10119,6.988498,8.160092,7.125264,8.45335,7.770646,7.571066
S10121,6.80319,8.25717,7.23891,8.53187,7.599598,7.625654
S10130,6.522112,8.257342,7.106892,8.520254,7.207496,7.167096
S10140,7.208328,8.696068,7.1232,9.041742,7.393866,7.360762
S10142,7.139082,8.11356,7.55726,8.185082,7.59065,7.782952
S10150,6.576104,8.59229,7.183336,8.924718,7.022102,7.066496
S10155,7.139018,8.439958,7.298176,8.688778,7.850652,7.713042
S1016,6.665022,8.165954,7.153858,8.472712,7.368202,7.374966
S10163,6.816418,8.401556,7.329942,8.594424,7.618474,7.439516
S10167,6.855424,8.180426,7.448238,8.552962,7.468396,7.681794
S10168,6.98643,8.08745,7.578508,8.297202,7.821938,7.875492
S10173,7.204172,8.091954,7.23369,8.387744,7.968566,7.790162
S10175,6.922204,8.239028,7.145602,8.608408,7.48805,7.439066
S10179,7.073354,8.390604,7.719674,8.547446,8.056624,8.185186
S10186,7.201724,7.949734,7.368284,7.767152,7.842106,7.754112
S1019,6.859818,8.118452,7.211314,8.229086,7.619004,7.480956
S10190,7.392722,8.567386,7.192374,8.81688,8.115366,7.954488
S10195,6.792978,8.484262,7.096212,8.756232,7.358774,7.242774
S10196,6.895314,8.535436,7.303262,8.876786,7.787038,7.659666
S10200,6.623658,8.442626,7.388716,8.688984,7.33805,7.474354
S10201,6.55289,8.37198,6.903818,8.858188,6.753104,6.773132
S10202,6.741444,8.343608,7.55887,8.485752,7.564372,7.706136
S10205,7.309598,8.538628,7.416802,8.876532,7.83863,7.734848
S10211,6.769516,8.065918,7.224078,8.47398,7.35496,7.454294
S10221,7.081968,8.543758,7.259754,8.823364,7.781884,7.70336
S10222,6.796018,8.22467,6.949364,8.554534,7.19093,7.04877
S10226,7.093986,8.485296,7.116912,8.791576,7.56333,7.47708
S10227,6.74741,8.45492,7.090268,8.808628,7.412186,7.221158
S10228,6.747306,8.337414,7.24673,8.628706,7.659996,7.553608
S10232,6.918268,7.68915,7.27745,7.91181,7.737202,7.700926
S10248,7.103552,8.3145,7.156888,8.853154,7.785554,7.69669
S10249,6.720314,8.805004,6.955346,8.923486,7.177604,7.039458
S1025,7.14612,8.33105,7.507732,8.469886,7.828926,7.873784
S10266,6.674676,8.426718,7.065778,8.704212,7.410016,7.200898
S10269,6.954894,8.319342,7.158198,8.601576,7.367394,7.361542
S10272,6.619102,8.140988,7.004896,8.704048,7.187,7.211044
S10273,7.113534,8.419776,7.320008,8.651496,7.473188,7.425196
S10274,6.811976,8.43755,7.148994,8.670442,7.470874,7.396412
S1028,7.10043,8.57312,7.074222,8.928602,7.7292,7.672686
S10280,7.231086,8.621242,7.440828,8.71193,8.017324,7.958122
S10283,7.131824,8.378812,7.547376,8.292952,8.044468,8.062142
S1029,7.002814,8.277686,7.280624,8.45892,7.637682,7.559926
S10292,6.892324,7.871072,7.112086,8.138524,7.724658,7.519236
S10294,7.218824,8.27248,7.406726,8.471196,7.784914,7.876054
S10302,6.884904,8.294228,7.262736,8.60328,7.728494,7.751388
S10303,6.844126,8.222008,7.321172,8.399068,7.56213,7.565148
S10323,6.878894,8.277676,7.174348,8.55538,7.496104,7.413204
S10326,6.995762,8.464128,7.371768,8.761986,7.452018,7.582678
S10328,6.773614,8.16448,7.688356,8.463406,7.85892,7.956542
S10329,7.190164,8.351526,7.400628,8.510018,7.747498,7.770504
S10336,6.78017,8.187476,7.438654,8.385932,7.388006,7.540984
S10340,7.141936,8.326156,7.152584,8.71588,7.67728,7.54041
S10347,6.458698,7.86447,7.054908,8.02144,7.21885,7.096246
S10353,7.147484,8.352032,7.175242,8.607874,7.587574,7.465134
S10356,6.88018,8.0884,7.100606,8.26151,7.538916,7.327264
S10358,6.728278,8.494332,7.186212,8.732394,7.520898,7.441348
S10365,6.729342,8.389702,7.06229,8.705874,7.31276,7.241316
S1037,7.061248,7.927942,7.498068,8.08495,8.0834,8.003242
S10373,7.099954,8.279344,7.31342,8.485912,7.755014,7.654482
S10374,6.78745,7.926028,6.772632,8.332166,7.17411,7.081446
S10375,6.914218,8.619038,7.460104,8.841228,7.698376,7.643348
S10377,6.770616,7.844944,7.009076,8.124768,7.420818,7.20002
S10378,7.277194,8.569126,7.490088,8.789362,7.95847,7.946266
S10390,6.473688,7.636672,6.765332,7.995798,7.151628,6.900662
S10391,6.879624,8.028704,7.035412,8.189276,7.115168,7.209648
S10393,7.069744,8.458276,7.46102,8.833838,7.769384,7.967766
S10400,6.753614,8.500596,7.032402,8.525636,7.412634,7.252272
S10401,6.7965,8.199844,7.229772,8.311398,7.395382,7.389048
S10406,6.65462,8.531052,6.916368,8.83478,7.057802,7.039726
S10408,6.958112,8.464558,7.356522,8.705424,7.557302,7.528828
S10409,7.194778,8.49069,7.451264,8.724878,7.959778,7.967022
S10418,6.344518,7.867588,6.632776,8.323748,6.661022,6.556152
S10431,6.744796,8.256088,7.197548,8.610238,7.609682,7.455292
S10438,6.862058,8.320792,7.205556,8.52849,7.566666,7.463192
S10439,7.069482,8.75588,7.298824,8.88967,7.662046,7.660436
S10441,6.824784,8.728524,7.25303,8.841824,7.337534,7.4086
S10442,6.948182,8.53886,7.351026,8.671064,7.620306,7.535518
S1046,6.874036,8.569932,7.06563,8.91304,7.336658,7.215632
S10478,6.823342,8.812136,6.70149,9.092092,6.849454,6.653928
S10480,6.966508,7.599362,7.392166,7.740758,7.5215,7.534998
S10484,6.746486,8.495098,7.23007,8.558402,7.349392,7.299642
S10492,7.196294,8.567224,7.479896,8.686264,8.15219,7.981894
S10496,7.4154,8.311074,7.487656,8.62546,7.797134,7.883582
S10510,6.895324,8.200184,7.017158,8.358462,7.463472,7.45117
S10513,6.522946,8.493102,7.218846,8.55109,7.478308,7.409468
S10516,6.786774,8.226166,7.15405,8.350808,7.325464,7.29508
S10534,6.986412,8.340946,6.992326,8.532932,7.652636,7.44088
S10535,7.033,8.186168,7.132338,8.405092,7.833854,7.777214
S10537,7.095412,8.6551,7.35894,8.70296,7.624722,7.533886
S1054,6.790526,8.128904,7.284206,8.225272,7.509256,7.594262
S10543,7.005542,8.246522,7.491142,8.595806,7.582944,7.736616
S10546,6.820164,8.113906,7.181556,8.471872,7.280946,7.333258
S1055,6.673942,8.527662,7.01229,8.867964,7.117002,7.08522
S10551,6.80902,8.199374,7.155738,8.292988,7.430546,7.2998
S10552,6.566606,8.293776,7.107388,8.580188,6.908014,7.032278
S10555,7.108404,8.458424,7.850194,8.662758,8.076578,8.310478
S10559,6.699098,8.414008,7.084652,8.579286,7.403742,7.308714
S1056,7.241214,8.278554,7.069454,8.526162,7.76296,7.595192
S10563,6.90008,8.539,7.38446,8.907806,7.647116,7.593032
S10574,6.993724,8.36902,7.40147,8.533698,7.907628,7.80993
S10576,6.746672,8.34862,6.972578,8.847788,7.175968,7.171792
S10578,6.640806,8.477106,7.095624,8.777658,7.210852,7.330556
S10579,6.844346,8.371836,7.21535,8.844166,7.495834,7.495532
S10582,6.965148,8.503776,7.339338,8.833122,7.56741,7.525798
S1059,7.0314,8.439074,7.522424,8.679776,7.723574,7.782718
S10599,7.137604,8.815878,7.071868,9.05963,7.50674,7.417304
S10611,6.844652,8.42527,7.077436,8.729878,7.558386,7.431134
S10614,6.691414,8.653332,7.165466,8.923432,7.41193,7.308016
S10624,7.067004,8.17144,6.90819,8.195952,7.324688,7.180506
S10632,6.63167,7.955544,6.972532,8.316888,7.170872,7.144318
S10634,7.042622,8.124322,7.033708,8.49706,7.552756,7.432722
S10638,6.998508,8.590178,7.044018,8.721368,7.570454,7.461032
S10644,7.035354,8.362468,7.44248,8.573416,7.887546,7.848202
S10649,6.872696,8.50524,7.114086,9.112272,7.378408,7.341554
S10652,6.819258,8.21706,7.11954,8.575318,7.024562,7.256376
S10654,7.056206,8.351778,7.51734,8.664372,7.699052,7.841478
S10655,6.834344,8.282146,7.19197,8.603286,7.598696,7.577606
S10656,7.136292,8.498934,7.786104,8.888432,8.09061,8.163542
S10657,6.861196,8.127192,7.114362,8.398416,7.241222,7.227832
S10658,7.230568,8.501252,7.450036,8.978908,7.895568,7.883652
S10660,6.838142,7.771654,7.35766,7.755996,7.674868,7.750574
S10661,7.18107,8.190994,7.28118,8.473318,7.809186,7.688142
S10676,7.20069,8.74616,7.27884,8.93427,7.236398,7.400712
S1068,7.145472,8.288806,7.219894,8.445762,7.793494,7.622186
S10681,6.849332,8.159102,7.103606,8.623212,7.247056,7.305878
S10686,6.6853,8.20867,7.031082,8.45668,7.231298,7.194956
S10688,7.040326,8.44427,7.382612,8.738922,8.043934,7.79288
S10690,6.60958,8.072078,7.36989,8.248458,7.287852,7.4025
S10698,6.951546,8.242862,7.271364,8.385482,7.776678,7.723284
S107,6.964866,8.339002,7.411466,8.651718,7.970608,7.922666
S10703,7.012832,8.25966,7.414076,8.3663,7.847148,7.844604
S10726,7.054206,8.267362,7.113136,8.51954,7.686276,7.466668
S10729,6.650964,8.363974,7.10637,8.504356,7.37559,7.325868
S10733,6.948034,8.546994,7.291726,8.830402,7.7093,7.707808
S10734,7.008354,8.28006,7.261896,8.410212,7.715786,7.635006
S10735,7.093252,8.23064,7.127008,8.544904,7.507138,7.37614
S10740,6.683016,8.826276,7.081568,8.904644,7.594984,7.27906
S10745,6.977496,8.704206,7.15545,9.044646,7.16328,7.232334
S10748,6.876178,8.148176,7.220544,8.335716,7.51596,7.33289
S10753,7.156112,8.809316,7.342058,9.016004,7.912376,7.709508
S10756,7.254514,8.421592,7.280416,8.80518,7.63573,7.681616
S10757,7.341298,8.138954,7.373086,8.271916,8.22737,8.022366
S1076,7.008116,8.455616,7.249862,8.592706,7.641976,7.500574
S10764,6.757674,8.231628,7.08501,8.44606,7.329192,7.323962
S10767,7.102832,8.02228,7.54118,8.160736,7.829508,7.936058
S10776,6.904076,8.64664,7.3004,8.90664,7.585344,7.51725
S10778,7.0689,8.703444,7.268406,9.140226,7.80954,7.676732
S10784,6.720824,8.582406,7.108524,8.87487,7.249308,7.166914
S10787,6.893886,8.110114,7.265132,8.341362,7.571792,7.513132
S10800,7.573526,8.25006,7.121496,8.548202,7.499766,7.382532
S10805,6.901358,8.435844,7.105508,8.676406,7.281206,7.258046
S10813,6.923572,8.510872,7.377902,8.663926,7.514388,7.589294
S10814,6.501148,7.840918,6.96496,8.36603,7.00206,7.038408
S10815,7.018422,8.334352,7.282496,8.83259,7.67642,7.650932
