Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
A	0	0.0408	0.1206	0.1605	0.1075	0	0.0376	0.0125	0.0197	0.0299	0	0.0306	0.0104	0	0	0	0.0397	0.0742	0.0685	0.0253	0.0323	0	0	0	0	0.0161	0	0	0	0	0	0.0693	0.1043	0
B	0	0.0714	0.09	0.166	0.1024	0	0.0299	0.0121	0.0054	0.0303	0.0076	0.0334	0.0064	0.0024	0	0	0.0471	0.0764	0.0704	0.0307	0.027	0	0	0	0	0.0195	0	0	0	0	0	0.0897	0.0792	0.0026
C	0	0	0.0824	0.0211	0.0512	0	0.022	0.0306	0.0103	0.0432	0.0087	0.035	0	0.0058	0	0	0.052	0.027	0.0855	0.0287	0.0283	0	0	0	0	0.0205	0	0	0	0	0	0.1728	0.2613	0.0135
D	0	0	0.0772	0.0031	0.058	0	0.0364	0.0224	0.0098	0.0315	0.0131	0.0306	0	0.0106	0	0	0.0486	0.0426	0.0908	0.0342	0.0215	0	0	0	0	0.021	0	0	0	0	0	0.1506	0.2903	0.0078
E	0	0	0.0775	0.0289	0.126	0	0.0244	0.0188	0.015	0.034	0.0093	0.0251	0	0.0172	0	0	0.0474	0.0527	0.0924	0.0245	0.0317	0	0	0	0	0.0172	0	0	0	0	0	0.1303	0.1066	0.121
F	0	0	0.0799	0.079	0.3536	0	0.0334	0.0144	0.0085	0.0404	0	0.0294	0.0077	0.0028	0	0.0022	0.0437	0.0752	0.0709	0.0365	0.0393	0	0	0	0	0.0154	0	0	0	0	0	0.0674	0	0
G	0	0.0361	0.1108	0.1933	0.0307	0	0.021	0.0207	0.0087	0.018	0.0105	0.0306	0.0218	0	0	0	0.0452	0.1088	0.1912	0.023	0.0291	0	0	0	0	0.0056	0	0	0	0	0	0.0481	0.0467	0
H	0	0.014	0.09	0.3787	0.0106	0	0.0318	0.0134	0.0053	0.0188	0.0189	0.04	0.0186	0	0	0	0.0566	0.1085	0.0641	0.0377	0.0178	0	0	0	0	0.0115	0	0	0	0	0	0.0202	0.0433	0
I	0	0.005	0.1115	0.3766	0.0024	0	0.0506	0.0048	0.014	0.0166	0.0208	0.04	0.0138	0.0064	0	0	0.0399	0.1042	0.0718	0.024	0.0164	0	0	0	0	0.0186	0	0	0	0	0	0.0207	0.0421	0
J	0	0	0.0907	0	0.0218	0	0.0179	0.038	0.0063	0.0347	0.0187	0.0135	0.0071	0.0219	0	0	0.0469	0.0349	0.0786	0.0209	0.0391	0	0	0	0	0.0253	0	0	0	0	0	0.1722	0.3115	0
K	0	0	0.087	0	0.0745	0	0.0168	0.0194	0.0043	0.051	0.015	0.026	0	0.0319	0	0	0.0609	0.0459	0.0626	0.0208	0.0329	0	0	0	0	0.0154	0	0	0	0	0	0.1373	0.1145	0.1837
L	0	0	0.0689	0	0.0179	0	0.0501	0.0199	0.0047	0.0587	0	0.0071	0.0078	0.0116	0	0	0.0486	0.0487	0.0909	0.0229	0.0392	0	0	0	0	0.0282	0	0	0	0	0	0.0889	0.3858	0
