Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	otherCells
mix_1	9.76873587561211e-06	0.0887778409041112	6.34624734258492e-09	3.8458593913723e-09	8.14073142202871e-09	0.00592266583442613	0.905289706192749
mix_2	6.07553962988128e-10	0.0914592449352279	4.00690194124094e-10	6.16947316823272e-07	8.83621692091019e-06	0.00523098150434496	0.903300319387945
mix_3	1.41436621337141e-10	0.0859929764358013	3.80554373956121e-09	9.18783710592148e-10	0.00297736467463765	0.00586369557204865	0.905165958451748
mix_4	5.75467251569603e-06	0.0959783121488618	8.22096975203453e-06	1.06153204396108e-09	3.26780760428843e-07	0.00363302584614933	0.900374358520429
mix_5	8.98030268171267e-08	0.0919113598192775	5.11926030358119e-08	1.00617532813377e-06	1.9622874407653e-07	0.00485146265273415	0.903235834128286
mix_6	1.20334049499667e-09	0.0942603122569797	7.77466792706352e-09	2.31246162356634e-05	8.51989356693235e-08	0.00422617985947127	0.901490289090369
mix_7	2.2718855900648e-07	0.0910071314096301	4.68221320074407e-10	1.66540971846793e-07	7.52653322797926e-05	0.00531616908462591	0.903601039975712
mix_8	2.20478621653056e-09	0.0900326476032334	3.6925757479598e-09	6.40361147222662e-07	2.68730311519005e-08	0.00526873525967357	0.904697944005553
mix_9	1.22338166482083e-10	0.0946336955902372	1.00620528782794e-08	2.78518504691145e-07	2.1561668393336e-05	0.00393310555721859	0.901411348481255
mix_10	5.79498909867963e-09	0.0907618081291046	2.48529729708767e-08	1.51384721529164e-06	1.39252341335932e-08	0.00539013297481476	0.903846500475669
mix_11	9.96698721347306e-06	0.0890273293926373	1.99371943415004e-08	1.99548351715136e-09	3.73637217049197e-10	0.00554142880508289	0.905421252508751
mix_12	7.59909155478156e-09	0.0937287341196851	8.28807092412914e-08	2.12500067916949e-08	5.81391876845198e-09	0.00441881038367607	0.901852337952913
mix_13	2.22004033993299e-06	0.0933191222401768	1.76388864187283e-10	4.18691508711448e-06	6.58595479292701e-08	0.00429047123058984	0.90238393353787
mix_14	1.69975976338255e-08	0.0918467774091171	5.25127722053236e-09	1.06766135948275e-05	2.6608746497611e-11	0.0049309343234947	0.90321158937831
mix_15	6.10875201430698e-10	0.0915431889047416	4.74347527318397e-09	1.43849091136035e-09	2.21027368399837e-07	0.00496965288174385	0.903486930393305
mix_16	2.81280519073972e-06	0.0809549581024135	1.52525369172239e-08	1.1540150960659e-09	0.0102029941608678	0.0051989711924097	0.903640247332566
mix_17	5.33367428775008e-08	0.0837196864688067	1.55039327222279e-08	9.88477685879445e-09	0.00805947964630786	0.00493218242930236	0.903288572730131
mix_18	4.20031120839368e-07	0.091251654301202	5.63671196128855e-11	3.04747314088031e-05	1.40746453119799e-07	0.0053017972328217	0.903415512900626
mix_19	7.47063506275036e-10	0.0857673626458272	4.02025757999122e-06	8.75584666686012e-10	0.000987718838829123	0.00635311597637795	0.906887780658738
mix_20	2.78957863811911e-10	0.0934761277212861	1.94003075230669e-06	1.16390486266737e-05	4.62565459883836e-09	0.00434681885868292	0.90216346943604
mix_21	7.34476202065126e-07	0.0921914925742768	3.27059325271061e-05	6.90858521018702e-11	1.27991182963711e-05	0.00474267441967092	0.903019593409941
mix_22	1.76605872048836e-08	0.0883834904973064	8.89681586789193e-10	1.20025548362668e-08	1.37985146157534e-05	0.00578575074054807	0.905816929694706
mix_23	4.65358724979746e-10	0.0921487596963122	4.63662099398646e-09	4.11285659608413e-06	1.88114783475807e-09	0.00490604041603158	0.902941080047933
mix_24	3.30555846276349e-09	0.094909478147534	1.15349086496951e-06	1.30780168051826e-09	1.77654145237336e-09	0.00407564667155594	0.901013715300144
mix_25	2.30500978611464e-07	0.094480898186497	3.87853260281999e-09	2.03649440028311e-05	2.14899672835151e-08	0.00402629729643961	0.901472183703582
mix_26	1.74802668848114e-09	0.0895648017919198	7.94353291086057e-06	2.27124471804941e-10	7.20482005400364e-05	0.00555742803004675	0.904797776469431
mix_27	5.81506329196872e-06	0.0901429707263223	4.75615616407115e-10	1.41976814544249e-06	4.07803221232211e-09	0.00523893624258994	0.904610853646002
mix_28	5.40559114321835e-07	0.0942728643164029	2.76942347380432e-06	1.79144989223961e-09	1.31723503531015e-08	0.00441778867319222	0.901306022064016
mix_29	5.71951917358728e-06	0.0906147707258441	6.06247863904588e-09	3.68653100015691e-07	2.88526051776183e-10	0.00536784789481293	0.904011286856065
mix_30	2.63805293695823e-09	0.0938122919657706	1.60937778084712e-09	1.27141478633585e-05	7.39006563046784e-09	0.00431165707277153	0.901863325176098
mix_31	9.64693223219447e-08	0.0908480216974829	6.68812341862819e-10	0.000796097150157889	1.59516830750987e-08	0.00508945863927178	0.90326630942327
mix_32	1.2209647925591e-07	0.0908776568043606	2.59653850170369e-08	4.64455041700619e-09	1.50962151895384e-06	0.00502832886999835	0.904092351997707
mix_33	3.66534344665028e-09	0.0908184361422184	1.22977384212205e-09	6.56220428063718e-08	6.06862804524274e-10	0.00547155294638126	0.903709939787377
mix_34	8.16294341203015e-09	0.0862464618080773	6.73796847476902e-06	1.26503112675518e-08	1.07520870607964e-09	0.00677093496414946	0.906975843370835
mix_35	6.11327291314662e-08	0.0922719250755965	1.21242157129421e-09	4.33820433592734e-08	2.9205763594561e-08	0.00480348639777194	0.902924453593674
mix_36	3.16778974236583e-09	0.0917015233808551	1.13839674901166e-07	2.07577150944223e-07	8.30288768748696e-09	0.00513737168856062	0.903160772043081
mix_37	9.88434334257488e-08	0.0901818879629322	2.25256040596727e-08	3.95663462381752e-07	0.00168051244090196	0.00500603430382718	0.903131048259839
mix_38	7.21460662419259e-08	0.0888838618343592	1.82103513498328e-06	3.59919831812477e-09	1.13472479816209e-07	0.00585498862007874	0.905259139292683
mix_39	5.62715835228303e-08	0.0930430864783305	1.33438725048244e-09	2.85082651570276e-05	4.19357648390882e-07	0.00445647654582725	0.902471451747066
mix_40	6.66693762779204e-10	0.0893627829222959	1.57694777054756e-10	3.04367594869873e-07	1.9767987855192e-09	0.00581428246013784	0.904822627448784
mix_41	3.7834400024999e-10	0.0876927343710801	4.49816684963855e-06	0.00052911185785718	9.48602443628494e-08	0.00597762470409193	0.905795935661533
mix_42	2.07599631881011e-08	0.0942226123236033	6.53824362144872e-10	3.07119336945778e-06	9.03197169669391e-09	0.00398878392414501	0.901785502113123
mix_43	1.52056170737134e-06	0.0849631699078774	3.980090115995e-06	5.56193305628595e-10	4.97309961541746e-09	0.007436430844821	0.907594893066185
mix_44	4.57758599687716e-09	0.0918125017677192	8.72373486177702e-06	2.00099794122946e-09	2.75541738594035e-07	0.0047308805587199	0.903447611818377
mix_45	3.50574373583953e-09	0.0920697594194464	8.12301784021976e-07	6.09816999949974e-07	7.50327955642105e-09	0.00469868412763465	0.903230123325112
mix_46	1.97149503157569e-09	0.0889431745088545	1.84998822814637e-05	1.92378737351007e-09	7.18799701606919e-08	0.00618258958674029	0.904855660246871
mix_47	6.7854156503077e-10	0.0698548435487712	5.48216243961314e-09	5.07871226397577e-08	0.0204288383374875	0.00517416079875509	0.90454210036716
mix_48	1.22703859429017e-08	0.0919005837413853	1.37950618365759e-09	1.00104648353343e-11	1.52562192403003e-08	0.00506339291039077	0.903035994432102
mix_49	4.23466595775963e-06	0.0845348864544727	1.04720512615822e-08	1.28689809855416e-09	6.23859608094526e-10	0.00703270586237915	0.908428160634382
mix_50	8.61342567762927e-07	0.0923328191370153	1.68007751260612e-09	4.33081484538335e-07	2.23544906109879e-08	0.00455800692200157	0.903107855482363
mix_51	5.64511966191741e-09	0.0893008939874215	3.84611031929117e-10	8.62585006169632e-10	0.000938487076286144	0.00558383755473338	0.904176774489243
mix_52	5.74736155564853e-09	0.0888259899008231	1.098840244997e-07	9.52248177836501e-07	1.35003505672503e-07	0.00598732097790797	0.905185486238199
mix_53	2.41697159391149e-07	0.08994759480932	2.84750468887865e-10	5.73697365703142e-07	9.42179881047081e-10	0.00589629981803047	0.904155288751194
mix_54	1.09350246582949e-09	0.0930050601625135	1.20710427080317e-09	1.4659904649699e-05	1.69035245472522e-08	0.00467530197427413	0.902304958754431
mix_55	8.9391049624851e-09	0.0921607256139956	1.59078752146827e-09	3.2565315119353e-05	5.33204123946993e-06	0.0047833792539758	0.903017987245777
mix_56	3.41696419981707e-09	0.0925728037275183	3.62997122379596e-07	1.50158035377827e-09	9.94737360174485e-10	0.00470632283312682	0.902720504528951
mix_57	2.20656836044269e-08	0.0932303898443677	1.97833712943619e-08	4.69863305582433e-06	6.61616286021107e-08	0.00445172210166085	0.902313081410232
mix_58	9.30205638472787e-09	0.0928221656453904	4.86367376765236e-09	1.12387087262851e-05	3.28222137789364e-08	0.00458723822062962	0.90257931043731
mix_59	2.95333186480937e-08	0.0891188890379351	2.24432661983766e-09	1.94406691799527e-06	1.70435722167935e-08	0.00613112793581653	0.904747990138113
mix_60	4.82566924537125e-10	0.0910740963729245	1.3660381830189e-09	8.52695508710699e-08	2.94936056940766e-08	0.00556497911964618	0.903360807895668
mix_61	3.85531886708263e-07	0.0917767994744374	6.75777585666695e-07	3.09926202492196e-06	1.35764890149631e-05	0.00507915490093059	0.90312630856412
mix_62	3.80561096461711e-09	0.0886758049012035	2.74086916474595e-09	2.26467226411227e-09	2.24437566975742e-06	0.00601218814428511	0.905309753767689
mix_63	2.37680819388348e-09	0.093669647380138	1.14012986754577e-05	6.0211111558613e-07	1.16796718911485e-09	0.00440107658440991	0.901917269080886
mix_64	3.67439839485149e-10	0.0775651127397715	8.92544295555904e-06	6.65543035380124e-10	0.0121173243632258	0.00552402978343345	0.904784606637631
mix_65	1.51992552390046e-08	0.0873682527989941	3.73779917612235e-10	9.03400620014961e-09	9.30743491535935e-06	0.00648693913304185	0.906135476026007
mix_66	2.66475531694551e-09	0.0883677917086876	6.27848609532129e-07	1.89363667127362e-05	3.65683780179504e-09	0.00634790120559144	0.905264736548806
mix_67	1.04309452006402e-09	0.0908569772964958	5.60558996912807e-10	2.06654811248577e-07	1.59343259893424e-05	0.00546410597943082	0.903662774139619
mix_68	5.40385678236444e-09	0.0924178853909718	1.46450822813792e-08	3.10310940109472e-05	2.95618369716385e-08	0.00467836472419189	0.902872669180049
mix_69	4.14388327214049e-09	0.0946117246003198	1.40060090895777e-09	7.99585077973129e-10	2.47228348816005e-05	0.00411908996761713	0.901244456253112
mix_70	3.378633331181e-09	0.090137402557287	2.02851433297031e-08	1.05982783315416e-09	0.0003594305153861	0.00525046879954865	0.904252673404174
mix_71	1.57329125989171e-08	0.0901507711820864	2.03416717725481e-08	1.72430395610585e-07	4.74367436496469e-05	0.00547089316225623	0.904330690407028
mix_72	4.59423055624434e-09	0.0896135936871586	8.42636935046217e-07	1.70838363707692e-10	1.03607763886925e-07	0.00564393550672561	0.904741519796348
mix_73	5.57380172488933e-09	0.087739471843467	5.05447153772212e-10	1.56313371680137e-06	0.00601240404077849	0.00447771980147182	0.901768835101317
mix_74	1.01753738789609e-08	0.0934500112391159	2.56699216081139e-06	3.33730978956469e-10	2.4254085841764e-10	0.00412829494349434	0.902419116073583
mix_75	7.17245076152523e-11	0.0917850797751991	4.16596587184573e-06	1.06216117440969e-05	2.86053613042589e-08	0.00514740974496149	0.903052694225138
mix_76	1.04894138654839e-08	0.0898293278966927	1.00641473687319e-09	1.45451761044945e-05	4.3732899757215e-08	0.00559733617060299	0.904558735527872
mix_77	1.35724999978947e-08	0.0933889107639472	3.14627013288697e-09	3.48194891559397e-09	1.09743036759018e-06	0.0046707172039164	0.90193925440105
mix_78	2.84365461939331e-09	0.0924989414741891	1.0147655770257e-09	8.62120475888239e-07	8.00877445184072e-09	0.00481159443243435	0.902688590105706
mix_79	1.61974476059674e-08	0.0871786391938524	8.41937449121748e-10	5.51562872943161e-07	0.00118286397562567	0.00612144065157733	0.905516487576687
mix_80	6.74328924655822e-05	0.0912761968910998	1.95873695989749e-05	2.05545312690034e-08	9.88286783856543e-10	0.00561122481394012	0.903025536490077
mix_81	3.56631331775862e-10	0.0851720262457356	3.49251244237578e-06	5.90408215178271e-08	2.54502883980175e-08	0.0073057775473231	0.907518618846758
mix_82	1.11626319432651e-08	0.0687737448579144	5.62841408624501e-06	2.32820683165906e-08	0.0207456780838834	0.00544979841845114	0.905025115780965
mix_83	1.06668941178558e-09	0.0935755604896534	4.15262861944585e-10	7.51465563803689e-09	6.23390382943612e-06	0.00425877923108189	0.902159417378827
mix_84	7.5256385730164e-10	0.0907685049136617	1.4044915623426e-09	6.98295035264652e-06	7.59751236063836e-09	0.00536644618193447	0.903858056199483
mix_85	1.19042512447713e-08	0.0870277204610631	9.5852940300855e-07	4.31777245938126e-10	1.4477963629347e-06	0.00635457489685739	0.906615285980285
mix_86	7.5962159805542e-10	0.093530206968228	1.45011179945113e-06	9.69284324516667e-06	1.81680082085507e-08	0.00451146629143762	0.90194716485766
mix_87	2.68818931424574e-09	0.0914883342861134	1.4693760432453e-09	3.95359185445533e-06	8.45227035984592e-08	0.00439345791446724	0.904114165527296
mix_88	1.33077882098382e-05	0.0917231811691256	3.60280245623355e-10	3.12284363486814e-09	3.47091385584036e-08	0.004944789156999	0.903318683693403
mix_89	1.93598407974536e-06	0.0862518930843948	3.25365274892072e-09	1.22574883265524e-06	3.90708866672556e-08	0.00685250146690758	0.906892401391246
mix_90	1.31054147974353e-06	0.0937143550289097	5.15844824503882e-05	8.01117861843316e-10	2.47629087055434e-08	0.00372730553551119	0.902505418847622
mix_91	1.42246745068584e-08	0.0911932145104812	8.80638242014762e-09	1.80233618176133e-07	5.07875665747963e-08	0.00497235607678151	0.903834175360496
mix_92	9.52979620227235e-06	0.0937019758343513	0.000141717396940312	4.68002374843903e-10	2.91461027301075e-09	0.00433345421129198	0.901813319378601
mix_93	4.63144830604501e-08	0.0752002511696202	2.26131059593022e-09	2.18612513375304e-09	0.0191950626138326	0.00398719204110111	0.901617443413527
mix_94	3.64373966132245e-09	0.0920614029541588	3.75570380782198e-09	7.89711294827581e-06	1.41446937841284e-08	0.0045795814397824	0.903351096948973
mix_95	5.48601282421803e-06	0.0907576178021664	4.06491508307746e-10	1.11148479409931e-05	0.000143609823691166	0.00510732690841657	0.903974844198469
mix_96	2.38735679001482e-08	0.0908360890257554	6.9935069140155e-07	1.17405857856898e-09	1.14353252512029e-09	0.00545432833859225	0.903708857093802
mix_97	1.37524431007233e-07	0.0917288575192297	2.94879220530087e-09	7.10226983565945e-09	2.96645977848274e-07	0.00477223590115148	0.903498462358148
mix_98	1.38427096236452e-10	0.0914015888346777	2.92046226273474e-09	1.28902032843336e-05	4.65251795746426e-08	0.00503507161094474	0.903550399767024
mix_99	2.81799220631124e-05	0.0766506608699446	2.45996628552399e-08	7.38573197299183e-10	0.0121724217573982	0.00562823884120091	0.905520473271157
mix_100	7.48925658151374e-10	0.0933518111270106	5.53076101976568e-07	2.43690546559425e-09	3.09393242324261e-08	0.00442595938331826	0.902221642288414
