Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
Mix_1,106.865231101,312.125308101,683.417514901,663.918855827,406.662354823,166.325657901,404.167365105,246.920115107,573.679900605,203.771469705,288.894647703,132.800544202,350.975862005,43.5050725011,114.371166502,267.257426101,357.580246521,389.868348501,886.769658603,144.017514703,236.688560701
Mix_2,137.359362683,333.949807708,726.761833459,662.919948374,382.668259621,164.924869984,393.719999267,220.637555087,425.44232266,197.271425129,242.443105652,129.017356361,319.918780058,43.6678494441,110.51739675,299.446815543,502.818687393,371.148346104,857.737007684,158.611616891,225.631409213
Mix_3,106.393083806,340.589165378,410.93905088,640.455022586,365.260332296,171.469904383,390.820931848,211.452018663,430.93010796,239.511500375,241.396250454,122.784056511,317.548624929,43.8786762817,109.040204722,315.960352385,390.799754905,489.886784945,855.020055534,162.152038757,220.155752243
Mix_4,115.116620018,340.039680816,440.462564346,648.850130172,366.28137675,169.670309621,386.823032169,204.01843109,389.229417163,232.370755235,227.074019487,118.531266927,310.020363671,43.9333310992,107.951238908,331.395515587,456.339328097,459.982514378,867.73706323,167.223594112,217.811453657
Mix_5,167.312876306,340.399353505,813.1661043,649.904877684,339.062309097,165.509892172,379.659839539,212.529287474,350.244862384,230.599645359,217.593849666,124.365388977,311.733931541,43.4336852897,109.576867409,236.271955007,489.8241961,417.380698691,789.241112433,162.653479083,221.402400423
Mix_6,128.482500304,326.719206653,887.764562551,652.979000357,398.336587659,159.977813242,413.497216406,259.64490974,599.687093174,194.740063042,308.010888703,137.032686566,360.945474654,42.6488394946,118.06913914,217.761758559,336.494494238,380.980985716,847.055466783,135.143988706,244.509803915
Mix_7,123.915724787,363.492095018,463.609554122,639.885044687,354.019346685,169.918542279,393.969633112,192.481232044,338.70895005,209.403249369,218.625301171,119.797138558,300.352377434,44.9284036844,106.080455731,369.061139875,535.004351179,461.765143837,839.83345278,170.957142278,215.796011479
Mix_8,137.411600348,363.672683217,798.649475312,652.60098823,390.398144029,161.366739002,419.042912999,224.088281193,444.156879234,153.436012833,260.663776353,129.589514249,324.399292628,45.4658754081,108.350377712,347.086963639,552.253763348,358.023398831,857.061627403,156.749535404,238.066638738
Mix_9,132.764154744,342.805419825,659.939591547,652.163365681,368.199440649,166.073015054,394.009302456,217.346204456,412.638977103,213.880863216,238.124390718,125.154265315,317.38367628,44.2454773398,110.391911511,301.664888272,481.834911624,417.573623062,842.798719609,162.427476028,224.900648447
Mix_10,148.056312398,346.219255978,864.452566698,638.728259659,356.486859817,160.315867607,402.301741202,233.05830975,467.112595183,197.746444645,261.669974826,129.929554963,331.007990968,41.9577392161,110.734387269,244.158911458,422.329906817,402.519045002,785.824813689,150.01204646,233.076418401
Mix_11,128.075035008,345.41383388,564.091697256,669.705005982,383.317996854,170.233967286,398.760433618,207.123032998,382.38929086,205.157631974,228.051314437,124.036243857,310.965321106,45.5929846373,110.753588458,359.150043351,552.96882321,398.587651116,883.696143744,170.514738864,223.170208566
