Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	otherCells
Mix_1	0.317919851638557	0.480115566238931	1.66042694996221e-08	0.00288672915623317	0.168718433263327	0.00574229593690171	0.0246171071617802
Mix_2	0.383234556344738	0.460246186251466	1.68085506673499e-08	0.0130074139929285	0.143511636075438	4.10666018777798e-10	1.90116213049919e-07
Mix_3	0.277061739075711	0.584273023727673	0.000114764198483481	3.49356126750706e-07	0.138550103946579	1.46468588259402e-08	5.04856847436774e-09
Mix_4	0.2860290026573	0.591470995626344	7.83768072866909e-07	0.00704763284060257	0.115450327518637	1.69016258916408e-09	1.25589888135571e-06
Mix_5	0.419967555832909	0.492162502837045	4.05407437730376e-08	0.00212919279739484	0.0857167462132837	7.70358360912426e-10	2.39610082647636e-05
Mix_6	0.389885514159749	0.403694765159284	2.34332017049448e-09	0.00184484183819599	0.181665464114638	0.0078868083114269	0.0150226040733863
Mix_7	0.320030701248608	0.562989601168514	8.56040073625883e-08	0.0128531381499613	0.104126447226851	2.99952180752939e-09	2.36025365599152e-08
Mix_8	0.397777600830754	0.377989796538499	1.93570847717472e-07	0.116395549990059	0.107836828917666	8.08935153876778e-09	2.20628226450761e-08
Mix_9	0.360199441662288	0.507145551616868	2.49385846399966e-07	1.58801808005192e-06	0.132652755721767	7.29148764638203e-10	4.12866001878236e-07
Mix_10	0.42878164011004	0.420118440864229	8.53326268744659e-10	0.024852717934927	0.126247191723376	6.54448985976267e-09	1.96961176329442e-09
Mix_11	0.444690711743161	0.370002459298393	0.000645388956612875	0.0670771474715247	0.117583555900283	7.08526140466417e-07	2.81038851345716e-08
Mix_12	0.284085991242421	0.530073991057326	2.50836041137694e-08	2.04392314229166e-07	0.172359030872448	1.45825651471803e-07	0.0134806115262351
Mix_13	0.415782768818261	0.466874546308266	0.000123528794972608	4.69269246622132e-05	0.117156286491148	1.59336536635276e-05	9.00902710760008e-09
Mix_14	0.257942540240682	0.635533988591145	3.22297483297306e-08	3.92905510674297e-06	0.106519502691473	5.76833492751503e-09	1.42350925923352e-09
Mix_15	0.344266073938746	0.504919643957181	4.68247207929501e-08	0.0049058553996322	0.145908357581368	2.60285645901679e-10	2.20380673695457e-08
Mix_16	0.392324515092198	0.481734800936886	3.58786762867299e-06	2.51298833125985e-05	0.125911922863417	1.20861238630763e-08	3.12704340336558e-08
Mix_17	0.338487487500014	0.534766832177062	1.65217734559657e-08	0.000460463139690341	0.126285194686342	4.42627130689065e-10	5.53249066559723e-09
Mix_18	0.306765769419542	0.503805971886578	6.70801833048141e-09	0.0175577259765957	0.171870508627319	1.05643769144768e-08	6.81757046496759e-09
Mix_19	0.327927353396597	0.495660374760833	2.78292171159775e-08	2.52439763087576e-07	0.171034808123692	5.13873833683871e-06	0.00537204471156017
Mix_20	0.438495978886005	0.307730885894688	2.55607612046074e-07	0.0312104748879017	0.222562323035574	2.53966498596301e-08	5.62915694044037e-08
Mix_21	0.412490655007484	0.409046280026915	7.56291885011732e-08	0.0278297882723996	0.150632550366582	4.94801629996147e-07	1.55895801135441e-07
Mix_22	0.342490646629355	0.46396253531552	3.66516728317471e-08	1.10821458551374e-06	0.188476173883035	1.52216235365926e-07	0.00506934708959644
Mix_23	0.429345524472906	0.437985599687334	0.000105747370588279	7.24554650368408e-05	0.132490647084276	1.43082904390316e-08	1.16115686122936e-08
Mix_24	0.379476332198086	0.481349232720682	8.9574086999163e-08	2.36081218164136e-05	0.139150692014867	9.02813724072386e-09	3.63423249365271e-08
