CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	otherCells
A	0.0167511470553822	3.01244641480013e-07	1.3220118062393e-06	4.44748048413725e-08	3.27296855144215e-06	8.56913408687593e-05	0.0102963062321115	1.72196577387694e-07	3.81422275960371e-06	0.972857928252497
B	0.0169145535344612	2.87208961916419e-08	1.85952189478455e-05	1.91616807315483e-09	4.03447342247348e-08	0.000286548182717526	0.00993967889409326	1.82398292327143e-06	1.68868699765877e-07	0.972838560336359
C	0.0151184743971982	9.80939433668704e-09	4.47512614955587e-06	7.6914401624501e-08	6.56420057145325e-06	0.00179073171292418	0.00982068989339301	6.49158099984679e-09	4.26086239175843e-06	0.973254710591995
D	0.0151947791977123	8.01035901770604e-09	0.00072174452137857	4.93999302370492e-08	1.25157484488812e-08	0.00101424444412456	0.00988147263935937	6.04390315999979e-08	4.6076662658428e-08	0.973187582755693
E	0.015629297238279	2.23595599612303e-07	9.28804126884869e-05	2.96082311053642e-07	1.78298347256812e-06	0.00075149447045992	0.0105305474919073	6.00259396276385e-06	3.41477268685988e-06	0.972984060358632
F	0.0160697551662687	2.0617596381864e-06	3.12812533879366e-06	5.32161639398648e-06	9.2854747610613e-08	3.25118589698088e-06	0.0108891394597315	3.41998404229311e-07	1.48887418705037e-07	0.973026758946161
G	0.0178040292682076	3.89201754701862e-12	1.54001226856884e-05	8.91306912236537e-08	1.0673220278529e-07	1.1346680127824e-05	0.00930642922473569	2.39751124543485e-09	2.19735340580037e-05	0.972840622905888
H	0.0180810632707914	3.22434691747954e-07	1.06407604897258e-07	1.62200549649349e-08	1.4194386576289e-07	9.81179610513517e-05	0.00901809319299755	7.24116434067556e-06	6.16957760627268e-08	0.972794835708826
I	0.0180759318815521	1.77406995645012e-06	1.31372558146118e-05	4.85543096054104e-06	2.2907675048249e-05	7.41680614208367e-07	0.00909177166616017	8.97703690604728e-08	4.18204181171425e-06	0.972784608527713
J	0.0144011549875534	3.43249300777711e-06	9.90724039149003e-05	4.8601066174747e-06	1.17159400250744e-05	0.00197775043594807	0.00997328216852432	9.07281202967481e-07	5.81961606293823e-08	0.973527765987045
K	0.0141393354174768	1.05036257233304e-07	1.99345332019943e-05	1.22686169725255e-06	6.19340432445815e-06	0.00204376796121888	0.0104688663242789	1.99332355121602e-08	5.79773146612672e-07	0.973319970755162
L	0.0152818622123214	2.68009134134908e-08	0.000411438147767097	1.48100260039457e-08	1.22740366257613e-06	0.00144548622414964	0.00964463923649105	1.71648569168825e-09	1.59116985193959e-05	0.973199391749664
