ID,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
S10340,8.094784,8.781058,8.63035,10.080124,8.505492,7.839816
S10347,7.913328,8.564892,8.582008,9.6066,8.26085,7.499232
S10353,8.275644,8.880574,8.694174,10.114046,8.532528,7.798294
S10356,8.257918,8.802652,8.628758,9.974058,8.435462,7.722756
S10358,8.078518,8.912062,8.760242,10.200406,8.308014,7.854126
S10365,7.967772,8.776826,8.507962,10.116802,8.333442,7.652804
S1037,8.237578,8.68444,8.847938,9.822168,8.731182,8.102166
S10373,8.278298,8.831008,8.77698,10.034676,8.741564,7.980892
S10374,7.806254,8.316702,8.194912,9.766238,8.525758,7.57222
S10375,8.26519,9.10993,8.861198,10.315822,8.888858,7.99907
S10377,8.136668,8.66857,8.466418,9.829616,8.815674,7.770216
S10378,8.406776,9.022024,8.912514,10.262954,8.857354,8.097634
S10390,7.943698,8.44177,8.368912,9.60176,8.188412,7.326556
S10391,7.905474,8.629084,8.486404,9.782168,8.487314,7.750196
S10393,7.929772,8.690038,8.568912,10.10211,8.972202,7.90907
S10400,8.203962,8.971566,8.617002,10.063314,8.523118,7.76436
S10401,8.216958,8.94846,8.797312,9.985328,8.395672,7.7615
S10406,7.856506,8.767826,8.478428,10.108574,8.407194,7.704432
S10408,8.479976,9.122586,8.937728,10.274016,8.517636,7.89986
S10409,8.45472,8.97896,8.780488,10.069426,9.142346,8.101302
S10418,7.540308,8.30796,8.290006,9.870558,7.732344,7.256972
S10431,8.0712,8.656716,8.607322,9.95015,8.6228,7.742586
S10438,8.031132,8.722604,8.549288,9.936864,8.637416,7.834496
S10439,8.251308,9.088288,8.843688,10.289734,8.831446,8.040566
S10441,8.316628,9.056516,8.736992,10.311232,8.09816,7.804232
S10442,8.169768,9.007212,8.76955,10.170934,8.620732,7.886938
S1046,8.242626,8.955278,8.610122,10.300952,8.469098,7.77626
S10478,8.04731,9.08697,8.553328,10.347586,8.201814,7.551384
S10480,7.992678,8.331684,8.603202,9.496108,8.433554,7.71185
S10484,8.15493,8.91323,8.739292,10.126502,8.501686,7.783634
S10492,8.399736,9.22013,8.826592,10.19466,9.141674,8.340934
S10496,8.234462,8.801242,8.736506,9.960474,8.630332,7.987288
S10510,7.69012,8.417878,8.283132,9.819914,8.235696,7.653492
S10513,7.983126,8.955466,8.661276,10.00443,8.461352,7.757078
S10516,8.085914,8.849622,8.65425,9.919022,8.320742,7.677992
S10534,8.184374,8.732608,8.487478,9.796906,8.503464,7.862346
S10535,7.930212,8.6864,8.491984,9.743496,8.713986,7.941054
S10537,8.33483,9.16012,8.79433,10.17763,8.6216,7.891716
S1054,7.979176,8.614558,8.616976,9.764798,8.491036,7.777846
S10543,8.118772,8.726366,8.850872,10.075504,8.424814,7.888122
S10546,7.827244,8.463976,8.470356,9.833412,8.385788,7.690354
S1055,7.99225,8.819666,8.477976,10.219422,8.319906,7.577486
S10551,8.24805,8.909642,8.67944,9.989948,8.458582,7.739784
S10552,7.881706,8.797954,8.621146,10.011348,8.114584,7.538238
S10555,8.310314,9.012574,9.03642,10.169284,8.93214,8.254598
S10559,8.013838,8.823282,8.568082,10.02024,8.358358,7.726172
S1056,8.229558,8.810414,8.596106,9.972106,8.7816,7.942076
S10563,8.314548,9.057786,8.851262,10.272228,8.666922,7.931778
S10574,8.126484,8.827674,8.744816,9.979922,8.648902,7.959984
S10576,7.922698,8.599004,8.431656,10.04649,8.45765,7.602986
S10578,8.027228,8.804418,8.482088,10.143214,8.492418,7.649932
S10579,8.007228,8.668692,8.631094,10.157348,8.328256,7.858256
S10582,8.193372,8.841384,8.735726,10.11623,8.590062,7.86916
S1059,8.328544,8.9386,8.843424,10.178858,8.657558,7.993322
S10599,8.285856,9.109404,8.70838,10.406254,8.718144,7.940874
S10611,7.93879,8.816852,8.591078,10.061874,8.392022,7.806136
S10614,8.080678,8.95001,8.665404,10.159114,8.46019,7.758848
S10624,8.170012,8.724868,8.564432,9.900132,8.277596,7.69923
S10632,7.835654,8.495004,8.397686,9.765782,8.325398,7.529106
S10634,8.071086,8.59922,8.49642,9.918074,8.444914,7.780316
S10638,8.23597,9.017344,8.637712,10.192244,8.165106,7.844812
S10644,8.207548,8.856922,8.809784,10.012998,8.825386,7.994966
S10649,7.828432,8.636284,8.57217,10.22883,8.221842,7.767258
S10652,7.991574,8.679882,8.626686,9.908878,8.123,7.619086
S10654,8.063128,8.719524,8.692536,9.892792,8.507112,7.915476
S10655,7.917324,8.725316,8.535884,9.869782,8.467702,7.792214
S10656,8.401632,8.877584,9.02113,10.191356,8.75015,8.210646
S10657,8.214756,8.803848,8.70271,10.119642,8.437872,7.810404
S10658,8.29231,8.922986,8.840484,10.226404,8.681358,8.06127
S10660,7.986796,8.462774,8.596706,9.559504,8.671866,7.821018
S10661,8.149576,8.70351,8.66819,9.94273,8.58524,7.940774
S10676,8.218476,8.809364,8.66123,10.160572,8.39155,7.839642
S1068,8.230308,8.759632,8.704312,9.91892,8.56027,7.89051
S10681,7.635944,8.35292,8.351638,9.88209,8.16088,7.64584
S10686,8.027904,8.629984,8.450674,9.985138,8.37551,7.621142
S10688,8.291506,8.995176,8.797524,10.03851,8.420944,8.029024
S10690,8.118192,8.72353,8.761972,9.84377,8.23731,7.675612
S10698,8.106654,8.7565,8.652442,9.830604,8.63835,7.874636
S107,8.104136,8.845692,8.790708,10.107392,8.90132,8.079204
S10703,7.984096,8.718036,8.658138,9.86942,8.626782,7.944172
S10726,8.174062,8.774274,8.652742,10.03819,8.590532,7.913764
S10729,8.060392,8.945086,8.679568,9.890888,8.567654,7.854014
S10733,8.131756,8.967564,8.71959,10.16599,8.6412,7.936404
S10734,8.113152,8.854556,8.655498,9.98209,8.891098,7.963344
S10735,8.15401,8.7955,8.625842,10.02954,8.488752,7.84994
S10740,8.319578,9.251794,8.750502,10.304992,8.746524,7.882344
S10745,8.088502,8.91555,8.672716,10.207878,8.312394,7.657256
