Symbol,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
A,6.75684,6.41617791572,6.78473524516,6.47670744103,7.15461212698,5.16095010187,5.81016
B,6.63826173261,6.44386369262,6.83613255009,6.55938,7.14658,5.06639037598,5.88798
C,6.44191632429,6.22532807422,6.84430111928,6.51218,7.4186396703,5.12270257883,5.949216509
D,6.48271638685,6.22748976752,6.81884,6.44663127737,7.49298,5.10088,5.98298
E,6.53646906797,6.28130869177,6.98026,6.43344,7.21468690549,5.16568,5.90006058035
F,6.6014,6.35003870319,7.07518,6.46903206738,7.19126214177,5.03367418019,5.87567453546
G,6.89757938203,6.56138246175,6.62492,6.72402404895,7.1238,5.1501,5.60416789331
H,7.01586811776,6.57232805013,6.62609521261,6.61497440443,6.86,5.19398,5.71032
I,7.05831685223,6.61690058754,6.62049212698,6.62718,6.8008,5.04054358357,5.70719454096
J,6.36456,6.19197176684,6.87824,6.49900783287,7.40296235016,5.13366,5.92572
K,6.4084597447,6.13652008581,6.89196,6.23047523924,7.41309973413,5.12678518049,6.04374314143
L,6.4512847485,6.11904233092,6.70854485079,6.4825717605,7.39934,5.17603130823,5.8631800968
