Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0.557877906902487	0.387604506423258	0.373594790791566	0.00521867455715807	0	0.138636345004492	9999	0.543244264936803	0.925063616354429	1.46293222367896
mix_2	0.602972773422793	0.333189140525101	0.336463764712806	0	0	0.18778208131954	9999	0.532514254053061	0.932840705877488	1.46040775998024
mix_3	0.51150729746545	0.587550429203617	0.349534874368384	0	0	0	9999	0.574925637792442	0.901892973540824	1.44859260103745
mix_4	0.608751055840768	0.471277312355903	0.327727561861342	0.00190835193175354	0	0.0484736267677628	9999	0.569160120054017	0.90323448059878	1.45813790875753
mix_5	0.532748264187518	0.473090530250622	0.410825980038868	0.00121725353913575	0	0.0348599963430501	9999	0.571868615979432	0.902349822224458	1.45274202435919
mix_6	0.591277972703607	0.428981746788342	0.345580090390676	0.0116179763904385	0	0.0806801224844657	9999	0.55894924824265	0.911729678821984	1.45813790875753
mix_7	0.630126793725645	0.470237204888063	0.334844542713015	0	0	0.0152761724242503	9999	0.570209938355616	0.904066893793446	1.45048471375097
mix_8	0.742477412737078	0.435452779326473	0.170651050477813	0.00450989489244853	0	0.103745967584334	9999	0.551362103836513	0.916702941410156	1.45683710501815
mix_9	0.515737763643054	0.437287269248	0.402831458815387	0.0128219017819548	0	0.0948329785688352	9999	0.556884898110288	0.914058707487711	1.46351137205723
mix_10	0.744764722083412	0.505195457929102	0.1652866114669	0.000415332650008011	0	0.029650156172312	9999	0.5664669753667	0.905687561985159	1.44531228030174
mix_11	0.607378031349822	0.35855315865549	0.318479145106978	0.00142334791744712	0	0.167126852036481	9999	0.535544897292459	0.930655946927116	1.45296053506622
mix_12	0.554931728792851	0.421200839170158	0.338611414586529	0.0132931733194815	0	0.124704868490174	9999	0.54684154233997	0.921868752456928	1.45274202435919
mix_13	0.728916303122959	0.466489770910561	0.233971099512574	0	0	0.0242502941998258	9999	0.56737840876245	0.905308359580991	1.45362746774592
mix_14	0.749481645948756	0.461913402010092	0.207039189550602	0	0	0.0267032342266657	9999	0.566477893066639	0.905833935711884	1.44513747173612
mix_15	0.627974340704355	0.458335479806392	0.351448913473079	0.00617369870537534	0	0	9999	0.571731615952251	0.903310837080548	1.4439324326892
mix_16	0.567354734411358	0.502181908588207	0.342590625718055	0.00586787890934791	0	0.0268861915586528	9999	0.568509758106479	0.905644681169623	1.44488133918562
mix_17	0.763898657605589	0.496245103134939	0.15848931228005	0	0	0	9999	0.574585170020268	0.898880988411415	1.41863307302058
mix_18	0.670526181428676	0.31741035853819	0.286321373691867	0.000911103167124657	0	0.197546786248494	9999	0.530652539218443	0.933632430766615	1.47271580307435
mix_19	0.645051670169809	0.416565596632979	0.300800532014385	0.0077560125262057	0	0.0749636603927363	9999	0.559132280521475	0.911243771885801	1.44513747173612
mix_20	0.392856001306637	0.555165355100247	0.48323365508868	0	0	0	9999	0.577533984384203	0.901148582005267	1.43125501149556
mix_21	0.639760652591784	0.488286972947561	0.300695593156532	0	0	0.0170452249378609	9999	0.570380441795745	0.903602940557903	1.44578844363374
mix_22	0.665832094339654	0.392077461304876	0.327017922344263	0	0	0.0700543761220585	9999	0.564876638894666	0.905771755510367	1.45498185411085
mix_23	0.730558800735744	0.456168896839579	0.20437093730273	0	0	0.0684578833913426	9999	0.562743690863902	0.907372668071807	1.4595565182694
mix_24	0.626226583140882	0.290351507396319	0.333560272453051	0	0	0.222620762206883	9999	0.525591749419497	0.937990105385193	1.47275912519713
mix_25	0.539309555334314	0.529213353702498	0.303358924356848	0.00965263751779901	0	0.0767056628550955	9999	0.562101046407311	0.90948612078687	1.45824013376655
mix_26	0.353664911386438	0.58950320425863	0.475656626837597	0.00523727655626802	0	0	9999	0.575013180465464	0.904393074448149	1.42406201903893
mix_27	0.785230449481756	0.315609070726133	0.210618702260291	0	0	0.154902909227272	9999	0.536266418276695	0.929146356816849	1.46636113169545
mix_28	0.480527384077079	0.551740510071588	0.391952972673807	0	0	0	9999	0.57703143543588	0.900026399262281	1.42422086682247
mix_29	0.555570773504937	0.434450844584513	0.384547599484242	0.00754690405538017	0	0.0742535604853509	9999	0.561263583509393	0.910339534920496	1.45636968211442
mix_30	0.589879899585927	0.439023338958979	0.357978182786124	0.00250089213286777	0	0.0710254465163406	9999	0.562688499803983	0.908795861326217	1.46040775998024
mix_31	0.576915554275736	0.472659605319736	0.326196823774626	0.00715710793359851	0	0.0781463613934857	9999	0.56039864445949	0.91072217000465	1.46107545269718
mix_32	0.561290951496996	0.491259930181683	0.358293257262019	0.00133506070431167	0	0.0431933136081387	9999	0.569620098009178	0.903728157699927	1.45537251325315
mix_33	0.635403732739936	0.418240511222976	0.312287743298604	0.00404144102842109	0	0.0908698330298677	9999	0.555386184513147	0.914493303581113	1.4608432613198
mix_34	0.573277336006143	0.389560164261674	0.342563487975876	0	0	0.149580865867158	9999	0.539079769974393	0.928501039485354	1.45498185411085
mix_35	0.571905990136509	0.420160528006048	0.35687569530049	0.0119992420254515	0	0.0937553846766684	9999	0.555691701501466	0.91450248617786	1.45469684014517
mix_36	0.646864171127488	0.519105440437591	0.258359430209796	0	0	0.0174350046634012	9999	0.569912139412711	0.903950238993964	1.44176404643828
mix_37	0.660358313160717	0.509483732128329	0.247722217336414	0	0	0.0282241810082781	9999	0.568583016235429	0.904480457346285	1.44578844363374
mix_38	0.418370894801982	0.591393939462203	0.431999212174091	0	0	0	9999	0.57541328977122	0.902972511487766	1.44176404643828
mix_39	0.627761167584891	0.462940221676418	0.343474445354588	0	0	0	9999	0.57357387720151	0.901541634219694	1.4341758346159
