Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE
S10001	0.0719273455739782	0.0683695730543308	0.715154900211378	0.031414332369626	0	0.113133848790687	9999	0.316215453622385	1.11506583376125
S10006	0.147844210831505	0.0880755351139581	0.669015098425113	0.0333975308209385	0	0.0616676248084854	9999	0.257593044131523	1.14861642624567
S1001	0.165572550166585	0.0485083746712353	0.685723154820534	0.0229445922193661	0	0.0772513281222792	9999	0.305429084649795	1.11409407426575
S10010	0.0304888836398276	0	0.838685094010245	0.0228024456056006	0	0.108023576744327	9999	0.319763473418867	1.12367193303064
S10011	0.120330652402972	0.255907688336548	0.503676193812291	0.0179221590426563	0	0.102163306405533	9999	0.315973107447846	1.10331860696887
S10014	0.0867886834349568	0	0.806491137635735	0.0251206613185071	0	0.0815995176108014	9999	0.319686700034732	1.11457968266464
S10026	0.153959294751903	0	0.767571116379051	0.0178757887684277	0	0.0605938001006185	9999	0.265935230201034	1.14978360362517
S10032	0.173728369791495	0	0.671499284498365	0.02974653877502	0	0.125025806935119	9999	0.314533499274332	1.10992711048254
S10036	0.00939566124388488	0.13620312050786	0.729474247981617	0.0543907964597403	0	0.0705361738068981	9999	0.301254190287991	1.12616985772762
S10042	0.117596269474727	0.0093763222150262	0.796325678243495	0.0140463419396419	0	0.0626553881271102	9999	0.332376056061684	1.10190132372549
S10044	0.129521208912893	0	0.796540565132793	0.0167279115839433	0	0.057210314370371	9999	0.305889111381989	1.12167809825215
S10049	0.171108421397982	0	0.745397625843479	0.0227293735530985	0	0.0607645792054408	9999	0.299442991088815	1.12032246430232
S10057	0.0507492272678336	0.0955886211995942	0.716084724994058	0.0357109428207692	0.00219416114765601	0.0996723225700889	9999	0.332664103643255	1.10097110616247
S10062	0.151626705682314	0	0.738141748504184	0.0103306556974342	0	0.0999008901160675	9999	0.340448289326044	1.09356754794333
S10066	0	0.237845318380587	0.65307254986739	0.0236161955528112	0	0.0854659361992124	9999	0.339790602634253	1.09797055082608
S10067	0.140084945622653	0	0.804110240102264	0.0113286526912245	0	0.0444761615838585	9999	0.313997712350418	1.115043663897
S1007	0.155081666380003	0.0981915001202177	0.622838940383922	0.0312807337196683	0	0.0926071593961898	9999	0.311016375979732	1.10724986778479
S10073	0.111663724229532	0.0308833261256102	0.775481682193618	0.0040559092596948	0	0.0779153581915448	9999	0.332254886073928	1.1040207297544
S10077	0.0974628535748848	0	0.761043969281554	0.0170876636046376	0	0.124405513538923	9999	0.34130095348553	1.09892428815462
S10080	0.107764901680299	0.049007377811902	0.702850791981792	0.0145763954491675	0	0.12580053307684	9999	0.329140690510001	1.10570119636006
S10082	0.137711635263612	0.220053425093384	0.577174489555697	0.0261530293666651	0	0.0389074207206411	9999	0.327747481429799	1.09032454730025
S10087	0.171643912963243	0	0.750053792739473	0.0141976963028583	0	0.0641045979944253	9999	0.324998793623494	1.10179208198927
S10089	0.0343595180032024	0.112123178855731	0.692051549353084	0.0198497815747052	0	0.141615972213278	9999	0.371511390770365	1.0756459255832
S1009	0.230982991268899	0.0964513865241674	0.60478483320763	0.0145876136815136	0	0.0531931753177902	9999	0.364731512393458	1.05871125067498
S10090	0.0148916443967801	0	0.879518651755616	0.00995607040317159	0	0.0956336334444321	9999	0.316960117314162	1.13130891312496
S10093	0.0439309677559301	0.180539269165611	0.598247208896949	0.0676500696578165	0	0.109632484523693	9999	0.284504983200696	1.13001126120188
S10094	0.133335284503428	0	0.738184623077707	0.0290076894512974	0	0.0994724029675677	9999	0.312972202550275	1.11384289563809
S1010	0.132354578693472	0.0887834083131441	0.635661178954811	0.0150631669422113	0	0.128137667096362	9999	0.348937325317573	1.08488205906519
