Gene,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
mix_79,33979.9388,26401.5167,14409.0565,6003.678,3287.8877,12100.9418
mix_80,38046.4232,28100.9636,13889.925,5951.1769,2960.3027,9012.3474
mix_81,38399.8986,28371.3679,13968.5472,6090.0572,3026.7765,8338.2295
mix_82,35491.0859,27028.8943,14181.8293,5998.1782,3153.2025,11078.4807
mix_83,33187.7726,25717.875,14453.0508,6073.6338,3333.4476,13107.2777
mix_84,37735.0188,28057.2124,13946.8537,5992.4734,3031.5015,9190.8493
mix_85,37950.1675,28233.3879,13961.4208,6064.7908,3059.5421,8780.4119
mix_86,39162.9856,28761.4974,14303.7882,6301.9497,2991.3573,7059.4839
mix_87,36745.5896,27740.0822,13949.6402,6050.9657,3116.7434,9839.5169
mix_88,38183.2104,28262.3918,14232.8409,6155.0598,2996.0753,8509.7385
mix_89,39355.7414,28810.9426,14163.4496,6200.7158,2920.2556,6969.0413
mix_90,36125.6258,27479.3912,14004.8526,6014.1508,3213.1993,10340.7872
mix_91,33237.8143,25716.791,14632.5609,6103.223,3324.5353,12911.8782
mix_92,36175.7597,27286.6462,13992.1308,5985.376,3179.0554,10612.7847
mix_93,30760.9518,23896.5419,14139.4602,6175.9898,3623.5142,15164.7129
mix_94,32340.652,24856.4989,14794.2596,6258.6029,3446.8141,13516.1596
mix_95,32931.87,25462.1738,14721.0026,6027.119,3258.9369,13383.6283
mix_96,33400.1351,25799.4348,14921.2439,6226.8293,3172.7032,12799.4426
mix_97,34812.1144,26819.4309,14398.9308,5996.394,3246.0716,11338.9259
mix_98,35340.7203,27044.5976,14141.2336,5960.8452,3194.4566,11120.8964
mix_99,40187.3509,29603.9508,13749.2739,6242.0782,2854.4281,5520.9272
mix_100,36541.8963,27565.7932,14050.2921,6052.4802,3117.7534,10147.2914
