Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
mix_1	0	0.247387252836559	0.26981910852899	0.161392457378948	0.0924202660058972	0.228980915249606	9999	0.677998869335913	0.772700350384331
mix_2	0	0.199858943588341	0.26899545480773	0.269690837864108	0.0806604021534153	0.180794361586406	9999	0.686464169610684	0.764916691729685
mix_3	0	0.124730080871124	0.212111735892281	0.163662011817751	0.273443146719085	0.226053024699758	9999	0.706763271144077	0.738639790398459
mix_4	0	0.318805528785595	0.281397729400114	0.0428088420408435	0.181618995508157	0.17536890426529	9999	0.676536660010919	0.773884218877815
mix_5	0	0.217874317170462	0.280709515792639	0.045409705850164	0.258110404974093	0.197896056212642	9999	0.687410635690056	0.759824761814949
mix_6	0	0.281724731681712	0.297565605077636	0.0676077998844784	0.182213452943079	0.170888410413094	9999	0.677279441068592	0.773057341944532
mix_7	0	0.179986709759495	0.2523729694902	0.0848704981311228	0.283240728570911	0.199529094048271	9999	0.695577500645278	0.750689479052899
mix_8	0	0.164426823300572	0.271881792526398	0.173539905719991	0.209456711956459	0.18069476649658	9999	0.691790172647884	0.756585905411224
mix_9	0	0.363936183622205	0.281767118334155	0.0633122565647114	0.121712247696342	0.169272193782586	9999	0.667674571581034	0.785728357577291
mix_10	0	0.316610854807065	0.180449194196833	0.109072116341019	0.136542956719793	0.25732487793529	9999	0.691867264948555	0.755189295478802
mix_11	0	0.303273024555885	0.258267633713866	0.186067083381569	0.00318671063178622	0.249205547716893	9999	0.671377046849002	0.782075325378897
mix_12	0	0.250246221116519	0.269836166958697	0.0607672384662201	0.234998339686055	0.184152033772509	9999	0.686343789605982	0.76154937675835
mix_13	0	0.351526644748837	0.223073703570945	0.162181703113967	0.0842250880657285	0.178992860500522	9999	0.677362328398302	0.774919807104607
mix_14	0	0.365276747622817	0.250027105018578	0.0699216103407627	0.0801180826322948	0.234656454385548	9999	0.673582030036239	0.778062402749461
mix_15	0	0.210913751607489	0.273268191162905	0.136997340211249	0.209541430017178	0.169279287001179	9999	0.688071989447625	0.760629021706591
mix_16	0	0.130800356587775	0.171919343326749	0.189934381587852	0.343675009723973	0.163670908773651	9999	0.704668137878748	0.743971273540866
mix_17	0	0.164819435907783	0.154294267499736	0.186212118323842	0.32937360504193	0.165300573226709	9999	0.70343655488721	0.745044109363261
mix_18	0	0.351801531788374	0.15172942180721	0.201619494066132	0.05446831375091	0.240381238587374	9999	0.689436498344509	0.760260151229791
mix_19	0	0.112031445632126	0.227942801207697	0.188453032680412	0.256241818632506	0.21533090184726	9999	0.7035068484916	0.743036344244901
mix_20	0	0.294629990019313	0.262387390179233	0.204488454291439	0.0780489329742269	0.160445232535789	9999	0.678565060730018	0.774133808051876
mix_21	0	0.258549456366568	0.149204400553236	0.160564288389568	0.262179777320419	0.16950207737021	9999	0.698695921059068	0.74893016520916
mix_22	0	0.299617357310572	0.269749789571946	0.0460379140133587	0.12215254340253	0.262442395701594	9999	0.67456801350057	0.775347451078516
mix_23	0	0.335597881640498	0.246897024782669	0.171012518548343	0.0361131229959976	0.210379452032493	9999	0.674613869876192	0.778330759174484
mix_24	0	0.238993980838719	0.25242099119468	0.0939877020448996	0.248671631169642	0.165925694752059	9999	0.690683933326033	0.757049695193241
mix_25	0	0.339116319000407	0.292089728270762	0.109970722356028	0.0868275176190534	0.171995712753749	9999	0.671665253414072	0.781569522279596
mix_26	0	0.252721366747615	0.125325296002232	0.176491186991169	0.235206531657643	0.210255618601341	9999	0.703305812752109	0.743084835383356
mix_27	0	0.293156934166533	0.272340680435921	0.15126292816749	0.0765719413549011	0.206667515875155	9999	0.673277925691006	0.778937100774774
mix_28	0	0.281006054592345	0.267979965731442	0.11151318354496	0.165565335428477	0.173935460702775	9999	0.680518892292931	0.769595363448005
mix_29	0	0.259616287012709	0.274592941922255	0.142342901968317	0.0903496924753215	0.233098176621397	9999	0.67668359445548	0.774075160678407
mix_30	0	0.327175322977099	0.271568497564932	0.0765343872581192	0.136805254873345	0.187916537326506	9999	0.676307343712307	0.774606897051395
mix_31	0	0.296733273554101	0.234517473798085	0.132352419248829	0.115784148053508	0.220612685345477	9999	0.684138739280092	0.765149249612892
mix_32	0	0.398804945692626	0.250909350994909	0.0492195013626337	0.0359528371725873	0.265113364777244	9999	0.668093469522577	0.785338775310276
mix_33	0	0.27877171773599	0.222884426687518	0.142126735512789	0.121572448998307	0.234644671065396	9999	0.691193710678604	0.756487757242843
mix_34	0	0.210625618872282	0.147306363017358	0.224641820317169	0.152075700532586	0.265350497260605	9999	0.700368552030788	0.746821728652504
mix_35	0	0.26656949927294	0.286868971667985	0.0612232811427152	0.182784804015219	0.20255344390114	9999	0.680763695374442	0.768178477492857
mix_36	0	0.249919304544196	0.255045723521131	0.0611203552574583	0.200690664616548	0.233223952060666	9999	0.687750174966619	0.759278266655505
mix_37	0	0.172413637715429	0.210043904188002	0.157513745378742	0.282661111921177	0.17736760079665	9999	0.69939660205586	0.747913684514263
mix_38	0	0.180095644313795	0.233610964685133	0.135707278116752	0.246552910249512	0.204033202634808	9999	0.697320225963681	0.749215513204182
mix_39	0	0.256885622954355	0.297964935043645	0.118716132074206	0.148279250614247	0.178154059313547	9999	0.679489908799116	0.770872111249981
mix_40	0	0.270542340175953	0.238821912297376	0.0507565682831876	0.191267595867247	0.248611583376237	9999	0.686994616351231	0.760038360381419
mix_41	0	0.233942446046758	0.155961369177876	0.16253809605129	0.20703335254887	0.240524736175205	9999	0.703015085432456	0.742550295086489
mix_42	0	0.434115880905714	0.223220066950986	0.0982884288812536	0.0311089364286572	0.213266686833389	9999	0.6686768957144	0.785944264755225
mix_43	0	0.251044741118146	0.167983572955949	0.159961192673118	0.168609897851134	0.252400595401653	9999	0.700875952711627	0.744829805153978
mix_44	0	0.315468287369088	0.245163043433907	0.204116465219677	0.027843981472003	0.207408222505325	9999	0.676287517515616	0.776694192974566
mix_45	0	0.218305423537169	0.287278436623988	0.0799963599355192	0.203501394226691	0.210918385676633	9999	0.681461141122125	0.767149836072499
mix_46	0	0.247109976859427	0.200232390870879	0.1002737757033	0.184328095497327	0.268055761069067	9999	0.699417342194021	0.745506231437976
mix_47	0.0343323143468644	0.0253805810925226	0.111854445535137	0.350435850321527	0.379260356969462	0.0987364517344881	9999	0.70711337613259	0.749385799459443
mix_48	0	0.369064106333944	0.177166759230418	0.139684373757835	0.0617758227248409	0.252308937952961	9999	0.684793982111188	0.765050460521226
mix_49	0	0.30708726138068	0.237052797770257	0.0235585985632732	0.0914769434236022	0.340824398862188	9999	0.679794340031619	0.769071783607859
mix_50	0	0.267083190822269	0.293143795092206	0.0783107785694704	0.167780508388504	0.193681727127551	9999	0.676200358458891	0.773994309248913
mix_51	0	0.212015213162075	0.132523939311321	0.165875519492304	0.275436894809457	0.214148433224844	9999	0.704660654626926	0.741674122078841
mix_52	0	0.245567189698506	0.14956052203851	0.167180686692006	0.204755507671279	0.2329360938997	9999	0.700825648171792	0.745390112555676
mix_53	0	0.271400879575186	0.159443080882928	0.219191990693795	0.0891760295070935	0.260788019340997	9999	0.694493004183803	0.753729305080014
mix_54	0	0.281760645686653	0.238206720996663	0.102911404376114	0.176990654103522	0.200130574837048	9999	0.687161636803207	0.761038543293493
mix_55	0	0.307596061430958	0.135370216845969	0.193133125403587	0.172029345352446	0.19187125096704	9999	0.695440575570353	0.752823680334174
mix_56	0	0.321461300245422	0.24991786278157	0.0832026367621599	0.123657698371804	0.221760501839044	9999	0.679967149824482	0.769768860382397
mix_57	0	0.308637291944709	0.297015052834847	0.0474562884917841	0.14555823876498	0.20133312796368	9999	0.672526691394793	0.778500816134191
mix_58	0	0.238147574467462	0.260505864635916	0.11976861457197	0.213620686829147	0.167957259495506	9999	0.688433355221613	0.760027572377303
