Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
Mix_1	0.165898449555915	0.0154224563776037	1.55072329524753e-09	0.0304607706888163	0.508690814847976	0.0138685464701471	0.265658036351139	9.24157680303531e-07
Mix_2	0.365802212305468	1.86210209398912e-07	0.0295766829844786	8.36865982410589e-09	0.210852523086655	0.00618490108754227	0.201670166316862	0.185913319640125
Mix_3	0.118021059127371	0.02947801496029	1.49761821877961e-10	0.188979526146456	0.284414271250164	0.00435955914543477	0.306402227862828	0.0683453413576942
Mix_4	0.182964401968443	0.0142544966119384	1.00743982103224e-09	0.12360081348274	0.344966691996719	0.00222390839291092	0.282010456676842	0.0499792298629663
Mix_5	0.519738427203801	1.57521105093707e-06	1.33461938553572e-08	0.00751048749631611	0.20139661149022	0.000280782324114504	0.27107208812534	1.48029626647449e-08
Mix_6	0.284656343618525	1.64341686213837e-06	3.78389363765483e-09	0.0834624912966707	0.191578294163787	0.0169327661061871	0.216335238267922	0.207033219346152
Mix_7	0.229499209865023	5.74427726938803e-08	0.0252074471607479	0.19118219406243	1.51674070260885e-05	0.00200711796747877	0.180801689232064	0.371287116862458
Mix_8	0.329175220590868	1.52793583121288e-08	0.0922489509095523	0.0885821605457345	2.47374799724565e-08	0.00956808671323302	0.042611760169245	0.437813781054529
Mix_9	0.316432131829974	3.91146519810889e-09	8.16170700342467e-08	0.0819786966421477	0.203383132898934	0.00489006217640757	0.22758202999964	0.165733860924362
Mix_10	0.389131584516016	1.49944863513593e-05	6.45363955777144e-09	0.124585808607262	2.00015567425083e-07	0.00953768428894607	0.180695810505976	0.296033911126242
Mix_11	0.293117476283068	3.4027378029068e-08	0.0985795082744371	0.00187460032279397	0.158535261589991	0.00349591389932584	0.199408355075296	0.24498885052771
Mix_12	0.0731534011214318	0.027238913539644	2.16805291890133e-09	0.121991859360412	0.42881878380645	0.0104223960152808	0.272914209752418	0.0654604342363098
Mix_13	0.431112467275331	1.0148673500789e-06	3.7385611500311e-08	0.123115452037578	1.16047764284423e-08	0.00358792681397112	0.167631409614993	0.274551680400388
Mix_14	0.123197475678349	0.0189743681189781	3.42013266978693e-08	0.201894751046503	0.259861082526711	5.49113319830119e-09	0.29330356633036	0.102768716606639
Mix_15	0.183898291546522	8.44133197446447e-08	0.110555057371298	0.11986826813027	5.27977974725323e-07	0.00451468100766834	0.142064650749727	0.43909843880322
Mix_16	0.299968561306761	2.67851552704689e-08	0.0332676722182572	0.15596770744092	1.22161605030881e-08	0.00672673153142392	0.103240715787377	0.400828572713946
Mix_17	0.213835060102908	1.36137430341013e-07	0.059648409294991	0.181423715456765	3.21859254776588e-08	0.00357244007387382	0.146674165694432	0.394846041053675
Mix_18	0.192072608928075	5.82075573514103e-08	0.205925578394324	0.0467772433339228	1.21124235698992e-08	0.00568390890760754	0.0781754035148158	0.471365186601274
Mix_19	0.131865015376425	0.0258326202954193	2.93324099577623e-08	0.170424505525991	0.304697728765057	0.0111535426624853	0.26371312446483	0.0923134335773833
Mix_20	0.351271103319918	5.55486279544484e-09	1.06399705385675e-05	0.121730079477185	3.88500940543056e-07	0.00934253644556569	0.1343358871991	0.38330935953189
Mix_21	0.317337395204375	6.99542808090729e-07	7.39235567600103e-08	0.142052431021434	3.95541449174584e-08	0.0128114235471647	0.104305818222003	0.423492118984513
Mix_22	0.132180850387054	0.0199344876923904	1.8177125885499e-08	0.15777490329123	0.339316398312338	0.0141148501962093	0.217286623114846	0.119391868828806
Mix_23	0.471665288351227	5.82026297595119e-08	0.04052327635221	0.0144925671271614	5.00930904604988e-06	0.00545200037585209	0.12911096068758	0.338750839594294
Mix_24	0.0143132639196592	3.46823687354336e-09	0.161031730450641	0.222802381930212	7.99516492269552e-08	0.00775182346800064	0.0539388076211825	0.540161909190418
Mix_25	0.416131697428241	3.2354756106354e-06	0.000236077816836407	0.138881297307691	1.22963659599988e-05	0.0012276036021118	0.156426182726283	0.287081609277266
Mix_26	0.288581689653062	3.12388649109645e-08	0.0530762267916252	0.175257786078386	3.86726793550622e-09	0.00376491965978797	0.100366783577925	0.378952559133081
Mix_27	0.347099712820366	2.16448337273365e-09	1.02261550502827e-06	0.252279740675741	4.92768554931634e-08	0.0100017865269396	0.0263235853303411	0.364294100589768
Mix_28	0.262194706262085	5.51361679742475e-05	1.42109480367492e-08	0.10807453967877	0.178719985591721	0.0107168582882069	0.171919623425116	0.268319136375178
Mix_29	0.339922819635512	6.15538467995928e-07	0.0374657560190939	0.172214135516272	5.01291108045456e-06	0.0031476408320249	0.091164172241601	0.356079847305948
Mix_30	0.230753988383514	0.0102033100639242	7.10417003180151e-10	0.181831223120794	0.209358002308615	8.91024033396401e-07	0.301509325375572	0.0663432590131307
Mix_31	0.32037364650955	1.9225717085434e-06	0.0252402157518091	0.130392548332201	5.10689248902477e-07	0.00617720711521317	0.130346411873166	0.387467537157103
Mix_32	0.184769389069166	2.28188639230464e-06	0.173117322978538	0.0852729362066618	1.21992706465833e-07	0.00780386739479165	0.0559983341104366	0.493035746361308
Mix_33	0.115343964568449	4.25319057794554e-09	0.0804329068249245	0.180434843041705	1.17572625680691e-07	0.00814131564708853	0.138885434253648	0.476761413838369
Mix_34	0.318029787033588	4.56502516961592e-07	1.63122692627022e-08	0.0995863056782334	0.155002729239591	0.0140356256167272	0.190511676156172	0.222833403460902
Mix_35	0.253373106912766	0.00470911533152581	1.0759421033823e-08	0.0564198105452139	0.389027744540932	0.00250089042251888	0.260562766381991	0.0334065551056302
Mix_36	0.305529796330545	2.66470623638683e-08	2.55019575962506e-07	0.140078260187882	0.0699486128408827	0.00493417068363738	0.190830353205429	0.288678525084985
