B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
mix_1	0.0204	0.1374	0.5584	0.1317	0.0726	0.0795
mix_2	0.0715	0.121	0.4208	0.2618	0.0736	0.0513
mix_3	0.0682	0.085	0.2254	0.1839	0.3222	0.1152
mix_4	0.0364	0.3628	0.3832	0.0354	0.1417	0.0405
mix_5	0.0325	0.2048	0.396	0.0451	0.258	0.0635
mix_6	0.0317	0.2999	0.429	0.0609	0.1474	0.0311
mix_7	0.0463	0.1448	0.333	0.084	0.3146	0.0773
mix_8	0.0345	0.1125	0.4018	0.1829	0.2138	0.0545
mix_9	0.0257	0.3619	0.463	0.0344	0.0837	0.0314
mix_10	0.0976	0.356	0.2232	0.094	0.1178	0.1114
mix_11	0.0636	0.1853	0.5271	0.1286	0.0098	0.0857
mix_12	0.0192	0.2815	0.3546	0.0522	0.2354	0.0571
mix_13	0.0461	0.4357	0.2596	0.155	0.0618	0.0419
mix_14	0.0583	0.4051	0.3597	0.0419	0.0551	0.0799
mix_15	0.0334	0.1871	0.4006	0.1271	0.2062	0.0455
mix_16	0.0758	0.0555	0.1977	0.2058	0.4054	0.0598
mix_17	0.0648	0.1025	0.1794	0.2089	0.3911	0.0534
mix_18	0.0967	0.407	0.1502	0.2083	0.0438	0.094
mix_19	0.0512	0.0821	0.2555	0.2302	0.2822	0.0987
mix_20	0.0602	0.3042	0.3779	0.1739	0.0598	0.024
mix_21	0.0482	0.2632	0.1793	0.1692	0.2912	0.0489
mix_22	0.0367	0.2843	0.4413	0.035	0.0918	0.1109
mix_23	0.0569	0.3148	0.4097	0.1349	0.026	0.0576
mix_24	0.0333	0.2424	0.3387	0.08	0.2634	0.0422
mix_25	0.0413	0.3809	0.4159	0.0735	0.0589	0.0296
mix_26	0.0567	0.2361	0.1633	0.178	0.2741	0.0918
mix_27	0.0364	0.2472	0.5002	0.1037	0.0544	0.0582
mix_28	0.0415	0.2979	0.3879	0.0949	0.1403	0.0375
