B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage	otherCells
Mix_1	0.678038780241577	0.000694222008762763	0.320552920299396	0.000712006035150177	1.91742121278498e-06	1.49688623792114e-07	4.30527735684194e-09
Mix_2	0.632463171797308	0.0924651875200915	0.209378507286926	0.065689197699297	2.24851205938832e-06	9.01288021743699e-09	1.67817143792437e-06
Mix_3	0.691073113709245	0.0840594038915373	0.224865270881918	8.14515688904666e-08	2.08379732474751e-06	1.1909012097223e-08	3.43593938856301e-08
Mix_4	0.783335998987312	0.131111039969907	0.0852010845840786	0.0003516788903601	1.42757634459793e-08	1.78971171260046e-07	4.32140812023363e-09
Mix_5	0.831820270588679	0.00209569936612519	0.166080459558376	3.53515492382133e-06	2.83899810156067e-08	2.17473096259434e-09	4.7671837588581e-09
Mix_6	0.518061979235692	4.23904744695741e-06	0.440288967093254	0.0412667113896464	0.000158227248815941	0.0002184577346162	1.41825052746292e-06
Mix_7	0.736973537329818	0.113101599751597	0.149924666610118	3.35351086084696e-08	4.32546279798282e-08	8.64910507345981e-08	3.30276792581685e-08
Mix_8	0.404709881190389	0.179625989824771	0.415039066397764	0.000624935668303662	8.37631264878834e-08	3.03567467711103e-08	1.27988989406802e-08
Mix_9	0.604033589071116	0.132240674027987	0.238099641710546	0.0256257890492459	2.32137269492917e-07	7.28992332606154e-08	1.10460229851839e-09
Mix_10	0.757202071424312	0.00178386559820982	0.241006323497392	7.38119774739408e-06	8.70447439576526e-08	2.62893679367035e-07	8.34391611359564e-09
Mix_11	0.648452342409486	0.0362267747144027	0.315314365977343	8.38943212760928e-08	6.34880503404103e-06	8.38226352982317e-08	3.76777942179274e-10
Mix_12	0.620264414440119	0.0421696988815789	0.337494152844921	2.28154766633706e-06	5.95805712358039e-05	9.87165499388798e-06	5.94854165925085e-11
Mix_13	0.840490937854869	0.00116433696738305	0.158343795928544	5.24513093033281e-07	1.36020818661713e-07	2.67604745372783e-07	1.11054698770374e-09
Mix_14	0.733687430071418	0.112774860429296	0.153534189937381	2.43137410633128e-06	1.69478327203742e-07	6.27333025263328e-09	9.12436140976247e-07
Mix_15	0.639869240750795	0.0596922737688128	0.30043773859158	5.84745003950649e-08	6.76428881200377e-07	1.16786792660532e-08	3.06751291034857e-10
Mix_16	0.655357633590626	0.0896256567317866	0.25497919244568	3.73922162833259e-05	5.10120392568471e-08	7.05800165696738e-08	3.4235678736394e-09
