B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
mix_1	-0.0276854895976868	-0.0284806670360788	0	0.14784230192195	0.199508556846139	0	0	0	0.0309274761527656	0.0329929640801907	0	0	0	0	0	-0.014405302520952	0	0	0.102758163430649	0	0	0
mix_2	0	0	-0.0988653928138286	0.0367411982527759	0.0553863920481889	-0.207467003422037	0	0	0	0	-0.220117778347785	0	-0.095010152469057	0.00472442573072761	0.0998579908914315	0	0	0	0.015211333592354	-0.104025097354245	0	0
mix_3	0	0	0.0769460896279383	0	0	0.0658668430990041	0	0	0	0	0.198884788362317	0.0785611262859797	0.0879590615674899	0	0	0	0	0	0	0.114986675545345	0.0659745178208932	0
mix_4	0	0	-0.0496601732498379	0	0	-0.0528374206633647	0.00896582236089785	0.0189815671543265	0.0150807368156452	0.0296210305723799	-0.0696171373207714	0	-0.0573022647736952	0	0	0	0.0207756294921239	0.0120469275532947	0.00118168377341505	-0.0721913514723268	0	0
mix_5	0	0	0	0.00845068474375777	0.00808120509037001	0	0	0	0	6.87567334929643e-05	0	0	0	0	0	0	0	0	0.0100448418023735	0	0	0
mix_6	0	0	-0.0592035071885378	0.03190069399988	0.0261119621529573	-0.0796139202916248	0	0.00272423501592739	0.0228880376897154	0.0356752173807197	-0.0507657768853354	0	-0.0575902865857599	0	0	0	0.00390969778350829	0	0.0328659533645873	-0.0546057356653576	0	0
mix_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000272770630316497	0	0
mix_8	-0.0179250803501286	-0.0315174483509782	-0.0342779691503297	0.0610991160149577	0.0936231241821054	-0.0627673568526622	0	0	0	0	-0.0185822614145781	0	-0.0344484375958295	0	0.0464968111293929	0	0	0	0.0356802485842034	-0.014530836633355	0	0
mix_9	0	0	-0.0107765057392703	0.0486949733186059	0.0458631279570398	-0.0127489142532371	0.00382196760367874	0.0178353777100132	0.0329705523184772	0.0500961076115472	-0.0170607005336427	0	-0.019761631990079	-0.00296695868154284	0	0	0.0167373579446265	0.00671822533261708	0.0468753220216716	-0.0141096620766731	0	0
mix_10	0.00605164197147062	0.018675318591727	0	0	0	0	0.0115667609160696	0.0113491813484028	0	0	0	0	0	0	0	0	0.0124934764027915	0.0161298704179299	0	0	0	0
mix_11	0	0	0	0.0958907581016339	0.130782002770999	0	0	0	0.0204217974709205	0.0158344940364351	0	0	0	0	0.00502589541737911	0	0	0	0.0667856518621581	0	0	0
mix_12	0	0	0	0	0	0	0	0.0111912914026016	0.0127214909268861	0.0285706738981126	0	0	0	0	0	-0.00338443110226392	0.00821024760104285	0	0.0068583761807909	0	0	0
mix_13	0	0	0	0	0	0	0.0700456296792521	0.0580118450971567	0	0.0218231320211453	-0.0144259104472234	0	0	0	-0.0508544627037825	0	0.057417213925801	0.0715043556733647	0	0	0	0
mix_14	0	0	0	0	0	0	0.0117305421789038	0.0198865731958129	0.0118585868573989	0.0181358326503265	0	0	0	0	0	0	0.0191266626721137	0.0179017731164504	0	0	0	0
mix_15	0	0	-0.0170406485885681	0.0431460668317701	0.0516455999641633	-0.0303503578238488	0	0	0.0104689715715927	0.015776615848929	0	0	-0.0180729881864997	0	0	0	0	0	0.0343118267747932	-0.00182421955322381	0	0
mix_16	0	0	0	0	0	0	0	0	0	0	0	0.00328078572226316	-0.000979968521692212	-0.0854962489902134	0	0.0642893684406034	0	0	0	-0.00373374893385301	0	0
mix_17	0	0	-0.115587931567269	0	0	-0.137648138517413	0	0	0	0	-0.0371495742295978	0	-0.133939463334823	0	0	0	0	0	0	-0.15941974708814	0	0
