B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..	otherCells
mix_1	0.650257250054695	0.18670390233481	0.000253043495468294	0.00242386738011792	1.63592551995874e-07	1.07477033590146e-07	0.16036166136869	4.29663201978287e-09
mix_2	0.551839912689866	0.325139681073431	9.55593232311118e-07	1.1617715562479e-06	2.9881282729751e-06	0.0352820711598873	0.0877331907798542	3.88039003188064e-08
mix_3	0.831934097649009	1.37728250637588e-07	2.18380334828023e-05	1.70636050977755e-07	1.66108217453541e-06	0.0193722981470362	0.148669796232056	4.91939714722202e-10
mix_4	0.921443590651186	1.74379828739906e-06	7.62945338101839e-05	4.02439029084159e-05	7.672305077883e-06	6.25796975826827e-06	0.0784233798893469	8.16949625052279e-07
mix_5	0.400197302724251	0.00704351465158348	3.06039892395388e-05	7.96259889466284e-05	0.000468791954735398	0.0289485634425388	0.563221011696607	1.05855520979224e-05
mix_6	0.512939629821805	0.000196079810514109	0.0023336764619183	2.38985714377219e-06	4.28092071674947e-06	0.0203863547731141	0.464137353513159	2.34841629106047e-07
mix_7	0.50084969922359	7.98112448777234e-05	0.00037068658941592	0.0590211760901359	0.0021062262101333	0.0195768279703901	0.417973332732551	2.22399389064452e-05
mix_8	0.470982469866476	0.0554315489961606	0.0172492952036591	1.12277527259509e-05	0.0931949523283013	0.325847336050119	0.0372831696948699	1.07688554347469e-10
mix_9	0.543619874495174	0.000250958294530812	0.0170261896905384	1.1436817317098e-05	0.00133596602008468	1.09552424862398e-05	0.437742523301594	2.09613827500567e-06
mix_10	0.429463441094737	0.00059194483585844	0.00990273570329836	1.41819904074213e-05	6.46209940872847e-09	0.0242241347538988	0.53580355293039	2.22931028219946e-09
mix_11	0.478198953887609	0.0500788260229268	3.75359070397103e-06	3.54639485842625e-06	1.38524264470417e-05	0.133363899019476	0.338335397046347	1.77161163173394e-06
mix_12	0.310135697201453	0.0155169886350159	2.34168914613024e-05	5.94100094455794e-06	0.116156068927343	0.230461158227261	0.327700091576512	6.37540009476492e-07
mix_13	0.466052952087122	0.0516876435076454	0.00126547750126783	0.000278403968996304	0.00106465492839808	0.000191877072248353	0.479458987186927	3.74739493287726e-09
mix_14	0.978131244390366	2.5001378478725e-06	7.05640932825126e-06	0.00801087505345089	2.60534931634631e-09	0.00902161140150654	0.00482665814216608	5.1859985436945e-08
mix_15	0.372066880906501	6.39123294624883e-06	4.11425097028497e-08	0.00447626081534769	1.13798122403093e-06	0.182127152237719	0.441322131334515	4.34923696042414e-09
