Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.388627444953023	0.0494262675099227	0	0.339702093434951	0.718330247976267	0.136343229051725	0.524823564494144	0	0.225990587740673	9999	0.525643556195612	0.922080499489512	2.38324343516071
B	0.438425579682888	0.049394635582978	0	0.260876010010104	0.661925757945345	0.165695739629036	0.5633230041561	0	0.255750044113649	9999	0.544713671085229	0.899048762278636	2.3953907711201
C	0.112241645357528	0.0171772982791332	0	0.677171852901081	1.07570459635828	0	0.470688656329731	0	0	9999	0.549709460877251	0.923854047167102	2.35298404922575
D	0.102559676415242	0.0147838656039369	0	0.707774198503185	1.08671273860703	0	0.446627607677389	0	0	9999	0.55412598439131	0.921057319338894	2.35845808680678
E	0.186018939692174	0.00990340456892299	0	0.390377329273932	0.821147615986882	0.228791882066127	0.565290916201266	0	0.172096712316278	9999	0.542740500087833	0.920463407794806	2.37362680010558
F	0.297465505218194	0	0	0.156072980914553	0.417599346328836	0.154601990566486	0.908843087363592	0	0.465657275797861	9999	0.486373137172344	0.977851722524457	2.40024018618952
G	0.613171255673349	0.0694733334529888	0	0.350745563134756	0.602051317305268	0.0343008320977598	0.442260534303698	0	0.296498589567975	9999	0.479341148087513	0.951915824770333	2.40850142553579
H	0.781654054061072	0.0611755265521251	0	0	0.312355390383485	0.357492487960763	0.41430200232109	0	0.451764862450142	9999	0.509876520642612	0.905861535277085	2.37874432372868
I	0.909667875395345	0.0351757561957668	0.0271576320612092	0	0.308898233130082	0.294345654806282	0.407968505372021	0	0.395628559287487	9999	0.497336303657737	0.908806864648439	2.37884221624819
J	0.0121564474985472	0.0295063128540305	0	0.770095746121053	0.890969277881188	0.21837353475664	0.39998083787524	0	0	9999	0.560662027717046	0.924359092263917	2.3210821569867
K	0.0208054582734713	0.0144399499048389	0	0.576320158680335	0.885479108279843	0.212511910151036	0.600863020819754	0	0.0263455764347072	9999	0.534328582604796	0.945970932018131	2.33676518254399
L	0.120773812159357	0	0	0.73920971568307	0.746083351370842	0.369391650110327	0.374198579585479	0	0	9999	0.562447370020623	0.911040631556496	2.34965710890908
