Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.263275319457133	0.693887347608134	0.328184456965141	0.0396786144864389	0.00446082279168305	0.115710383550648	9999	0.61166147271018	0.848816560896194	1.44519694485918
B	0.289318164012502	0.787965926530839	0.237349981289799	0.0298411855824266	0.00585944864905701	0.108449367519781	9999	0.635931450681668	0.824350300120119	1.45878407358441
C	0.0653826455421556	1.21724763049774	0.123992027166016	0.00533665631454633	0.00377000676981371	0.000501022694040389	9999	0.622098876948645	0.857341353422692	1.41622998898431
D	0.0643211737950287	1.2161032608435	0.114437872218307	0.0105634552300551	0.00247314955117225	0.00657241543911837	9999	0.614786386995148	0.865096167496904	1.41447132707718
E	0.0844225205052295	0.959422792825767	0.360471232850034	0.0133557563761305	0.0072060831318984	0.0125776634995446	9999	0.600268135951289	0.872485327340032	1.4374560491886
F	0.0562343004053243	0.768109001434762	0.535932896665675	0.0270164513599752	0.00492756082681535	0.0579939782065607	9999	0.543950715274402	0.925934991564448	1.45021418889911
G	0.231430798875775	0.810623072849159	0.051003355691664	0.0531804220446286	0.00440445273608206	0.298108218818738	9999	0.578273369722405	0.892150017556145	1.44875032101605
H	0.194896951259345	0.71845532592803	0	0.0734817506475172	0.0108658783386816	0.431043066146813	9999	0.635846395040267	0.835023134218335	1.42874297232039
I	0.190992319312689	0.775844773101409	0	0.0906060436923143	0.00467590729489055	0.362730018132955	9999	0.611160243121582	0.858004745877718	1.42484906153426
J	0.0396474104814807	1.31236464286651	0.0219131187896874	0.00630772274096278	0.00405089156729631	0	9999	0.632603376458319	0.849630563587316	1.38428378644593
K	0.0604164646357918	1.04779455820875	0.285350804740051	0.0118384269086149	0.00295462529984564	0	9999	0.590195136704629	0.887610534767393	1.40835487979306
L	0.0129338935339747	1.33663502208438	0.0487340008257997	0.0162138017012481	0.00340730034552968	0.00359348161564769	9999	0.629854003965946	0.852102859741374	1.42151750010658
