CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	otherCells
mix_1	6.76848990475786e-07	4.04819723123418e-09	0.00355226354415237	4.58850129941358e-06	0.00298426370095277	0.000819573939351366	0.00206361883440157	1.84983864130543e-08	0.990574992084268
mix_2	7.7894798084729e-10	7.7288507704564e-09	0.00279477722148174	8.02428159527195e-08	0.00260992986400172	0.00149876729235363	0.00248367675600069	4.92907699139761e-08	0.990612710824778
mix_3	9.64010968650267e-09	3.7246055024232e-06	0.00396401446518499	3.95857732569923e-09	0.0020326246203549	0.000817727064769961	0.00251289658682808	1.05354729053074e-06	0.990667945511382
mix_4	6.76049952195793e-07	3.82451183611744e-11	0.001342908846885	2.0814919628575e-08	0.00365230618877387	0.00231288039462481	0.00235786820299377	1.8588230463481e-08	0.990333320875375
mix_5	1.63633187156301e-09	4.34313934368171e-08	0.00240337549980485	3.13387058381681e-06	0.00284350752836282	0.0017129904333284	0.00254396261606502	1.62225973014453e-06	0.9904913627244
mix_6	4.93598850151683e-09	1.30985014550476e-08	0.00145614275019997	5.80033995748831e-08	0.00307455585877442	0.00235768596912386	0.0027351385089716	1.25870362162337e-06	0.990375142171419
mix_7	8.76334238351832e-09	7.65993243197296e-07	0.00301809746521677	1.68508450329193e-09	0.00244381056264956	0.00141925396610147	0.00259135612624533	1.0652001802925e-07	0.990526598918099
mix_8	1.44632767675722e-08	3.99532618683482e-06	0.00309133791428076	8.26699889632027e-09	0.00256228873252025	0.00130553439504012	0.00243130965794205	8.62038789447045e-09	0.990605502623366
mix_9	3.35181311938489e-10	1.10591956507512e-07	0.00180113676498499	1.25205305420767e-06	0.00343903682713321	0.0019728926501939	0.00236243996396605	2.83385737461017e-06	0.990420296956155
mix_10	7.25811819168093e-07	2.21823379451029e-06	0.00302439114082851	5.63103921387434e-09	0.00300318419339243	0.00114494149400297	0.00227008407106526	3.74054660683731e-08	0.990554412018592
mix_11	1.51523113818325e-07	7.15018865883264e-10	0.0031829762936876	5.48736018863201e-08	0.00328323469167675	0.00101698029323171	0.00200729928063957	3.3847246168394e-07	0.990508963856568
