Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE
A	0	0	0	0.2639602869154	0	0	0.0230883636690857	0.0605384805263408	0	0	0.0218281694557223	0	0.0336862979462916	0.0646525576595088	0.0634300220922535	0.0104744630597204	0.00771043187581323	0	0	0.015706599422953	0.0648599366876342	0	0	0.0454178584063191	0	0.00951863396177317	0	0.0255878832574661	0.00662545781831966	0.031138054657338	0	0.0257762800432667	0.139747685206799	0.0862525373379943	9999	0.151977359595999	1.07478801615766
B	0	0	0	0.260950931475216	0	0	0.0240364030643119	0.0707912223723506	0	0	0.0120467937951211	0	0.035121910002599	0.0669506084944661	0.06407725844054	0.00800885119387008	0.00328967835878561	0	0	0.0172072011598578	0.0639046398664928	0	0	0.0506265877134833	0	0.00969694266486138	0	0.0279493918451377	0.0040687993069085	0.0293118333845259	0	0.0275755384648697	0.146791012700864	0.0775943956957385	9999	0.166103986819815	1.06819086430086
C	0	0	0.0593428807027736	0.0971571113667341	0	0	0.0301995062994917	0.0848340393715921	0	0	0.0329037805491163	0	0.0276086580172755	0.03334996403297	0.0756063717529217	0.00354167056201375	0.00560019192901014	0	0	0.0105875645422439	0.0618338720097014	0	0	0.0392495289646944	0	0.00284878414888146	0	0.019574424660886	0.0320350860799959	0.0286519503696467	0	0.0305280785378423	0.251696997730091	0.0728495383721187	9999	0.175507195758232	1.07098423355524
D	0	0	0.0674425905318684	0.0970321276524469	0	0	0.0257880065669392	0.0525964237761479	0	0	0.0565843311006633	0	0.0318611814128419	0.0618241570763187	0.0512610907163051	0.0100723369027683	0.0153658494479314	0	0	0.0122581166770379	0.0613194770198138	0	0	0.0362673612252595	0	0.00172817763145562	0	0.0214328430164122	0.0201563344299017	0.0196390567635757	0	0.013450181262503	0.275456321562193	0.0684640352276172	9999	0.133620903963874	1.09069858721228
E	0	0	0.0138008657204551	0.16123493543129	0	0	0.0174950531167209	0.0649118276135609	0	0	0.0447065365983613	0	0.0380251734936448	0.0462116969799597	0.0679399612004159	0.0194647825017085	0.0228562831901329	0	0	0.0239617221974092	0.0610831336889096	0	0	0.0419548852508013	0	0.00537436225181065	0	0.0187228427730786	0.0222253419893252	0.0147396693352256	0	0.0254877220869431	0.200986882699018	0.0888163218812285	9999	0.134210114396836	1.09155697413465
F	0	0	0	0.227632755404539	0.115978365590392	0	0.0232616659475339	0.0601321247240815	0	0	0.0245857395019063	0	0.035337426221627	0.0494592917460457	0.0678601493939607	0.00957071001583472	0.0164130903693392	0	0	0.0244608296625508	0.0561739051078086	0	0	0.0360181327425581	0	0.0110596938262866	0	0.0180081034194425	0.0205967918807074	0.0226392038650528	0	0.0149061609832328	0.0700284757473557	0.0958773838497454	9999	0.144564009668109	1.07894764070149
G	0	0	0.0208047923197115	0.257663873015018	0	0.00172615742270962	0.0316141309709554	0.0590447718590756	0.00597958897382694	0	0.0322048155055068	0	0.0270890969450386	0.0808863691255436	0.0657830759743723	0	0	0	0.0339834895453605	0	0.0631356862386697	0	0	0.0434709896235003	0	0.0119165101687127	0	0	0.0201622005891305	0.0430706455637484	0	0.0382932911487644	0.163170515010355	0	9999	0.137396315555154	1.08466335592729
H	0	0	0	0.340665563464087	0	0	0.0304752845656699	0.0751306659215953	0	0	0.0184892101744789	0	0.0266173187999332	0.076476975413154	0.0697165361582167	0	0	0	0	0	0.0691433504988233	0	0	0.0438324767268645	0	0.00940276595810534	0	0	0.0208119190550238	0.0354346829866546	0	0.0322990793785896	0.151504170898804	0	9999	0.166969904068266	1.06322760127098
I	0	0	0	0.37531566294201	0	0	0.0243021414500465	0.0567307867974442	0.00764048608199849	0	0.0275025943248159	0	0.0207679490678385	0.060970117781661	0.0592894025151409	0	0.00633285072914044	0	0	0	0.0619309960914667	0	0	0.0355275998313452	0	0.00961656084483387	0	0	0.0202425996734467	0.0466052825697205	0	0.0222172207744848	0.163907456047848	0.00110029247675806	9999	0.162296530512308	1.05886801164112
J	0	0	0.112650791945527	0.0110764542080599	0	0	0.0262955179829884	0.0733014639352092	0	0	0.0401520723210558	0	0.0279329219526967	0.0448507075382428	0.0728865313254524	0.0020112786809797	0.00657663449273755	0	0	0.00457272726302806	0.062964919832679	0	0	0.0410142129298655	0	0.00141762425714331	0	0.0191971654944688	0.0269393957674045	0.0319323281541174	0	0.0409819735832709	0.298568710186858	0.0546765681482154	9999	0.148832821419392	1.08867069380517
