CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	otherCells
Mix_1	0.240091563213558	0.158664487825653	0.24734424769876	0.0590848770911745	2.82422619552579e-07	1.96590285631019e-06	0.222039270316263	2.04508877419523e-07	0.00562959610309127	0.0671435049171475
Mix_2	0.131295605049779	0.23664034061612	0.300412859381433	0.0861386971945804	1.30778190754904e-08	0.0238874914570705	0.153592429901829	1.43405600117301e-09	7.48346924076096e-08	0.0680324870526215
Mix_3	0.0967796736864367	0.120338864682588	0.0987282528690016	0.126486557217334	2.39650453182775e-07	0.000899082632784163	0.315675522616163	4.85881420215854e-08	0.19782994455285	0.0432618135042477
Mix_4	0.0721338666953055	0.137857935033787	0.199450932038251	0.145069785186573	1.39679780039984e-08	0.0115359390438214	0.271663815294599	1.12678986508383e-07	0.112623866600936	0.0496637334597628
Mix_5	0.0530291216748694	0.346361929794646	0.0846369758023176	0.211958148416368	3.16060514426264e-08	0.00891141703467017	0.233710391663762	1.34604655286379e-08	0.000164787690146411	0.0612271828567044
Mix_6	0.26025047568452	0.267260599578313	0.114170152078504	0.0967544724788282	1.58263456235959e-09	8.78345244024181e-08	0.187649787610246	1.99248868162344e-08	0.0108864033989139	0.0630279998286292
Mix_7	0.0453585482896466	0.178350113385889	0.215155491684355	0.175189033423325	1.95642398883702e-09	0.00586828286633481	0.190736874200689	2.89209617987545e-08	0.146973180768191	0.0423684445041836
Mix_8	0.160935709316315	0.265471596838896	0.348552155028593	0.140825846618568	6.54522377257056e-08	0.00752360786717993	0.0182172218193278	1.17721675536258e-08	4.12300425286702e-07	0.0584733729862889
Mix_9	0.103944138693971	0.231511968723851	0.211546846496243	0.167803552854803	3.74067554266507e-08	0.00156093340207021	0.198263491689926	5.99128051107761e-09	0.0281448619170164	0.057224162824083
Mix_10	0.153798052391733	0.324671260352351	0.0767838113673144	0.155514794203757	4.08026760841086e-08	2.46187724834147e-07	0.169585236889758	2.92476970179299e-09	0.0668153727264053	0.0528311821535112
Mix_11	0.0879631688849687	0.174956094639131	0.361468896630113	0.12443208427564	1.15501099715943e-06	0.0378743208632898	0.152960155133763	1.13618379116042e-08	2.80645772051153e-09	0.0603441103938017
Mix_12	0.191241969179693	0.0987631091686972	0.227958086834718	0.0953025983258066	5.77486620861996e-08	0.00146288908303575	0.254941461328779	5.77756414854074e-08	0.0740319159326663	0.0562978546223004
Mix_13	0.0784719184179565	0.321022066774092	0.135986158536183	0.193275914000774	8.98925274461537e-09	1.66434684050493e-08	0.156165757371766	1.16229470180549e-07	0.0627294669254296	0.0523485761116073
Mix_14	0.0266108353230242	0.0953785132706467	0.161989014082008	0.151576858471204	1.03149409099562e-09	0.00364704730972413	0.306967050736238	9.72533681676345e-10	0.213575474581649	0.0402552042214779
Mix_15	0.0884774804445639	0.144769642684863	0.357168075283672	0.161064445330818	1.08375594837758e-07	0.0142584284245495	0.129489941627482	1.92048751439741e-08	0.0527332071855601	0.0520386514380222
Mix_16	0.117040132877554	0.245465420689791	0.259187428966374	0.168402970650039	9.12690651146914e-09	2.32145643709989e-05	0.0916730113423409	3.24923125466718e-09	0.0673648117248	0.0508429968085915
Mix_17	0.0741608556770414	0.170017980485813	0.275953061499175	0.164540943317444	6.98935732942833e-08	0.00115449549494622	0.146919230753524	1.42177649058329e-07	0.12099001698902	0.0462632037118137
