B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils	otherCells
mix_1	0.0299883052014227	0.0626354135612157	0.245144186981068	0.109193598235155	0.109709935113984	2.67082355801449e-06	0.000242958856856513	0.0202409870538882	4.57551976622626e-07	0.326355258554091	4.89147910026223e-07	6.72807016588724e-07	0.0201425176166525	0.0045364004794547	4.51932634562844e-07	0.00950574699428103	0.00952668305718264	0.0527273445722463	2.88497301049057e-06	3.14723220723686e-05	5.5206516416009e-06	2.66244099707095e-07	5.77726858130059e-06
mix_2	0.0057641459633747	0.0576344120936563	0.387535561644068	0.0541607342067534	0.0403271019975383	3.35616794223484e-06	0.0426117722821028	0.052159705466864	5.40110858209453e-07	0.185282770085804	2.58686752880266e-07	3.29853894300155e-06	0.0361831655677053	0.00628976021691248	1.33938955587309e-06	0.00567131727955337	0.00972349508815434	0.116615505760867	1.7513890054111e-05	5.46314719781974e-06	7.35547293078669e-07	2.26165796502851e-07	7.82070225219674e-06
mix_3	0.126904096326212	0.147203002418665	0.0323958452591214	4.31283977689242e-05	0.0511802208764266	0.0599789005715716	0.112707931687243	0.0597582509720236	0.00105240007664167	0.166047612680633	5.72729195073816e-06	8.91539464972945e-06	2.33465905683938e-06	7.49336467580352e-06	3.09935147181663e-06	0.0501775252692341	0.066284502979448	0.123590801817927	0.000485558743391909	0.000208198093415806	7.63902757590765e-06	0.00194575442595728	1.06031493689991e-06
mix_4	0.0533190052220833	0.275547854915033	0.0719962737058161	0.0019162407942586	0.0478550726088679	0.0872154687538916	0.0844910901715899	0.00491411774100895	0.00128089251914579	0.187226153626635	0.000170470062385622	0.000208307882338257	0.00361382406862516	0.00067578835051615	0.000150796555507963	0.0856455377134927	0.0111602496049076	0.0487953354082747	0.0316043118134599	0.00166182784163572	0.000357019811114805	0.000148099509529999	4.62613198816307e-05
mix_5	0.124016723573954	0.161159857966362	0.0728981197160528	0.0391906770573376	0.134294353153952	2.07360754438398e-06	0.0242401112585234	0.102074397758343	2.97783551222657e-07	0.186907283153716	3.43329511902215e-07	5.60923655147886e-07	2.26350169412541e-06	1.43093344440445e-06	1.65653665164529e-06	0.039840350204318	0.0299656471158132	0.0597626560056907	0.0256349653632327	4.67578443630546e-07	2.03204962465208e-06	7.50411882623835e-07	2.98101669999953e-06
mix_6	0.0882447232228515	0.167412031579526	0.156776400441878	0.00514891440777721	0.071967850136901	7.35247376643776e-05	0.0291860711466599	0.0786998523383782	8.73532621909023e-09	0.213555234151425	3.43172665044518e-06	1.50216961202712e-06	0.000188700282515977	8.49677154868153e-06	2.2167136925421e-06	0.0610486901113417	0.00118908740781118	0.126361027475905	0.000112572657717405	6.63304275143464e-06	2.05374020542132e-06	2.67624593281241e-06	8.30075592766219e-06
mix_7	0.157469890367244	0.24193622901116	0.0358282020039733	0.0252605927184982	0.0887230949449323	0.0020663084042457	0.00341304095986027	0.0801756046010646	1.67928021119401e-06	0.139616647003562	1.65268369683728e-06	8.35150374706047e-07	0.0179615013037148	1.94794957656099e-06	1.02259261990342e-06	0.0978234614548531	0.00325247037074958	0.105307246893901	0.00115233373927331	2.04054342709378e-06	1.35213864667288e-06	1.81719870195124e-07	2.6641645452249e-06
mix_8	0.13255908083475	0.231480252504696	0.086414493376056	5.37592129454973e-06	1.28193890977358e-05	0.249312421274546	0.0453582281503038	0.0583767956286124	4.37828314500532e-05	0.00322980252310148	5.24940035729899e-06	1.52216739935529e-05	0.0150584747067525	0.0305604383627056	4.49844770122332e-06	0.0642777392129957	0.0456779423398643	0.0353132749636211	0.00197991229178949	0.000305519559701404	4.16542359354027e-06	4.18324903057148e-06	3.27933985052304e-07
mix_9	0.0722805361222181	0.0672892311882729	0.159759153329307	0.1074352690203	0.125658386021026	1.92610906292822e-05	0.0355664249468584	0.0611531317081932	1.21819125770889e-06	0.278887222290688	2.33927849961322e-06	8.41338473423581e-07	0.00138375900234477	1.26149944890667e-05	1.5770624990165e-07	0.00689734467916649	0.00251539531677276	0.0811222344336591	2.15409381212396e-06	8.72883927160726e-07	1.43828143009688e-06	9.05513056884086e-07	1.01085693680631e-05
mix_10	0.210815054063395	0.261905413555453	0.0581053197901218	4.35498569664328e-07	1.22463032577843e-06	0.0185894391169834	0.0677359994893201	0.0958207103811737	0.00577758443587257	0.0722152051867312	4.46068329882115e-07	7.78494193592879e-06	0.000112286274668025	1.10207602370226e-06	1.12780538584462e-06	0.138007532209813	0.0107219166544725	0.0601629082836195	7.05424352495552e-07	1.16712100926641e-05	7.29125262162807e-07	4.29739917309872e-06	1.10637892447761e-06
mix_11	0.0265636197581039	0.108993017635517	0.324132595605018	0.0785186416853305	0.0324557503649065	5.27562406182083e-06	0.0626178471238607	0.141383799775499	7.80860258028713e-08	0.140111001199562	1.51631571288293e-06	1.41097104145311e-06	0.0183761330312469	0.00299507280648513	2.22857197142729e-06	0.0166131893320651	0.00291548587525313	0.0442867729034379	1.02165482184966e-05	1.83545237774376e-06	1.82284569154693e-06	5.92249556168468e-07	1.20962390577424e-05
mix_12	0.00821312109329023	0.0539288875769035	0.272360156719443	0.0310467352587756	0.0249339802301999	3.61217593937453e-06	0.107086523213957	0.0906270362609098	4.60473799844739e-06	0.201600792028399	7.15450950971291e-07	1.47591039418774e-06	0.00628130751393653	0.00817309992572289	4.06277616673019e-06	4.59951635761497e-06	0.00877438443386445	0.185725725503666	4.06683481976492e-06	0.00119748976192744	1.72271098770414e-06	9.50855547554395e-07	2.49495098434068e-05
mix_13	0.191691073171932	0.259194193389743	0.0348271282250266	0.0371501398002973	0.07932529221132	0.00568230181517145	0.0169829856815567	0.0628266099891711	0.00137777647668022	0.120850220548914	7.34194305781883e-07	3.55690944530181e-08	0.00370149744315378	0.000283893798603432	6.67822809094324e-07	0.128478047788452	0.000980464449716921	0.0442879773162957	0.011236398321052	0.00103104336374587	8.81808727670438e-05	1.84266975788291e-06	1.49508043361097e-06
mix_14	0.209272831261561	0.309494288995835	0.0493470747640987	2.87280505799293e-05	0.000718190488396674	0.0179091307180542	0.097782830873703	0.0600026162606881	6.20541837824581e-05	0.0453317456755917	7.44820774565789e-06	9.37301826931049e-06	0.00636054468282712	2.19202060745858e-05	2.06838315058953e-05	0.129516628923097	0.00473937093553745	0.0692501806675096	3.60255036813407e-05	4.45850667644594e-06	1.08932771344204e-05	7.1642822753146e-05	1.33814489706665e-06
